panel,column,rhythm,data_mode,axis,W,beat_cv,N,estimator,estimand,quantity,value,mcse,n
a,N=3,sinus,prospective,AP,0.1,0.05,3,rule,,p_window_met_first_N,0.46574,0.00157742,100000
a,N=3,sinus,prospective,AP,0.1,0.1,3,rule,,p_window_met_first_N,0.32175,0.00147725,100000
a,N=3,sinus,prospective,AP,0.1,0.15,3,rule,,p_window_met_first_N,0.21275,0.00129417,100000
a,N=3,sinus,prospective,AP,0.1,0.2,3,rule,,p_window_met_first_N,0.14754,0.00112148,100000
a,N=3,sinus,prospective,AP,0.1,0.25,3,rule,,p_window_met_first_N,0.10436,0.000966794,100000
a,N=3,sinus,prospective,AP,0.1,0.3,3,rule,,p_window_met_first_N,0.07976,0.000856728,100000
a,N=3,AF_rr0.2,prospective,AP,0.1,0.05,3,rule,,p_window_met_first_N,0.37737,0.00153285,100000
a,N=3,AF_rr0.2,prospective,AP,0.1,0.1,3,rule,,p_window_met_first_N,0.27689,0.001415,100000
a,N=3,AF_rr0.2,prospective,AP,0.1,0.15,3,rule,,p_window_met_first_N,0.19402,0.0012505,100000
a,N=3,AF_rr0.2,prospective,AP,0.1,0.2,3,rule,,p_window_met_first_N,0.13761,0.00108937,100000
a,N=3,AF_rr0.2,prospective,AP,0.1,0.25,3,rule,,p_window_met_first_N,0.10237,0.000958595,100000
a,N=3,AF_rr0.2,prospective,AP,0.1,0.3,3,rule,,p_window_met_first_N,0.07706,0.000843337,100000
a,N=3,sinus,prospective,AP,0.15,0.05,3,rule,,p_window_met_first_N,0.70866,0.00143688,100000
a,N=3,sinus,prospective,AP,0.15,0.1,3,rule,,p_window_met_first_N,0.57084,0.00156519,100000
a,N=3,sinus,prospective,AP,0.15,0.15,3,rule,,p_window_met_first_N,0.41789,0.00155967,100000
a,N=3,sinus,prospective,AP,0.15,0.2,3,rule,,p_window_met_first_N,0.30136,0.00145101,100000
a,N=3,sinus,prospective,AP,0.15,0.25,3,rule,,p_window_met_first_N,0.22466,0.0013198,100000
a,N=3,sinus,prospective,AP,0.15,0.3,3,rule,,p_window_met_first_N,0.17363,0.00119784,100000
a,N=3,AF_rr0.2,prospective,AP,0.15,0.05,3,rule,,p_window_met_first_N,0.6267,0.00152953,100000
a,N=3,AF_rr0.2,prospective,AP,0.15,0.1,3,rule,,p_window_met_first_N,0.50767,0.00158095,100000
a,N=3,AF_rr0.2,prospective,AP,0.15,0.15,3,rule,,p_window_met_first_N,0.37916,0.00153427,100000
a,N=3,AF_rr0.2,prospective,AP,0.15,0.2,3,rule,,p_window_met_first_N,0.2801,0.00142001,100000
a,N=3,AF_rr0.2,prospective,AP,0.15,0.25,3,rule,,p_window_met_first_N,0.21385,0.0012966,100000
a,N=3,AF_rr0.2,prospective,AP,0.15,0.3,3,rule,,p_window_met_first_N,0.16616,0.00117708,100000
a,N=3,sinus,prospective,AP,0.2,0.05,3,rule,,p_window_met_first_N,0.84978,0.00112984,100000
a,N=3,sinus,prospective,AP,0.2,0.1,3,rule,,p_window_met_first_N,0.75102,0.00136744,100000
a,N=3,sinus,prospective,AP,0.2,0.15,3,rule,,p_window_met_first_N,0.60568,0.00154542,100000
a,N=3,sinus,prospective,AP,0.2,0.2,3,rule,,p_window_met_first_N,0.46825,0.00157795,100000
a,N=3,sinus,prospective,AP,0.2,0.25,3,rule,,p_window_met_first_N,0.36312,0.00152074,100000
a,N=3,sinus,prospective,AP,0.2,0.3,3,rule,,p_window_met_first_N,0.28457,0.00142685,100000
a,N=3,AF_rr0.2,prospective,AP,0.2,0.05,3,rule,,p_window_met_first_N,0.79799,0.00126965,100000
a,N=3,AF_rr0.2,prospective,AP,0.2,0.1,3,rule,,p_window_met_first_N,0.70195,0.00144643,100000
a,N=3,AF_rr0.2,prospective,AP,0.2,0.15,3,rule,,p_window_met_first_N,0.56433,0.001568,100000
a,N=3,AF_rr0.2,prospective,AP,0.2,0.2,3,rule,,p_window_met_first_N,0.44354,0.00157103,100000
