panel,axis,series,x_beat_cv,y,mcse,n,table,x_false_alarm,x_mcse,n_nonevent,x_r_mean
a,AP,p_any_trigger tau=2 view_errors=True,0.05,0.10041,0.0009504095532979,100000.0,E4_any_trigger.csv cell 181,,,,
a,AP,p_any_trigger tau=2 view_errors=True,0.1,0.13606,0.0010841940619649,100000.0,E4_any_trigger.csv cell 187,,,,
a,AP,p_any_trigger tau=2 view_errors=True,0.15,0.18365,0.0012244291629163,100000.0,E4_any_trigger.csv cell 193,,,,
a,AP,p_any_trigger tau=2 view_errors=True,0.2,0.23329,0.0013374071029421,100000.0,E4_any_trigger.csv cell 199,,,,
a,AP,p_any_trigger tau=2 view_errors=True,0.25,0.28122,0.0014217429852121,100000.0,E4_any_trigger.csv cell 205,,,,
a,AP,p_any_trigger tau=2 view_errors=True,0.3,0.3236,0.0014794696347002,100000.0,E4_any_trigger.csv cell 211,,,,
a,AP,p_any_trigger tau=2 view_errors=False,0.05,0.06784,0.0007952215691239,100000.0,E4_any_trigger.csv cell 37,,,,
a,AP,p_any_trigger tau=2 view_errors=False,0.1,0.17529,0.0012023452744532,100000.0,E4_any_trigger.csv cell 43,,,,
a,AP,p_any_trigger tau=2 view_errors=False,0.15,0.28164,0.0014223885207635,100000.0,E4_any_trigger.csv cell 49,,,,
a,AP,p_any_trigger tau=2 view_errors=False,0.2,0.36454,0.0015220071892077,100000.0,E4_any_trigger.csv cell 55,,,,
a,AP,p_any_trigger tau=2 view_errors=False,0.25,0.43159,0.0015662696827175,100000.0,E4_any_trigger.csv cell 61,,,,
a,AP,p_any_trigger tau=2 view_errors=False,0.3,0.47431,0.0015790504231974,100000.0,E4_any_trigger.csv cell 67,,,,
a,AP,p_any_trigger tau=3 view_errors=True,0.05,0.04015,0.0006207896382833,100000.0,E4_any_trigger.csv cell 181,,,,
a,AP,p_any_trigger tau=3 view_errors=True,0.1,0.05853,0.0007423222959065,100000.0,E4_any_trigger.csv cell 187,,,,
a,AP,p_any_trigger tau=3 view_errors=True,0.15,0.09269,0.0009170526915068,100000.0,E4_any_trigger.csv cell 193,,,,
a,AP,p_any_trigger tau=3 view_errors=True,0.2,0.1332,0.0010745127267743,100000.0,E4_any_trigger.csv cell 199,,,,
a,AP,p_any_trigger tau=3 view_errors=True,0.25,0.1768,0.001206406896532,100000.0,E4_any_trigger.csv cell 205,,,,
a,AP,p_any_trigger tau=3 view_errors=True,0.3,0.2209,0.0013118810540593,100000.0,E4_any_trigger.csv cell 211,,,,
a,AP,p_any_trigger tau=3 view_errors=False,0.05,0.00593,0.0002427928149678,100000.0,E4_any_trigger.csv cell 37,,,,
a,AP,p_any_trigger tau=3 view_errors=False,0.1,0.05136,0.0006980125385693,100000.0,E4_any_trigger.csv cell 43,,,,
a,AP,p_any_trigger tau=3 view_errors=False,0.15,0.13073,0.0010660190762833,100000.0,E4_any_trigger.csv cell 49,,,,
a,AP,p_any_trigger tau=3 view_errors=False,0.2,0.21422,0.0012974197146644,100000.0,E4_any_trigger.csv cell 55,,,,
a,AP,p_any_trigger tau=3 view_errors=False,0.25,0.28743,0.0014311324016316,100000.0,E4_any_trigger.csv cell 61,,,,
a,AP,p_any_trigger tau=3 view_errors=False,0.3,0.34225,0.0015003830760842,100000.0,E4_any_trigger.csv cell 67,,,,
a,AP,p_any_trigger tau=4 view_errors=True,0.05,0.01815,0.0004221442585183,100000.0,E4_any_trigger.csv cell 181,,,,
a,AP,p_any_trigger tau=4 view_errors=True,0.1,0.02711,0.0005135664309512,100000.0,E4_any_trigger.csv cell 187,,,,
a,AP,p_any_trigger tau=4 view_errors=True,0.15,0.04641,0.0006652526730498,100000.0,E4_any_trigger.csv cell 193,,,,
a,AP,p_any_trigger tau=4 view_errors=True,0.2,0.07448,0.0008302573673265,100000.0,E4_any_trigger.csv cell 199,,,,
a,AP,p_any_trigger tau=4 view_errors=True,0.25,0.10972,0.0009883396258371,100000.0,E4_any_trigger.csv cell 205,,,,
a,AP,p_any_trigger tau=4 view_errors=True,0.3,0.14811,0.0011232694596578,100000.0,E4_any_trigger.csv cell 211,,,,
a,AP,p_any_trigger tau=4 view_errors=False,0.05,0.00032,5.65594908039314e-05,100000.0,E4_any_trigger.csv cell 37,,,,
a,AP,p_any_trigger tau=4 view_errors=False,0.1,0.01339,0.0003634653752422,100000.0,E4_any_trigger.csv cell 43,,,,
a,AP,p_any_trigger tau=4 view_errors=False,0.15,0.05667,0.0007311532746285,100000.0,E4_any_trigger.csv cell 49,,,,
a,AP,p_any_trigger tau=4 view_errors=False,0.2,0.11725,0.0010173614770571,100000.0,E4_any_trigger.csv cell 55,,,,
a,AP,p_any_trigger tau=4 view_errors=False,0.25,0.18206,0.0012203038818261,100000.0,E4_any_trigger.csv cell 61,,,,
a,AP,p_any_trigger tau=4 view_errors=False,0.3,0.23758,0.0013458667972723,100000.0,E4_any_trigger.csv cell 67,,,,
b,AP,p_any_adj tau=5 view_errors=True,0.05,0.0087,0.0002936717555366,100000.0,E4_any_trigger.csv cell 181,,,,
b,AP,p_any_adj tau=5 view_errors=True,0.1,0.01326,0.0003617205053629,100000.0,E4_any_trigger.csv cell 187,,,,
b,AP,p_any_adj tau=5 view_errors=True,0.15,0.02447,0.0004885818160758,100000.0,E4_any_trigger.csv cell 193,,,,
b,AP,p_any_adj tau=5 view_errors=True,0.2,0.0416,0.0006314225209794,100000.0,E4_any_trigger.csv cell 199,,,,
b,AP,p_any_adj tau=5 view_errors=True,0.25,0.06812,0.0007967412729362,100000.0,E4_any_trigger.csv cell 205,,,,
b,AP,p_any_adj tau=5 view_errors=True,0.3,0.09843,0.0009420272559751,100000.0,E4_any_trigger.csv cell 211,,,,
b,AP,p_any_adj tau=5 view_errors=False,0.05,3e-05,1.732024826611905e-05,100000.0,E4_any_trigger.csv cell 37,,,,
b,AP,p_any_adj tau=5 view_errors=False,0.1,0.00381,0.0001948200169387,100000.0,E4_any_trigger.csv cell 43,,,,
b,AP,p_any_adj tau=5 view_errors=False,0.15,0.0237,0.0004810229724243,100000.0,E4_any_trigger.csv cell 49,,,,
b,AP,p_any_adj tau=5 view_errors=False,0.2,0.0632,0.000769452792574,100000.0,E4_any_trigger.csv cell 55,,,,
b,AP,p_any_adj tau=5 view_errors=False,0.25,0.11251,0.0009992572236416,100000.0,E4_any_trigger.csv cell 61,,,,
b,AP,p_any_adj tau=5 view_errors=False,0.3,0.16136,0.0011632839309472,100000.0,E4_any_trigger.csv cell 67,,,,
b,AP,p_any_adj tau=6 view_errors=True,0.05,0.00464,0.0002149062679402,100000.0,E4_any_trigger.csv cell 181,,,,
