panel,quantity,ai,lam,sigma_ai_mm,reference,value,mcse,n_studies,n_patients_per_study,sigma_rb_mm,n_double,overlap_frac,sentinel_n,w_anchor
a1,mae,independent,0.0,1.0,true,0.799088695847059,0.0009440897214717,2000,200.0,,,,,
a1,mae,independent,0.0,1.0,single,1.7224858709652136,0.003134514844096,2000,200.0,,,,,
a1,mae,independent,0.0,1.0,adj_tol1,1.6652788045254534,0.003083427590226,2000,200.0,,,,,
a1,mae,independent,0.0,1.0,adj_tol2,1.6234102474359444,0.0029450012620621,2000,200.0,,,,,
a1,mae,independent,0.0,1.0,adj_tol3,1.602365948475838,0.0028348821727724,2000,200.0,,,,,
a1,mae,independent,0.0,1.0,mean2,1.5857053599649784,0.0027749396194556,2000,200.0,,,,,
a1,mae,inherited,0.0,1.0,true,0.8664904478155167,0.0010058701049881,2000,200.0,,,,,
a1,mae,inherited,0.0,1.0,single,1.6985322242270142,0.002851965132155,2000,200.0,,,,,
a1,mae,inherited,0.0,1.0,adj_tol1,1.6403471577807427,0.0027242660697762,2000,200.0,,,,,
a1,mae,inherited,0.0,1.0,adj_tol2,1.5978422064554056,0.0025705175631743,2000,200.0,,,,,
a1,mae,inherited,0.0,1.0,adj_tol3,1.5762679022358703,0.0024805134067893,2000,200.0,,,,,
a1,mae,inherited,0.0,1.0,mean2,1.558369653503568,0.00240048720159,2000,200.0,,,,,
a1,mae,independent,0.0,2.0,true,1.598177391694118,0.0018881794429435,2000,200.0,,,,,
a1,mae,independent,0.0,2.0,single,2.2271218588371675,0.0032384242308902,2000,200.0,,,,,
a1,mae,independent,0.0,2.0,adj_tol1,2.1847540028753154,0.0031778111217848,2000,200.0,,,,,
a1,mae,independent,0.0,2.0,adj_tol2,2.152719975528263,0.0030759312749039,2000,200.0,,,,,
a1,mae,independent,0.0,2.0,adj_tol3,2.13744531994292,0.003019112258614,2000,200.0,,,,,
a1,mae,independent,0.0,2.0,mean2,2.123979465184453,0.002982942994946,2000,200.0,,,,,
a1,mae,inherited,0.0,2.0,true,1.6325816111258795,0.001906159037877,2000,200.0,,,,,
a1,mae,inherited,0.0,2.0,single,2.207081652232754,0.0030404655407248,2000,200.0,,,,,
a1,mae,inherited,0.0,2.0,adj_tol1,2.1643691331250947,0.0029510605361016,2000,200.0,,,,,
a1,mae,inherited,0.0,2.0,adj_tol2,2.132162508708579,0.0028432294206336,2000,200.0,,,,,
a1,mae,inherited,0.0,2.0,adj_tol3,2.116675785425256,0.0028068147018982,2000,200.0,,,,,
a1,mae,inherited,0.0,2.0,mean2,2.102369737515596,0.002766706326376,2000,200.0,,,,,
a1,mae,independent,0.0,3.0,true,2.3972660875411766,0.0028322691644153,2000,200.0,,,,,
a1,mae,independent,0.0,3.0,single,2.8653921026835487,0.0037146343486653,2000,200.0,,,,,
a1,mae,independent,0.0,3.0,adj_tol1,2.83284849174061,0.0036325971697431,2000,200.0,,,,,
a1,mae,independent,0.0,3.0,adj_tol2,2.8080037216325007,0.0035725960709098,2000,200.0,,,,,
a1,mae,independent,0.0,3.0,adj_tol3,2.796510489683588,0.003554265614117,2000,200.0,,,,,
a1,mae,independent,0.0,3.0,mean2,2.7855144912618632,0.00353566906842,2000,200.0,,,,,
a1,mae,inherited,0.0,3.0,true,2.420539263028612,0.0028349183249537,2000,200.0,,,,,
a1,mae,inherited,0.0,3.0,single,2.848917147063144,0.003582147485424,2000,200.0,,,,,
a1,mae,inherited,0.0,3.0,adj_tol1,2.816498961436203,0.0035080342834724,2000,200.0,,,,,
a1,mae,inherited,0.0,3.0,adj_tol2,2.7915195022290447,0.0034376301383383,2000,200.0,,,,,
a1,mae,inherited,0.0,3.0,adj_tol3,2.7799817827147115,0.0034273994859762,2000,200.0,,,,,
a1,mae,inherited,0.0,3.0,mean2,2.7683261202494176,0.0034076000169215,2000,200.0,,,,,
a2,loa_width,independent,0.0,1.0,true,3.918496427976733,0.0054043489597407,2000,200.0,,,,,
a2,loa_width,independent,0.0,1.0,single,8.51547801230607,0.0234614585236004,2000,200.0,,,,,
a2,loa_width,independent,0.0,1.0,adj_tol1,8.24472775602327,0.0233601307515485,2000,200.0,,,,,
a2,loa_width,independent,0.0,1.0,adj_tol2,8.04612386554453,0.0229101673408102,2000,200.0,,,,,
a2,loa_width,independent,0.0,1.0,adj_tol3,7.945908091755599,0.0224937794856238,2000,200.0,,,,,
a2,loa_width,independent,0.0,1.0,mean2,7.838175336113435,0.0220767112278694,2000,200.0,,,,,
a2,loa_width,inherited,0.0,1.0,true,3.9213202910187306,0.005416453328881,2000,200.0,,,,,
a2,loa_width,inherited,0.0,1.0,single,8.514782434303076,0.0234983262670236,2000,200.0,,,,,
a2,loa_width,inherited,0.0,1.0,adj_tol1,8.243769381360952,0.0233972403745877,2000,200.0,,,,,
a2,loa_width,inherited,0.0,1.0,adj_tol2,8.045156182348359,0.0229443412404067,2000,200.0,,,,,
a2,loa_width,inherited,0.0,1.0,adj_tol3,7.944898388228827,0.0225329616729266,2000,200.0,,,,,
a2,loa_width,inherited,0.0,1.0,mean2,7.83730048427627,0.0221156004752225,2000,200.0,,,,,
a2,loa_width,independent,0.0,2.0,true,7.836992855953467,0.0108086979194815,2000,200.0,,,,,
a2,loa_width,independent,0.0,2.0,single,10.897970834429106,0.0242969114638357,2000,200.0,,,,,
a2,loa_width,independent,0.0,2.0,adj_tol1,10.686266430752896,0.0243179368583311,2000,200.0,,,,,
a2,loa_width,independent,0.0,2.0,adj_tol2,10.532265310034374,0.0239157971897152,2000,200.0,,,,,
a2,loa_width,independent,0.0,2.0,adj_tol3,10.457818364330857,0.0235668153779396,2000,200.0,,,,,
a2,loa_width,independent,0.0,2.0,mean2,10.374194787825356,0.0232847962495931,2000,200.0,,,,,
a2,loa_width,inherited,0.0,2.0,true,7.838460569948245,0.0108187737954496,2000,200.0,,,,,
a2,loa_width,inherited,0.0,2.0,single,10.897528031027322,0.0243215302007313,2000,200.0,,,,,
a2,loa_width,inherited,0.0,2.0,adj_tol1,10.685623440748463,0.0243442860651485,2000,200.0,,,,,
a2,loa_width,inherited,0.0,2.0,adj_tol2,10.531623554115626,0.023939063066962,2000,200.0,,,,,
a2,loa_width,inherited,0.0,2.0,adj_tol3,10.457154837943454,0.0235934446109813,2000,200.0,,,,,
a2,loa_width,inherited,0.0,2.0,mean2,10.373643012833716,0.0233097522111902,2000,200.0,,,,,
a2,loa_width,independent,0.0,3.0,true,11.7554892839302,0.0162130468792222,2000,200.0,,,,,
a2,loa_width,independent,0.0,3.0,single,13.989026194655386,0.0265711735348017,2000,200.0,,,,,
a2,loa_width,independent,0.0,3.0,adj_tol1,13.823731980506992,0.0266614167481931,2000,200.0,,,,,
a2,loa_width,independent,0.0,3.0,adj_tol2,13.70382342743422,0.0263313705582182,2000,200.0,,,,,
a2,loa_width,independent,0.0,3.0,adj_tol3,13.648192527345234,0.0260484151707023,2000,200.0,,,,,
a2,loa_width,independent,0.0,3.0,mean2,13.582833795839376,0.0258599539304215,2000,200.0,,,,,
a2,loa_width,inherited,0.0,3.0,true,11.756504745381324,0.0162224465950296,2000,200.0,,,,,
a2,loa_width,inherited,0.0,3.0,single,13.98874085568366,0.0265885382399029,2000,200.0,,,,,
a2,loa_width,inherited,0.0,3.0,adj_tol1,13.823292503214692,0.0266811736501469,2000,200.0,,,,,
a2,loa_width,inherited,0.0,3.0,adj_tol2,13.70338597330133,0.0263487151701162,2000,200.0,,,,,
a2,loa_width,inherited,0.0,3.0,adj_tol3,13.647743023280196,0.0260678920763421,2000,200.0,,,,,
a2,loa_width,inherited,0.0,3.0,mean2,13.582473036848643,0.0258773840085081,2000,200.0,,,,,
b,mae_true,shared,0.0,2.0,T1,1.598177391694118,0.0018881794429435,2000,200.0,,,,,
b,mae_true,shared,0.5,2.0,T1,1.7404951846825143,0.0020668072230077,2000,200.0,,,,,
b,mae_true,shared,1.0,2.0,T1,2.082018608496891,0.0026350572091628,2000,200.0,,,,,
b,mae_apparent,shared,0.0,2.0,single,2.2271218588371675,0.0032384242308902,2000,200.0,,,,,
b,mae_apparent,shared,0.5,2.0,single,1.9559421517510227,0.0028432701133053,2000,200.0,,,,,
b,mae_apparent,shared,1.0,2.0,single,1.887187660027857,0.0027672265891857,2000,200.0,,,,,
b,mae_apparent,shared,0.0,2.0,adj_tol2,2.152719975528263,0.0030759312749039,2000,200.0,,,,,
b,mae_apparent,shared,0.5,2.0,adj_tol2,1.883374856002322,0.0026124291494241,2000,200.0,,,,,
b,mae_apparent,shared,1.0,2.0,adj_tol2,1.8142744391421068,0.0025627644560309,2000,200.0,,,,,
