u,view_over,K,beat_cv,rho,N_beats,estimator,axis,estimand,bias_mcse,relbias_pct_mcse,rmse_mcse,sd_err_mcse,bias,relbias_pct,rmse,sd_err,panel,s_det,f_rej
base,True,3,0.05,0.3,3.0,A1,AP,T1,0.0053347262397108,0.0518670938772687,0.0054612211320673,0.0037722399611203,-0.3224915112763145,-2.7686188174498567,1.7175280844304068,1.6869885610951705,a,,
base,True,3,0.1,0.3,3.0,A1,AP,T1,0.0057499690558273,0.0550482046895678,0.0062353501400243,0.0040658624403513,-0.2692083660864204,-2.274588666711697,1.838111665956108,1.8182998691902168,a,,
base,True,3,0.15,0.3,3.0,A1,AP,T1,0.0064115546076455,0.0600869130848068,0.0064728690451801,0.0045336764094527,-0.2054573046291033,-1.654106942090907,2.037884894854243,2.027511590270724,a,,
base,True,3,0.2,0.3,3.0,A1,AP,T1,0.0072023562573631,0.0659528451998107,0.0077057945870133,0.0050928604144685,-0.1512518833090493,-1.1193104482176337,2.282590375881456,2.277585029323333,a,,
base,True,3,0.25,0.3,3.0,A1,AP,T1,0.0081522602058588,0.073625048895434,0.0088978293514202,0.0057645472963685,-0.0828575439895698,-0.4364740373470012,2.579289351672754,2.577971032886704,a,,
base,True,3,0.3,0.3,3.0,A1,AP,T1,0.0091332254093811,0.0815653511283947,0.01012592075184,0.006458197912149,0.0027842285492298,0.4200895737814502,2.8881663688192947,2.8881794677368293,a,,
base,True,3,0.05,0.3,3.0,A2,AP,T1,0.0055847852195505,0.0495059041810908,0.0063419892869359,0.0039490592455602,-1.2954874512327932,-11.699184286073454,2.190260062487273,1.766064153662336,a,,
base,True,3,0.1,0.3,3.0,A2,AP,T1,0.0056799665351393,0.050387973376401,0.0061711002873946,0.0040163629357745,-1.244055247965104,-11.234317101098554,2.184912625712963,1.796163128457501,a,,
base,True,3,0.15,0.3,3.0,A2,AP,T1,0.0058848443076988,0.0521590155491196,0.006362113875009,0.0041612341224235,-1.1818644834460097,-10.599920980296144,2.2045199655308463,1.8609511687805096,a,,
base,True,3,0.2,0.3,3.0,A2,AP,T1,0.0061210417032677,0.0539565942351166,0.0065126488111903,0.004328251737619,-1.1250516739308531,-10.061501627799643,2.2388432180877245,1.9356433435202665,a,,
base,True,3,0.25,0.3,3.0,A2,AP,T1,0.0064766434489977,0.057086057174799,0.0069674600357646,0.0045797014006779,-1.0703283516507842,-9.467360484168132,2.3108984984160723,2.0480944891641446,a,,
base,True,3,0.3,0.3,3.0,A2,AP,T1,0.0068344319407601,0.0599707262559749,0.0070798481468781,0.0048326973344165,-0.9980300651901688,-8.762544191985725,2.380538446833361,2.161237144620704,a,,
base,True,3,0.05,0.3,3.0,A3,AP,T1,0.0055543672633692,0.0530557827472757,0.0065961410360164,0.00392755039493,0.1662171715250126,2.241151092128318,1.7642836695817472,1.756445151332303,a,,
base,True,3,0.1,0.3,3.0,A3,AP,T1,0.0059069854669863,0.0555342210253981,0.0076921850428217,0.0041768903645804,0.3176878070746495,3.605774899959619,1.8947660491483893,1.867952818119024,a,,
base,True,3,0.15,0.3,3.0,A3,AP,T1,0.0064558061752536,0.0597565272458079,0.0075676160779434,0.0045649671494406,0.5389543142012205,5.6254157246467225,2.1114387068080065,2.0415051646381723,a,,
