u,axis,cutoff_mm,estimator,sensitivity,sensitivity_mcse,panel,metric,specificity,specificity_mcse,nri_vs_A1,nri_vs_A1_mcse
base,AP,7.0,A1,0.9072030989506716,0.0010158692065126,a,sensitivity,,,,
base,AP,10.0,A1,0.8390649226732397,0.0016383747497776,a,sensitivity,,,,
base,AP,13.0,A1,0.7868605235683075,0.0025465849546581,a,sensitivity,,,,
base,AP,7.0,A2,0.8472222222222222,0.0012596432405242,a,sensitivity,,,,
base,AP,10.0,A2,0.730330378086113,0.0019786355266959,a,sensitivity,,,,
base,AP,13.0,A2,0.6435559336452573,0.0029782845395931,a,sensitivity,,,,
base,AP,7.0,A3,0.9492865548690792,0.0007682083423431,a,sensitivity,,,,
base,AP,10.0,A3,0.9050013914841172,0.0013072942538425,a,sensitivity,,,,
base,AP,13.0,A3,0.8708093267855072,0.0020857125746381,a,sensitivity,,,,
base,AP,7.0,A4,0.9471658330881632,0.000783229867712,a,sensitivity,,,,
base,AP,10.0,A4,0.8988192263348308,0.0013445448127534,a,sensitivity,,,,
base,AP,13.0,A4,0.8596728664784811,0.0021598061802239,a,sensitivity,,,,
base,AP,7.0,A5,0.8454815141708346,0.0012654968747413,a,sensitivity,,,,
base,AP,10.0,A5,0.734584343815847,0.0019686758299543,a,sensitivity,,,,
base,AP,13.0,A5,0.6562004562855265,0.0029535767104324,a,sensitivity,,,,
base,AP,7.0,A6,0.8828209277238404,0.0011261082350269,a,sensitivity,,,,
base,AP,10.0,A6,0.8113545103963742,0.0017442898238368,a,sensitivity,,,,
base,AP,13.0,A6,0.7598314063647964,0.0026564036637583,a,sensitivity,,,,
base,AP,7.0,A7,0.944407668922232,0.0008022431026946,a,sensitivity,,,,
base,AP,10.0,A7,0.90273526020753,0.0013211375133636,a,sensitivity,,,,
base,AP,13.0,A7,0.8709639998453269,0.0020846487577264,a,sensitivity,,,,
base,AP,7.0,A1,,,b,specificity,0.7940186712983066,0.0029794583764682,,
base,AP,10.0,A1,,,b,specificity,0.8849760534470962,0.0014312250012038,,
base,AP,13.0,A1,,,b,specificity,0.9353241883489122,0.0009032930416432,,
base,AP,7.0,A2,,,b,specificity,0.9034954407294832,0.0021754291119277,,
base,AP,10.0,A2,,,b,specificity,0.954904012556848,0.0009308867136468,,
base,AP,13.0,A2,,,b,specificity,0.9761663901590256,0.0005601875804983,,
base,AP,7.0,A3,,,b,specificity,0.6960486322188449,0.0033886747041905,,
base,AP,10.0,A3,,,b,specificity,0.8249084396506621,0.0017048395117345,,
base,AP,13.0,A3,,,b,specificity,0.8964782368254225,0.0011188254678419,,
base,AP,7.0,A4,,,b,specificity,0.7022904906643509,0.0033687034781155,,
base,AP,10.0,A4,,,b,specificity,0.8340242282770556,0.0016690129406804,,
base,AP,13.0,A4,,,b,specificity,0.9062436774167444,0.0010705314122773,,
base,AP,7.0,A5,,,b,specificity,0.8923143725575337,0.002283735763715,,
base,AP,10.0,A5,,,b,specificity,0.9463516722340726,0.001010770117289,,
base,AP,13.0,A5,,,b,specificity,0.9719041260335316,0.0006068895004523,,
base,AP,7.0,A6,,,b,specificity,0.7830004342162397,0.0030368159473715,,
base,AP,10.0,A6,,,b,specificity,0.8688775304865779,0.0015141394167192,,
base,AP,13.0,A6,,,b,specificity,0.9208918383037268,0.0009912691634509,,
base,AP,7.0,A7,,,b,specificity,0.7504342162396873,0.0031882830646215,,
base,AP,10.0,A7,,,b,specificity,0.8585744757918461,0.0015631509088011,,
base,AP,13.0,A7,,,b,specificity,0.9224025141963068,0.0009825636699048,,
base,AP,7.0,A1,,,c,nri_vs_A1,,,0.0,0.0
