u,view_over,rho,N_beats,estimator,axis,estimand,bias_mcse,relbias_pct_mcse,rmse_mcse,sd_err_mcse,bias,relbias_pct,rmse,sd_err,panel,K,beat_cv,s_det,f_rej
base,True,0.0,3.0,A1,AP,T1,0.0064050745248976,0.0601481046052237,0.0065284826616139,0.0045290942760883,-0.1953943743252321,-1.5142184121605955,2.034855253694377,2.025462408179754,a,,,,
base,True,0.3,3.0,A1,AP,T1,0.0064115546076455,0.0600869130848068,0.0064728690451801,0.0045336764094527,-0.2054573046291033,-1.654106942090907,2.037884894854243,2.027511590270724,a,,,,
base,True,0.6,3.0,A1,AP,T1,0.0064115258918087,0.0600878641364724,0.0063918881198729,0.0045336561041883,-0.2043073839626162,-1.609120505742185,2.0377602473330443,2.0275025095258066,a,,,,
base,True,0.9,3.0,A1,AP,T1,0.0064500978606536,0.0601178549882983,0.0068741107845863,0.0045609307412957,-0.2071506184358584,-1.6602512915895145,2.050181947085883,2.039700037064498,a,,,,
base,True,0.0,3.0,A2,AP,T1,0.0057986374570072,0.0514756938661156,0.0061292915307997,0.0041002763689252,-1.1745825991929308,-10.504928609791074,2.177620328227861,1.8336901689709608,a,,,,
base,True,0.3,3.0,A2,AP,T1,0.0058848443076988,0.0521590155491196,0.006362113875009,0.0041612341224235,-1.1818644834460097,-10.599920980296144,2.2045199655308463,1.8609511687805096,a,,,,
base,True,0.6,3.0,A2,AP,T1,0.0061413287748758,0.0541962859194643,0.0067744828892741,0.0043425969352497,-1.1862468625864442,-10.639495176304722,2.2756835929427712,1.9420586788539265,a,,,,
base,True,0.9,3.0,A2,AP,T1,0.0065878727359388,0.0576728495360453,0.0073884346535352,0.0046583527769984,-1.1862741458160853,-10.650467829275714,2.397333866497771,2.08326827808918,a,,,,
base,True,0.0,3.0,A3,AP,T1,0.0064757133597421,0.059913591419465,0.0080944143767889,0.0045790437249698,0.5735249175837346,5.956935110962925,2.1265877005146545,2.0478003691166515,a,,,,
base,True,0.3,3.0,A3,AP,T1,0.0064558061752536,0.0597565272458079,0.0075676160779434,0.0045649671494406,0.5389543142012205,5.6254157246467225,2.1114387068080065,2.0415051646381723,a,,,,
base,True,0.6,3.0,A3,AP,T1,0.0065192273206899,0.0604569450948092,0.0074960379750219,0.0046098128956785,0.4909895292044857,5.203082786242431,2.1192122836909606,2.06156069177773,a,,,,
base,True,0.9,3.0,A3,AP,T1,0.0066822295996622,0.0614141197165476,0.0081755339241803,0.0047250734887931,0.4027334477872556,4.360548851996782,2.1511319857308817,2.113106538312798,a,,,,
