cell,u_anchor,u_long,anchor_mean_pct,long_mean_pct,combo,axis,estimand,cutoff_mm,estimator,nri_events_vs_A1_mcse,nri_nonevents_vs_A1_mcse,nri_vs_A1_mcse,ppv_mcse,prevalence_mcse,sensitivity_mcse,specificity_mcse,nri_events_vs_A1,nri_nonevents_vs_A1,nri_vs_A1,ppv,prevalence,sensitivity,specificity,panel
0,0.03,0.1,2.4,8.0,2.4/8,AP,T1,7.0,A1,0.0,0.0,0.0,0.0007991804100379,0.0012323226326737,0.000947146709777,0.0030611662689858,0.0,0.0,0.0,0.946627899627078,0.81327,0.9207643218119445,0.7738981417019226,AP sensitivity 7 mm
1,0.03,0.25,2.4,20.0,2.4/20,AP,T1,7.0,A1,0.0,0.0,0.0,0.0008095181207977,0.0012282637355226,0.0009521164486026,0.0031186519396584,0.0,0.0,0.0,0.945007692113692,0.81486,0.9196794541393614,0.7644485254402074,AP sensitivity 7 mm
2,0.03,0.5,2.4,40.0,2.4/40,AP,T1,7.0,A1,0.0,0.0,0.0,0.0008135818074395,0.0012331354244364,0.0009459563555305,0.0031024472518094,0.0,0.0,0.0,0.9444367360839566,0.81295,0.9210160526477644,0.764501470195135,AP sensitivity 7 mm
3,0.06,0.1,4.8,8.0,4.8/8,AP,T1,7.0,A1,0.0,0.0,0.0,0.0007790398953703,0.0012344533004532,0.0010229546962523,0.0029433410385422,0.0,0.0,0.0,0.950549379607752,0.81243,0.906182686508376,0.7958095644292797,AP sensitivity 7 mm
4,0.06,0.25,4.8,20.0,4.8/20,AP,T1,7.0,A1,0.0,0.0,0.0,0.0007772444403205,0.0012302846625882,0.0010171456064355,0.0029673736317631,0.0,0.0,0.0,0.9506333350496884,0.81407,0.9071578611175944,0.7937395794116066,AP sensitivity 7 mm
5,0.06,0.5,4.8,40.0,4.8/40,AP,T1,7.0,A1,0.0,0.0,0.0,0.0007725352298251,0.001232678397231,0.0010265535531867,0.0029312616282996,0.0,0.0,0.0,0.9514682314015406,0.81313,0.9053533875272096,0.7990581687804356,AP sensitivity 7 mm
6,0.125,0.1,10.0,8.0,10/8,AP,T1,7.0,A1,0.0,0.0,0.0,0.000728858100519,0.0012294159259583,0.0012019937928888,0.0026938236392368,0.0,0.0,0.0,0.9593993781026676,0.81441,0.8637786864110215,0.8395926504660811,AP sensitivity 7 mm
7,0.125,0.25,10.0,20.0,10/20,AP,T1,7.0,A1,0.0,0.0,0.0,0.0007134437282934,0.0012318902808286,0.0012047281080473,0.0026244336702061,0.0,0.0,0.0,0.9613246810141832,0.81344,0.8632351494885917,0.8485741852487135,AP sensitivity 7 mm
8,0.125,0.5,10.0,40.0,10/40,AP,T1,7.0,A1,0.0,0.0,0.0,0.0007167823932344,0.0012298249367288,0.0012010237093684,0.0026508250081943,0.0,0.0,0.0,0.9608461706544302,0.81425,0.8640712311943506,0.8456527590847914,AP sensitivity 7 mm
9,0.25,0.1,20.0,8.0,20/8,AP,T1,7.0,A1,0.0,0.0,0.0,0.0006822229992881,0.0012303357163798,0.0015215140240721,0.0022169889706965,0.0,0.0,0.0,0.9698678133460742,0.81405,0.7480867268595295,0.898252218338263,AP sensitivity 7 mm
10,0.25,0.25,20.0,20.0,20/20,AP,T1,7.0,A1,0.0,0.0,0.0,0.0006803173106517,0.0012394886651357,0.0015283158419596,0.0021574294244902,0.0,0.0,0.0,0.9702612963764976,0.81043,0.7463815505349012,0.9021997151448014,AP sensitivity 7 mm
11,0.25,0.5,20.0,40.0,20/40,AP,T1,7.0,A1,0.0,0.0,0.0,0.0006794222647384,0.0012244291629163,0.0015197868967611,0.0022394835769311,0.0,0.0,0.0,0.9700498903682988,0.81635,0.7478777485147302,0.8973591069970052,AP sensitivity 7 mm
0,0.03,0.1,2.4,8.0,2.4/8,AP,T1,7.0,A2,0.0007944964336811,0.0025819549738275,0.0027014285239488,0.0007102925045238,0.0012323226326737,0.0009438474529885,0.0027620972263071,0.000602505932839,0.054035238044235,0.054637743977074,0.95888412566383,0.81327,0.9213668277447834,0.8279333797461575,AP sensitivity 7 mm
1,0.03,0.25,2.4,20.0,2.4/20,AP,T1,7.0,A2,0.0010424733710995,0.002764860705117,0.0029548613246905,0.0006144694552099,0.0012282637355226,0.0012454606482147,0.0022702724885852,-0.0681098593623444,0.1287134060710813,0.0606035467087368,0.972284885594586,0.81486,0.8515695947770169,0.8931619315112888,AP sensitivity 7 mm
2,0.03,0.5,2.4,40.0,2.4/40,AP,T1,7.0,A2,0.0014925000919756,0.0029685402396853,0.0033226175944845,0.0005069416619656,0.0012331354244364,0.0016042271599552,0.0015448238892224,-0.219066363244972,0.1886661320502539,-0.030400231194718,0.9848811722269204,0.81295,0.7019496894027923,0.9531676022453888,AP sensitivity 7 mm
3,0.06,0.1,4.8,8.0,4.8/8,AP,T1,7.0,A2,0.0008391989243441,0.0025078016349452,0.0026444893410362,0.0007056599797132,0.0012344533004532,0.0009675630726037,0.0027214374822464,0.0108809374346097,0.0374793410460094,0.0483602784806192,0.9597202184666116,0.81243,0.917063623942986,0.8332889054752892,AP sensitivity 7 mm
4,0.06,0.25,4.8,20.0,4.8/20,AP,T1,7.0,A2,0.0010519029200018,0.0026776564025654,0.0028768634940345,0.0005910714412133,0.0012302846625882,0.0012594448502396,0.0021669693448632,-0.0594911985455796,0.1096111439789168,0.0501199454333371,0.9746197195034108,0.81407,0.8476666625720147,0.9033507233905234,AP sensitivity 7 mm
5,0.06,0.5,4.8,40.0,4.8/40,AP,T1,7.0,A2,0.0014939073070234,0.0027671252503945,0.0031446368937206,0.000502010650949,0.001232678397231,0.0016219044215105,0.001506205732638,-0.2153530185825145,0.156579440252582,-0.0587735783299324,0.9854395363133398,0.81313,0.6900003689446952,0.9556376090330176,AP sensitivity 7 mm
6,0.125,0.1,10.0,8.0,10/8,AP,T1,7.0,A2,0.0009645788173112,0.0024129885063425,0.0025986392259308,0.0006749194179767,0.0012294159259583,0.0010292458651892,0.0026121757922817,0.0408516594835525,0.0116385581119672,0.0524902175955197,0.9638778046706352,0.81441,0.904630345894574,0.8512312085780483,AP sensitivity 7 mm
7,0.125,0.25,10.0,20.0,10/20,AP,T1,7.0,A2,0.0011033275669791,0.0023573550924989,0.0026027782756483,0.0005655033355509,0.0012318902808286,0.0013242895074326,0.0020219336626298,-0.0356018882769472,0.0682354202401372,0.0326335319631899,0.9774664246823956,0.81344,0.8276332612116444,0.9168096054888508,AP sensitivity 7 mm
8,0.125,0.5,10.0,40.0,10/40,AP,T1,7.0,A2,0.0015071635696479,0.0025290441160449,0.0029440798505773,0.0004848932322024,0.0012298249367288,0.0016524641332816,0.0014162924559342,-0.1977648142462388,0.1155854643337819,-0.0821793499124569,0.9869028995525158,0.81425,0.6663064169481118,0.9612382234185732,AP sensitivity 7 mm
9,0.25,0.1,20.0,8.0,20/8,AP,T1,7.0,A2,0.0012880752425239,0.0021151636993122,0.0024765006168566,0.0006281339269107,0.0012303357163798,0.0011548908172837,0.0023675642216097,0.1279773969657883,-0.0164560365689701,0.1115213603968181,0.9701009331555894,0.81405,0.8760641238253178,0.8817961817692929,AP sensitivity 7 mm
10,0.25,0.25,20.0,20.0,20/20,AP,T1,7.0,A2,0.001306760439893,0.002020844902871,0.0024065404564912,0.0005318494976085,0.0012394886651357,0.0014271925520499,0.0017903752299715,0.0450378194291919,0.0328110988025531,0.077848918231745,0.9811537225987058,0.81043,0.7914193699640931,0.9350108139473544,AP sensitivity 7 mm
11,0.25,0.5,20.0,40.0,20/40,AP,T1,7.0,A2,0.0015522792004035,0.0021443319970979,0.0026472118218577,0.0004618528701158,0.0012244291629163,0.001699732283357,0.0012720441843397,-0.1289275433331291,0.0719847536074053,-0.0569427897257237,0.9889804466540096,0.81635,0.618950205181601,0.9693438606044106,AP sensitivity 7 mm
0,0.03,0.1,2.4,8.0,2.4/8,AP,T1,7.0,A3,0.0007556919874763,0.0025858963113263,0.0026940545860964,0.0009315665834809,0.0012323226326737,0.0006021043904322,0.0035377633193643,0.048827572638853,-0.1462539495528303,-0.0974263769139772,0.9189693148577622,0.81327,0.9695918944507974,0.6276441921490923,AP sensitivity 7 mm
1,0.03,0.25,2.4,20.0,2.4/20,AP,T1,7.0,A3,0.0006385607206428,0.0020743782110234,0.0021704388395706,0.0008898534122991,0.0012282637355226,0.0007331715236666,0.003436276101903,0.0344108190363988,-0.0872852976126174,-0.0528744785762185,0.9286089677743008,0.81486,0.9540902731757602,0.67716322782759,AP sensitivity 7 mm
2,0.03,0.5,2.4,40.0,2.4/40,AP,T1,7.0,A3,0.0005077321252372,0.0016228847179456,0.001700454856425,0.0008645093625725,0.0012331354244364,0.0008169285544493,0.0033091460971549,0.021415831231933,-0.0519647153167602,-0.0305488840848271,0.9344204312615864,0.81295,0.9424318838796976,0.7125367548783748,AP sensitivity 7 mm
3,0.06,0.1,4.8,8.0,4.8/8,AP,T1,7.0,A3,0.0008394388088349,0.002664797382232,0.0027938866480458,0.0009265243293449,0.0012344533004532,0.0006253667553304,0.0035098854706608,0.0609652523909752,-0.1582342592098949,-0.0972690068189197,0.9203720189289228,0.81243,0.9671479388993514,0.6375753052193848,AP sensitivity 7 mm
4,0.06,0.25,4.8,20.0,4.8/20,AP,T1,7.0,A3,0.0007107405464577,0.0021518120854153,0.0022661525489954,0.0008714417469506,0.0012302846625882,0.0007629430618464,0.0033652142383582,0.0429692778262311,-0.0951433335126122,-0.0521740556863811,0.9324420440983232,0.81407,0.9501271389438256,0.6985962458989943,AP sensitivity 7 mm
5,0.06,0.5,4.8,40.0,4.8/40,AP,T1,7.0,A3,0.0005623980030459,0.001650984606692,0.0017441449725765,0.0008311496271681,0.001232678397231,0.0008842245391422,0.0031875199218184,0.0264164401756176,-0.0538342163001016,-0.027417776124484,0.940876238730348,0.81313,0.9317698277028272,0.7452239524803339,AP sensitivity 7 mm
6,0.125,0.1,10.0,8.0,10/8,AP,T1,7.0,A3,0.0010391307919153,0.0028654446473747,0.0030480429507923,0.000911480301313,0.0012294159259583,0.0006766142231168,0.0034964537923481,0.0974324971451725,-0.187563985128509,-0.0901314879833365,0.9237904177484068,0.81441,0.961211183556194,0.6520286653375721,AP sensitivity 7 mm
7,0.125,0.25,10.0,20.0,10/20,AP,T1,7.0,A3,0.0009054710523777,0.002330240342974,0.0024999795764601,0.0008421203355328,0.0012318902808286,0.0008638100538648,0.0032343125236793,0.0718553304484657,-0.1143867924528301,-0.0425314620043644,0.938795156930748,0.81344,0.9350904799370574,0.7341873927958834,AP sensitivity 7 mm
8,0.125,0.5,10.0,40.0,10/40,AP,T1,7.0,A3,0.0007324929112985,0.0018625682167696,0.0020014260484022,0.0008015294761347,0.0012298249367288,0.0010036366720946,0.0030570354682785,0.0457844642308873,-0.0692328398384926,-0.0234483756076052,0.9469183772591324,0.81425,0.909855695425238,0.7764199192462988,AP sensitivity 7 mm
9,0.25,0.1,20.0,8.0,20/8,AP,T1,7.0,A3,0.0014206532334307,0.0030534340720584,0.0033677463149804,0.0008933920509643,0.0012303357163798,0.0007240000123569,0.0034345500604484,0.2072477120569989,-0.2231782737294971,-0.0159305616724982,0.9279092243261624,0.81405,0.9553344389165284,0.6750739446087658,AP sensitivity 7 mm
10,0.25,0.25,20.0,20.0,20/20,AP,T1,7.0,A3,0.0013218711123859,0.0025434135002703,0.0028664081131475,0.0008314041213412,0.0012394886651357,0.0009682701639236,0.0031059287418053,0.1707735399726071,-0.1431133618188532,0.0276601781537539,0.9421136686270534,0.81043,0.9171550905075084,0.7590863533259482,AP sensitivity 7 mm
11,0.25,0.5,20.0,40.0,20/40,AP,T1,7.0,A3,0.001127947099196,0.002059081706301,0.0023477823859566,0.0007736698172049,0.0012244291629163,0.0011937801124625,0.0028816283914804,0.1177191155754272,-0.0851075415191941,0.032611574056233,0.9534751926164808,0.81635,0.8655968640901575,0.8122515654778111,AP sensitivity 7 mm
0,0.03,0.1,2.4,8.0,2.4/8,AP,T1,7.0,A4,0.0007426460670898,0.0025334597012256,0.0026400646277503,0.0009263455408959,0.0012323226326737,0.0006187061833759,0.003523807785713,0.0470692389981187,-0.1392384726610614,-0.0921692336629427,0.9202413103714356,0.81327,0.9678335608100632,0.6346596690408611,AP sensitivity 7 mm
1,0.03,0.25,2.4,20.0,2.4/20,AP,T1,7.0,A4,0.0006244355133515,0.0020223524612238,0.0021165606978664,0.0008859672703102,0.0012282637355226,0.000744903401287,0.003422835924267,0.0328522691014407,-0.0825321378416333,-0.0496798687401926,0.9294789658351994,0.81486,0.9525317232408022,0.6819163875985741,AP sensitivity 7 mm
2,0.03,0.5,2.4,40.0,2.4/40,AP,T1,7.0,A4,0.0004967635519326,0.0015721955813113,0.0016488095622064,0.000861192551288,0.0012331354244364,0.000823126458367,0.0032974689232108,0.0204809643889538,-0.0485966319165998,-0.028115667527646,0.9350787387145248,0.81295,0.9414970170367182,0.7159048382785351,AP sensitivity 7 mm
3,0.06,0.1,4.8,8.0,4.8/8,AP,T1,7.0,A4,0.0008238804944463,0.0025993290458826,0.0027267729201197,0.0009193452295353,0.0012344533004532,0.0006468958659267,0.0034896695603557,0.058577354356683,-0.1489044090206323,-0.0903270546639492,0.922085102878722,0.81243,0.9647600408650592,0.6469051554086475,AP sensitivity 7 mm
4,0.06,0.25,4.8,20.0,4.8/20,AP,T1,7.0,A4,0.0006939108482,0.0020883623713475,0.0022006293779985,0.0008660379421818,0.0012302846625882,0.0007779828433459,0.0033453945017404,0.0408687213630277,-0.0890119937610928,-0.0481432723980651,0.9335881740981782,0.81407,0.948026582480622,0.7047275856505136,AP sensitivity 7 mm
5,0.06,0.5,4.8,40.0,4.8/40,AP,T1,7.0,A4,0.0005487127613553,0.0015924247396964,0.0016843106144864,0.0008268588603918,0.001232678397231,0.0008920069206276,0.00317104289061,0.0251128355859456,-0.0498742441269331,-0.0247614085409874,0.9416647997411196,0.81313,0.9304662231131552,0.7491839246535025,AP sensitivity 7 mm
6,0.125,0.1,10.0,8.0,10/8,AP,T1,7.0,A4,0.0010174065628336,0.0027752371674801,0.0029558513917077,0.0009000239601011,0.0012294159259583,0.0007130635527292,0.0034599951227774,0.0929384462371532,-0.1728002586346247,-0.0798618123974714,0.9264684898929846,0.81441,0.9567171326481748,0.6667923918314564,AP sensitivity 7 mm
7,0.125,0.25,10.0,20.0,10/20,AP,T1,7.0,A4,0.0008834567761252,0.0022504979310601,0.0024176924562457,0.0008336956007727,0.0012318902808286,0.0008864788456645,0.0031995831628209,0.0681304091266719,-0.1056496569468267,-0.0375192478201548,0.940464515808682,0.81344,0.9313655586152636,0.7429245283018868,AP sensitivity 7 mm
8,0.125,0.5,10.0,40.0,10/40,AP,T1,7.0,A4,0.0007090327431056,0.0017938511964486,0.0019288933474394,0.0007957779886342,0.0012298249367288,0.0010186211082248,0.0030304581050764,0.0427632790911882,-0.0638492597577388,-0.0210859806665506,0.947966415036204,0.81425,0.9068345102855389,0.7818034993270525,AP sensitivity 7 mm
