panel,series,x,y,lo,hi,what
a,"long-axis view, AP width","single beat, same beat",5.50212,4.46957,6.64786,median and 2.5-97.5 percentile of study LoA width (mm)
a,"long-axis view, AP width","3-beat mean, same beats",3.17579,2.59182,3.8197,median and 2.5-97.5 percentile of study LoA width (mm)
a,"long-axis view, AP width","single beat, different beats",9.87485,7.55206,13.0636,median and 2.5-97.5 percentile of study LoA width (mm)
a,"long-axis view, AP width","3-beat mean, different beats",5.68042,4.38341,7.43807,median and 2.5-97.5 percentile of study LoA width (mm)
a,"long-axis view, biplane width","single beat, same beat",3.87769,3.15122,4.68257,median and 2.5-97.5 percentile of study LoA width (mm)
a,"long-axis view, biplane width","3-beat mean, same beats",2.24119,1.81493,2.69485,median and 2.5-97.5 percentile of study LoA width (mm)
a,"long-axis view, biplane width","single beat, different beats",6.21853,4.85141,8.13867,median and 2.5-97.5 percentile of study LoA width (mm)
a,"long-axis view, biplane width","3-beat mean, different beats",3.61961,2.81464,4.65439,median and 2.5-97.5 percentile of study LoA width (mm)
b,"long-axis view, AP width","single beat, same beat",0.937499,0.813195,0.974234,"median and 2.5-97.5 percentile of study ICC(A,1)"
b,"long-axis view, AP width","3-beat mean, same beats",0.968833,0.837821,0.989839,"median and 2.5-97.5 percentile of study ICC(A,1)"
b,"long-axis view, AP width","single beat, different beats",0.82986,0.687704,0.916145,"median and 2.5-97.5 percentile of study ICC(A,1)"
b,"long-axis view, AP width","3-beat mean, different beats",0.927039,0.793931,0.968184,"median and 2.5-97.5 percentile of study ICC(A,1)"
b,"long-axis view, biplane width","single beat, same beat",0.936758,0.750817,0.976927,"median and 2.5-97.5 percentile of study ICC(A,1)"
b,"long-axis view, biplane width","3-beat mean, same beats",0.964252,0.771091,0.990967,"median and 2.5-97.5 percentile of study ICC(A,1)"
b,"long-axis view, biplane width","single beat, different beats",0.871942,0.696509,0.939143,"median and 2.5-97.5 percentile of study ICC(A,1)"
b,"long-axis view, biplane width","3-beat mean, different beats",0.939802,0.753433,0.976889,"median and 2.5-97.5 percentile of study ICC(A,1)"
b,"long-axis view, biplane width, n=10","single beat, same beat",0.925266,0.626049,0.988642,"median and 2.5-97.5 percentile of study ICC(A,1)"
b,"long-axis view, biplane width, n=10","3-beat mean, same beats",0.956426,0.662804,0.994661,"median and 2.5-97.5 percentile of study ICC(A,1)"
b,"long-axis view, biplane width, n=10","single beat, different beats",0.859487,0.507137,0.96957,"median and 2.5-97.5 percentile of study ICC(A,1)"
b,"long-axis view, biplane width, n=10","3-beat mean, different beats",0.930176,0.639316,0.987676,"median and 2.5-97.5 percentile of study ICC(A,1)"
c,"long-axis view mean, AP, vs T1 AP",0.1,-3.32191,-3.45526,-3.18855,"100*mean(view - truth)/mean(truth), u_anchor 0.06; lo/hi = 95% MCI"
c,"long-axis view mean, AP, vs T1 AP",0.25,-15.4353,-15.5963,-15.2744,"100*mean(view - truth)/mean(truth), u_anchor 0.06; lo/hi = 95% MCI"
c,"long-axis view mean, AP, vs T1 AP",0.5,-33.7281,-33.946,-33.5101,"100*mean(view - truth)/mean(truth), u_anchor 0.06; lo/hi = 95% MCI"
c,long-axis view biplane mean vs mean of T1 AP and SL,0.1,-2.95545,-3.07313,-2.83777,"100*mean(view - truth)/mean(truth), u_anchor 0.06; lo/hi = 95% MCI"
c,long-axis view biplane mean vs mean of T1 AP and SL,0.25,-14.9139,-15.0466,-14.7812,"100*mean(view - truth)/mean(truth), u_anchor 0.06; lo/hi = 95% MCI"
c,long-axis view biplane mean vs mean of T1 AP and SL,0.5,-33.2156,-33.3839,-33.0473,"100*mean(view - truth)/mean(truth), u_anchor 0.06; lo/hi = 95% MCI"
d,measured (with caliper),5.0,15.2847,15.1755,15.3939,"pooled CV sqrt(mean CV_i^2), 5 beats, AP long-axis view, series mean >= 3 mm; lo/hi 95% MCI"
