panel,estimator,u_anchor,u_long,bias_mm,mcse,source_cell,W,N_beats,rmse_mm,quantity,threshold_mm,value,ai,true_mae,apparent_mae
a,A1,0.03,0.1,0.009614470307761741,0.006039850257362481,36.0,,,,,,,,,
a,A1,0.03,0.25,0.004896329164395541,0.006010181892337513,108.0,,,,,,,,,
a,A1,0.03,0.5,0.01615579299059838,0.006027636584871373,180.0,,,,,,,,,
a,A1,0.06,0.1,-0.2485066081735715,0.006053159295934839,252.0,,,,,,,,,
a,A1,0.06,0.25,-0.2557310402631477,0.006067917468190075,324.0,,,,,,,,,
a,A1,0.06,0.5,-0.25048739635669465,0.006062409750043696,396.0,,,,,,,,,
a,A1,0.125,0.1,-0.8225351343563676,0.006472841624340269,468.0,,,,,,,,,
a,A1,0.125,0.25,-0.8312202133579867,0.006455479975844359,540.0,,,,,,,,,
a,A1,0.125,0.5,-0.8379931707659044,0.006462432789446569,612.0,,,,,,,,,
a,A1,0.25,0.1,-1.922365500179698,0.0081725263935901,684.0,,,,,,,,,
a,A1,0.25,0.25,-1.9274649101480417,0.008176023676060925,756.0,,,,,,,,,
a,A1,0.25,0.5,-1.9266419917428073,0.008209739286864767,828.0,,,,,,,,,
a,A2,0.03,0.1,-0.27504934153958793,0.005217798391316469,36.0,,,,,,,,,
a,A2,0.03,0.25,-1.1582414482249794,0.0057377095129738705,108.0,,,,,,,,,
a,A2,0.03,0.5,-2.500462572699595,0.007364200598392939,180.0,,,,,,,,,
a,A2,0.06,0.1,-0.36126468259802613,0.00519629229618016,252.0,,,,,,,,,
a,A2,0.06,0.25,-1.247259830426618,0.005807836266894687,324.0,,,,,,,,,
a,A2,0.06,0.5,-2.596490516268318,0.007431565000880312,396.0,,,,,,,,,
a,A2,0.125,0.1,-0.553079374251373,0.005229001370071221,468.0,,,,,,,,,
a,A2,0.125,0.25,-1.4400372109750528,0.00591831337496537,540.0,,,,,,,,,
a,A2,0.125,0.5,-2.8040322950334127,0.007670748491470391,612.0,,,,,,,,,
a,A2,0.25,0.1,-0.9203523747745824,0.005501765521553769,684.0,,,,,,,,,
a,A2,0.25,0.25,-1.7970765276526608,0.006258769262683089,756.0,,,,,,,,,
a,A2,0.25,0.5,-3.1609321231952983,0.008079344150049612,828.0,,,,,,,,,
a,A3,0.03,0.1,0.9197770079649943,0.006349697209956212,36.0,,,,,,,,,
a,A3,0.03,0.25,0.5466747792374969,0.006168758589313855,108.0,,,,,,,,,
a,A3,0.03,0.5,0.3242900756709765,0.006166799216779086,180.0,,,,,,,,,
a,A3,0.06,0.1,0.821609259082777,0.006315971006186061,252.0,,,,,,,,,
a,A3,0.06,0.25,0.39282427757342814,0.0062862960303262695,324.0,,,,,,,,,
a,A3,0.06,0.5,0.11980501242612822,0.006192716315887641,396.0,,,,,,,,,
a,A3,0.125,0.1,0.6792338101101266,0.006355547680363381,468.0,,,,,,,,,
a,A3,0.125,0.25,0.12660452284592197,0.006412296682367033,540.0,,,,,,,,,
a,A3,0.125,0.5,-0.2606304698398241,0.006511117706825649,612.0,,,,,,,,,
a,A3,0.25,0.1,0.555850782457942,0.006434364967168377,684.0,,,,,,,,,
a,A3,0.25,0.25,-0.14582522715432408,0.006725155626547603,756.0,,,,,,,,,
a,A3,0.25,0.5,-0.7675215473108369,0.007319215296873411,828.0,,,,,,,,,
a,A4,0.03,0.1,0.762640753204349,0.005912899852230857,36.0,,,,,,,,,
a,A4,0.03,0.25,0.45575040810509987,0.005934780506972567,108.0,,,,,,,,,
a,A4,0.03,0.5,0.27030295051623654,0.006004477419493505,180.0,,,,,,,,,
a,A4,0.06,0.1,0.6422000197978917,0.005895031230632051,252.0,,,,,,,,,
a,A4,0.06,0.25,0.27968329284447596,0.005987040874350272,324.0,,,,,,,,,
a,A4,0.06,0.5,0.056044728394325574,0.006024811347678504,396.0,,,,,,,,,
a,A4,0.125,0.1,0.4390675614241449,0.0059458467860557885,468.0,,,,,,,,,
a,A4,0.125,0.25,-0.030557284466876354,0.006148110261153734,540.0,,,,,,,,,
a,A4,0.125,0.5,-0.3644926762194716,0.006328717289577673,612.0,,,,,,,,,
a,A4,0.25,0.1,0.18881562101451194,0.00622234386345079,684.0,,,,,,,,,
a,A4,0.25,0.25,-0.4393848196118114,0.006645975836638709,756.0,,,,,,,,,
a,A4,0.25,0.5,-0.9722003195820829,0.007314102595149571,828.0,,,,,,,,,
b,,,,,0.00791701,,0.0,1.0,2.52595,,,,,,
b,,,,,0.00627396,,0.0,3.0,1.94244,,,,,,
b,,,,,0.00596741,,0.0,5.0,1.79908,,,,,,
b,,,,,0.00608717,,0.0,7.0,1.71858,,,,,,
b,,,,,0.0058576,,0.0,10.0,1.68645,,,,,,
b,,,,,0.005569,,0.0,13.0,1.64494,,,,,,
b,,,,,0.00817728,,0.15,1.0,2.54177,,,,,,
b,,,,,0.00654564,,0.15,3.0,2.04082,,,,,,
b,,,,,0.00618684,,0.15,5.0,1.89188,,,,,,
b,,,,,0.00583557,,0.15,7.0,1.81743,,,,,,
b,,,,,0.00604346,,0.15,10.0,1.75247,,,,,,
b,,,,,0.00542356,,0.15,13.0,1.70764,,,,,,
c,,,,,,,,,,"hit rate, true error > 2 mm",3.0,0.215586167035931,,,
c,,,,,,,,,,"hit rate, true error > 2 mm",5.0,0.0883826220980638,,,
c,,,,,,,,,,"P(any trigger), no view errors",3.0,0.13073,,,
c,,,,,,,,,,"P(any adjudication), no view errors",5.0,0.0237,,,
d,,,,,,,,,,,,,AI with error independent of the images,1.5942918899935408,2.117475159009091
d,,,,,,,,,,,,,AI sharing the reference's image error,2.082018608496891,1.7856509720300993
