axis,estimator,bias_amend2,bias_mcse_amend2,rmse_amend2,rmse_mcse_amend2,bias_main,bias_mcse_main,rmse_main,rmse_mcse_main,bias_diff,bias_diff_z,rmse_diff,rmse_diff_z
AP,A1,-0.2186056731333526,0.006391993140803038,2.033102361898457,0.006417457632818766,-0.2054573046291033,0.0064115546076455,2.037884894854243,0.0064728690451801,-0.013148368504249303,-1.4522989819064025,-0.004782532955786234,-0.5246927132220376
AP,A2,-1.1870010647523705,0.005907049682595913,2.213201353187946,0.006514313646152881,-1.1818644834460097,0.0058848443076988,2.2045199655308463,0.006362113875009,-0.0051365813063608545,-0.6160342073907945,0.008681387657099915,0.9534071917103867
AP,A3,0.5332238895883512,0.006436605067826934,2.104109019623382,0.007661829414365623,0.5389543142012205,0.0064558061752536,2.1114387068080065,0.0075676160779434,-0.005730424612869323,-0.6285895683156856,-0.007329687184624678,-0.6806252195945067
AP,A4,0.4032053770625224,0.006169219129903495,1.9921001440952166,0.006709095821948518,0.4137415331361144,0.0062121376602304,2.0075380187067022,0.0069022568043774,-0.010536156073591985,-1.203445272424863,-0.015437874611485602,-1.6038269061697306
AP,A5,-1.1330475980390238,0.006273173557679528,2.2845192394008156,0.007195691787834836,-1.11988279453295,0.0062695824069716,2.2770297586127923,0.0071220141672686,-0.013164803506073852,-1.484350245961732,0.007489480788023251,0.7397543366980276
AP,A6,-0.2543888076903827,0.007712723847443088,2.4521959738285033,0.007836339982461903,-0.2420636919139693,0.0077299043078592,2.4563544411156317,0.0081782764179003,-0.012325115776413403,-1.1287155869116487,-0.004158467287128431,-0.3671409054750736
AP,A7,0.254403303432156,0.005397038821932486,1.7255418619418625,0.005053195609152975,0.2669869540749441,0.0054089789585981,1.73117246802525,0.0051717633822464,-0.012583650642788102,-1.6468563073754003,-0.005630606083387502,-0.7787164899888457
SL,A1,-0.0636100337214425,0.00475284660902066,1.5043200243721657,0.004253577514976233,-0.0571007562492194,0.0047956944995523,1.5175987845877412,0.0044926697621195,-0.006509277472223102,-0.9640651588186505,-0.013278760215575502,-2.1462907999892487
SL,A2,-0.6810594643833524,0.004302451246318815,1.5214901102650797,0.0044811121834482355,-0.6716572509590374,0.0043227783665158,1.5230712580029793,0.0044512143512155,-0.00940221342431502,-1.5416054311107141,-0.0015811477378995242,-0.25033433793730414
SL,A3,0.5119752800752881,0.004649047243779267,1.5567469612165796,0.005058982462453233,0.5249282272505293,0.0046818168857132,1.570817831414575,0.0053878326442748,-0.012952947175241203,-1.9631751515534572,-0.014070870197995466,-1.903868648314624
SL,A4,0.45962810185277037,0.004532419303885974,1.505164417534462,0.00442054312554838,0.4715315617528175,0.0045605792064249,1.5173033594683398,0.0046981666109338,-0.011903459900047153,-1.851309409831585,-0.012138941933877767,-1.8817470928361073
SL,A5,-0.6504681247283004,0.0045601728687573884,1.5819625929224934,0.004993000041535024,-0.6441034056158814,0.0045702441831513,1.5822646742428823,0.004847823869163,-0.006364719112418982,-0.9858330197199361,-0.0003020813203888917,-0.043407038287540126
SL,A6,-0.14610107316498447,0.0057866647198885875,1.8357180873248777,0.005318436344037702,-0.1433855899222279,0.0057937863409921,1.8377491330276523,0.0053224422961707,-0.0027154832427565556,-0.33161683288011234,-0.00203104570277457,-0.26993374064660763
SL,A7,0.26141819919865833,0.004234417663555422,1.3643133216099361,0.0038616842449270715,0.2713534116283066,0.0042471349639146,1.3701934812345151,0.0039876995521237,-0.009935212429648288,-1.6565948460017967,-0.0058801596245789955,-1.0592844317989973
