cell,u_anchor,u_long,anchor_mean_pct,long_mean_pct,combo,K,beat_cv,view_over,window,S_median_mm,axis,inflation,inflation_mcse,n
0,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.0,10.0,AP,0.21642954503574935,0.0014213578223274202,100000
0,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.0,10.0,SL,0.22378547371465668,0.0013523729448261044,100000
1,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.0,13.0,AP,0.21732812785379313,0.0015098894753438645,100000
1,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.0,13.0,SL,0.21909285084344104,0.0013749837791851838,100000
2,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.15,10.0,AP,0.24847913828379656,0.0015725642124352647,100000
2,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.15,10.0,SL,0.272519938885284,0.0015738585081629688,100000
3,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.15,13.0,AP,0.2472587850861061,0.001652123623257079,100000
3,0.03,0.1,2.4,8.0,2.4/8,2,0.05,False,0.15,13.0,SL,0.26063943421342173,0.0015759285679008282,100000
4,0.03,0.1,2.4,8.0,2.4/8,2,0.05,True,0.0,10.0,AP,0.36977099279952547,0.002520774014483339,100000
4,0.03,0.1,2.4,8.0,2.4/8,2,0.05,True,0.0,10.0,SL,0.3203213000859629,0.0019264188952881434,100000
5,0.03,0.1,2.4,8.0,2.4/8,2,0.05,True,0.0,13.0,AP,0.426247136121123,0.003067919703369739,100000
5,0.03,0.1,2.4,8.0,2.4/8,2,0.05,True,0.0,13.0,SL,0.35051483367816794,0.0022676954759418186,100000
6,0.03,0.1,2.4,8.0,2.4/8,2,0.05,True,0.15,10.0,AP,0.4029461126298488,0.002611113900399175,100000
6,0.03,0.1,2.4,8.0,2.4/8,2,0.05,True,0.15,10.0,SL,0.3603528625643281,0.0020785114824673594,100000
7,0.03,0.1,2.4,8.0,2.4/8,2,0.05,True,0.15,13.0,AP,0.4525263044994363,0.003183550571599424,100000
7,0.03,0.1,2.4,8.0,2.4/8,2,0.05,True,0.15,13.0,SL,0.3860344256903879,0.0024038158922224796,100000
8,0.03,0.1,2.4,8.0,2.4/8,2,0.15,False,0.0,10.0,AP,0.41148614956990154,0.0025818609002012513,100000
8,0.03,0.1,2.4,8.0,2.4/8,2,0.15,False,0.0,10.0,SL,0.33107021624969807,0.0019413997502563804,100000
9,0.03,0.1,2.4,8.0,2.4/8,2,0.15,False,0.0,13.0,AP,0.485483800715158,0.0031377329039658747,100000
9,0.03,0.1,2.4,8.0,2.4/8,2,0.15,False,0.0,13.0,SL,0.36890569241871185,0.0022596428090331795,100000
10,0.03,0.1,2.4,8.0,2.4/8,2,0.15,False,0.15,10.0,AP,0.5010703300981063,0.003023674907705913,100000
10,0.03,0.1,2.4,8.0,2.4/8,2,0.15,False,0.15,10.0,SL,0.40804070509278745,0.00233158995179636,100000
11,0.03,0.1,2.4,8.0,2.4/8,2,0.15,False,0.15,13.0,AP,0.5973551958338369,0.003705886294987434,100000
11,0.03,0.1,2.4,8.0,2.4/8,2,0.15,False,0.15,13.0,SL,0.4561445956653553,0.0026981620933539925,100000
12,0.03,0.1,2.4,8.0,2.4/8,2,0.15,True,0.0,10.0,AP,0.5578994090227258,0.0034699424287282696,100000
12,0.03,0.1,2.4,8.0,2.4/8,2,0.15,True,0.0,10.0,SL,0.426181794545811,0.002475975734068263,100000
13,0.03,0.1,2.4,8.0,2.4/8,2,0.15,True,0.0,13.0,AP,0.6763173125263315,0.004283472752911151,100000
13,0.03,0.1,2.4,8.0,2.4/8,2,0.15,True,0.0,13.0,SL,0.4962310228714775,0.003025073230081512,100000
14,0.03,0.1,2.4,8.0,2.4/8,2,0.15,True,0.15,10.0,AP,0.6423507602350456,0.0037810954992892423,100000
14,0.03,0.1,2.4,8.0,2.4/8,2,0.15,True,0.15,10.0,SL,0.49100298318514596,0.002754012221936663,100000
15,0.03,0.1,2.4,8.0,2.4/8,2,0.15,True,0.15,13.0,AP,0.7910187495225199,0.004812166170061712,100000
15,0.03,0.1,2.4,8.0,2.4/8,2,0.15,True,0.15,13.0,SL,0.5750467883396919,0.003349157997282854,100000
16,0.03,0.1,2.4,8.0,2.4/8,2,0.3,False,0.0,10.0,AP,0.8420452960853176,0.005070432138938061,100000
16,0.03,0.1,2.4,8.0,2.4/8,2,0.3,False,0.0,10.0,SL,0.5917992840728211,0.003485995242425786,100000
17,0.03,0.1,2.4,8.0,2.4/8,2,0.3,False,0.0,13.0,AP,1.060674191679197,0.006408996518504317,100000
17,0.03,0.1,2.4,8.0,2.4/8,2,0.3,False,0.0,13.0,SL,0.7258800056405607,0.0043642716870366735,100000
18,0.03,0.1,2.4,8.0,2.4/8,2,0.3,False,0.15,10.0,AP,1.0119453097909068,0.005911153626297055,100000
18,0.03,0.1,2.4,8.0,2.4/8,2,0.3,False,0.15,10.0,SL,0.7020150963112255,0.004021083695373973,100000
19,0.03,0.1,2.4,8.0,2.4/8,2,0.3,False,0.15,13.0,AP,1.2854819988158517,0.007527723832441642,100000
19,0.03,0.1,2.4,8.0,2.4/8,2,0.3,False,0.15,13.0,SL,0.8740121759954934,0.00508067536076303,100000
20,0.03,0.1,2.4,8.0,2.4/8,2,0.3,True,0.0,10.0,AP,1.006007675656438,0.005891744837024084,100000
20,0.03,0.1,2.4,8.0,2.4/8,2,0.3,True,0.0,10.0,SL,0.6911782182926547,0.003939096569675083,100000
21,0.03,0.1,2.4,8.0,2.4/8,2,0.3,True,0.0,13.0,AP,1.263626358265938,0.007538514291641325,100000
21,0.03,0.1,2.4,8.0,2.4/8,2,0.3,True,0.0,13.0,SL,0.8440204554192142,0.0049821248591782165,100000
22,0.03,0.1,2.4,8.0,2.4/8,2,0.3,True,0.15,10.0,AP,1.1604662696899588,0.006646608893599916,100000
22,0.03,0.1,2.4,8.0,2.4/8,2,0.3,True,0.15,10.0,SL,0.792961894431023,0.004477254034461387,100000
23,0.03,0.1,2.4,8.0,2.4/8,2,0.3,True,0.15,13.0,AP,1.476062859370363,0.008506102528795247,100000
23,0.03,0.1,2.4,8.0,2.4/8,2,0.3,True,0.15,13.0,SL,0.9810900498315188,0.0056147937345931796,100000
24,0.03,0.1,2.4,8.0,2.4/8,3,0.05,False,0.0,10.0,AP,0.35537816251456594,0.001737245572196419,100000
24,0.03,0.1,2.4,8.0,2.4/8,3,0.05,False,0.0,10.0,SL,0.3625472009898017,0.001631966685794195,100000
25,0.03,0.1,2.4,8.0,2.4/8,3,0.05,False,0.0,13.0,AP,0.36806799379678945,0.0018874271520645156,100000
25,0.03,0.1,2.4,8.0,2.4/8,3,0.05,False,0.0,13.0,SL,0.35814156265079333,0.0016839080356323478,100000
26,0.03,0.1,2.4,8.0,2.4/8,3,0.05,False,0.15,10.0,AP,0.40829272039202974,0.0019331409340176276,100000
26,0.03,0.1,2.4,8.0,2.4/8,3,0.05,False,0.15,10.0,SL,0.4316878032526945,0.0018782311487222758,100000
27,0.03,0.1,2.4,8.0,2.4/8,3,0.05,False,0.15,13.0,AP,0.4025822585491928,0.0020162997669554913,100000
27,0.03,0.1,2.4,8.0,2.4/8,3,0.05,False,0.15,13.0,SL,0.41273920628566346,0.0018924148320648116,100000
28,0.03,0.1,2.4,8.0,2.4/8,3,0.05,True,0.0,10.0,AP,0.6300678507880914,0.003235737720082126,100000
28,0.03,0.1,2.4,8.0,2.4/8,3,0.05,True,0.0,10.0,SL,0.5221360760111925,0.002396348990859217,100000
29,0.03,0.1,2.4,8.0,2.4/8,3,0.05,True,0.0,13.0,AP,0.7272330758819799,0.00397354804765268,100000
29,0.03,0.1,2.4,8.0,2.4/8,3,0.05,True,0.0,13.0,SL,0.5768406763694698,0.0028179361421069044,100000
30,0.03,0.1,2.4,8.0,2.4/8,3,0.05,True,0.15,10.0,AP,0.6657544925922155,0.0032829145270138775,100000
30,0.03,0.1,2.4,8.0,2.4/8,3,0.05,True,0.15,10.0,SL,0.5848871622186682,0.002561064746248414,100000
31,0.03,0.1,2.4,8.0,2.4/8,3,0.05,True,0.15,13.0,AP,0.7594722570118893,0.004025983004890936,100000
31,0.03,0.1,2.4,8.0,2.4/8,3,0.05,True,0.15,13.0,SL,0.6235070377569147,0.0029366568371792467,100000
32,0.03,0.1,2.4,8.0,2.4/8,3,0.15,False,0.0,10.0,AP,0.6639750666928891,0.0031490621234673633,100000
32,0.03,0.1,2.4,8.0,2.4/8,3,0.15,False,0.0,10.0,SL,0.5272055372895988,0.002355796714762039,100000
33,0.03,0.1,2.4,8.0,2.4/8,3,0.15,False,0.0,13.0,AP,0.792986661124197,0.003872792507618585,100000
33,0.03,0.1,2.4,8.0,2.4/8,3,0.15,False,0.0,13.0,SL,0.5982419708022686,0.0027796700123031448,100000
34,0.03,0.1,2.4,8.0,2.4/8,3,0.15,False,0.15,10.0,AP,0.8039679994894846,0.003668109271499196,100000
34,0.03,0.1,2.4,8.0,2.4/8,3,0.15,False,0.15,10.0,SL,0.6395329016347703,0.0027677697788415986,100000
35,0.03,0.1,2.4,8.0,2.4/8,3,0.15,False,0.15,13.0,AP,0.9542768574482694,0.004532568341832951,100000
35,0.03,0.1,2.4,8.0,2.4/8,3,0.15,False,0.15,13.0,SL,0.7242272860065911,0.003256133184264509,100000
36,0.03,0.1,2.4,8.0,2.4/8,3,0.15,True,0.0,10.0,AP,0.9101625376572327,0.0043322789644281105,100000
36,0.03,0.1,2.4,8.0,2.4/8,3,0.15,True,0.0,10.0,SL,0.6764223981600648,0.0030254902200842573,100000
37,0.03,0.1,2.4,8.0,2.4/8,3,0.15,True,0.0,13.0,AP,1.1256395135330184,0.0054368819953054546,100000
37,0.03,0.1,2.4,8.0,2.4/8,3,0.15,True,0.0,13.0,SL,0.7906964630137786,0.003673246533574624,100000
38,0.03,0.1,2.4,8.0,2.4/8,3,0.15,True,0.15,10.0,AP,1.0448771337617997,0.004711865988765834,100000
38,0.03,0.1,2.4,8.0,2.4/8,3,0.15,True,0.15,10.0,SL,0.7851960451617915,0.003380785756257702,100000
