scenario,K,beat_cv,view_over,window,S_median_mm,axis,estimand,estimator,bias_min,bias_min_mcse,bias_min_combo,bias_max,bias_max_mcse,bias_max_combo,bias_range,bias_range_mcse,maxabs_bias,maxabs_bias_mcse,maxabs_bias_combo,maxabs_argmax_clear,rmse_min,rmse_max,rmse_max_mcse,rmse_max_combo,mean_abs_bias,infl_min,infl_max,infl_max_mcse,infl_min_combo,infl_max_combo
base,3,0.15,True,0.0,10.0,AP,T1,A1,-1.9274649101480417,0.008176023676060925,20/20,0.01615579299059838,0.006027636584871373,2.4/40,1.94362070313864,0.010157744136903067,1.9274649101480417,0.008176023676060925,20/20,False,1.9005831972452774,3.2329342524023925,0.010046358738420635,20/40,0.7544677131505813,,,,,
base,3,0.15,True,0.0,10.0,AP,T1,A2,-3.1609321231952983,0.008079344150049612,20/40,-0.27504934153958793,0.005217798391316469,2.4/8,2.8858827816557104,0.009617755556644472,3.1609321231952983,0.008079344150049612,20/40,True,1.672772226008007,4.064358104441602,0.01027955698322295,20/40,1.567856524803292,,,,,
base,3,0.15,True,0.0,10.0,AP,T1,A3,-0.7675215473108369,0.007319215296873411,20/40,0.9197770079649943,0.006349697209956212,2.4/8,1.6872985552758313,0.009689662905391055,0.9197770079649943,0.006349697209956212,2.4/8,True,1.9619603533642458,2.438468168927459,0.008379379941642368,20/40,0.47172056430623144,,,,,
base,3,0.15,True,0.0,10.0,AP,T1,A4,-0.9722003195820829,0.007314102595149571,20/40,0.762640753204349,0.005912899852230857,2.4/8,1.7348410727864318,0.009405236915404385,0.9722003195820829,0.007314102595149571,20/40,True,1.9060272534097162,2.5089299796000892,0.008617641532844802,20/40,0.4084283695984398,,,,,
base,3,0.15,True,0.0,10.0,AP,T1,A5,-2.958441317124612,0.008816590623436137,20/40,-0.31359317218714416,0.0053777489764584045,2.4/8,2.644848144937468,0.010327267512515661,2.958441317124612,0.008816590623436137,20/40,True,1.7292571129934045,4.065159814413941,0.012161927830094964,20/40,1.476564482450029,,,,,
base,3,0.15,True,0.0,10.0,AP,T1,A6,-1.9391922807056134,0.009387019381199343,20/40,0.021267347535744174,0.008025724343647268,2.4/40,1.9604596282413576,0.012350238220505079,1.9391922807056134,0.009387019381199343,20/40,False,2.5162565857928816,3.5457004768757026,0.010241203966620864,20/40,0.7566764692286077,,,,,
base,3,0.15,True,0.0,10.0,AP,T1,A7,0.16383288385566744,0.007382018207271734,10/40,0.19222120831246678,0.0073578956895203225,2.4/40,0.02838832445679934,0.010422707027943994,0.19222120831246678,0.0073578956895203225,2.4/40,False,1.6093030693896224,2.373937498840923,0.008372203481039136,20/40,0.1791379911419181,,,,,
base,3,0.15,True,0.0,10.0,SL,T1,A1,-1.2367762918775258,0.005819459330172315,20/40,0.009007702170718737,0.004506281164862804,2.4/20,1.2457839940482445,0.007360209020967195,1.2367762918775258,0.005819459330172315,20/40,False,1.4250325700867987,2.2177931293941375,0.006986201224090634,20/8,0.48384307883200234,,,,,
base,3,0.15,True,0.0,10.0,SL,T1,A2,-2.0259499562314414,0.005659855414756165,20/40,-0.17684728982518494,0.0039056522975088885,2.4/8,1.8491026664062564,0.006876633128572524,2.0259499562314414,0.005659855414756165,20/40,True,1.2476665005931233,2.7033012267938865,0.007033902620051539,20/40,1.0037888834697886,,,,,
base,3,0.15,True,0.0,10.0,SL,T1,A3,-0.43790143098241796,0.00522527688285545,20/40,0.685049626941148,0.004579170014256012,2.4/8,1.122951057923566,0.006947828187424108,0.685049626941148,0.004579170014256012,2.4/8,True,1.4466433370135112,1.7094099011028059,0.005596369607983011,20/40,0.34637412003621654,,,,,
base,3,0.15,True,0.0,10.0,SL,T1,A4,-0.5248314743573465,0.005210352892077683,20/40,0.6248478046267343,0.004386330444780525,2.4/8,1.1496792789840806,0.00681084958215866,0.6248478046267343,0.004386330444780525,2.4/8,True,1.4200445302370555,1.729219088113786,0.005606042403952523,20/40,0.31875314267342214,,,,,
base,3,0.15,True,0.0,10.0,SL,T1,A5,-1.9069828545675351,0.0061090264697159094,20/40,-0.19706273625756535,0.0040264133162194425,2.4/8,1.7099201183099697,0.007316570822504137,1.9069828545675351,0.0061090264697159094,20/40,True,1.2884168305793164,2.7145104030338696,0.008128614898958981,20/40,0.9502276137244312,,,,,
base,3,0.15,True,0.0,10.0,SL,T1,A6,-1.2401698544035695,0.006821441951293883,20/40,0.01487277565690364,0.005983590457707837,2.4/20,1.2550426300604731,0.00907388698741859,1.2401698544035695,0.006821441951293883,20/40,False,1.8876904097331857,2.491852142147455,0.007167797997681531,20/8,0.4846414996443138,,,,,
base,3,0.15,True,0.0,10.0,SL,T1,A7,0.1112065190722944,0.006662367638571916,10/40,0.1237582023840097,0.006569641833370185,2.4/40,0.0125516833117153,0.009356673360241763,0.1237582023840097,0.006569641833370185,2.4/40,False,1.2311817836249883,2.1555093606246976,0.008621504836902742,20/40,0.1149570382063726,,,,,
base,3,0.15,True,0.0,10.0,AP,T1,A3-A1,,,,,,,,,,,,,,,,,,0.30813428268037807,2.47821628263764,0.00786409808535513,2.4/40,20/8
base,3,0.15,True,0.0,10.0,SL,T1,A3-A1,,,,,,,,,,,,,,,,,,0.24566901079098585,1.6777763348405215,0.005306484086785953,2.4/40,20/8
K 2,2,0.15,True,0.0,10.0,AP,T1,A1,-1.9198317808912735,0.008135686824986454,20/20,0.010754298381997414,0.006001094216168986,2.4/40,1.930586079273271,0.010109526789399938,1.9198317808912735,0.008135686824986454,20/20,False,1.8977336011504837,3.223103261245422,0.010046085175398681,20/8,0.7541875907709313,,,,,
K 2,2,0.15,True,0.0,10.0,AP,T1,A2,-2.8339697144878397,0.008355491661700243,20/40,-0.20502247902748946,0.005473723451249981,2.4/8,2.6289472354603505,0.00998878818123131,2.8339697144878397,0.008355491661700243,20/40,True,1.7430344509890092,3.8746275458768435,0.010435595858458855,20/40,1.363992245256706,,,,,
K 2,2,0.15,True,0.0,10.0,AP,T1,A3,-1.2188426427235761,0.007629159021150643,20/40,0.5680174017635293,0.006192767683113823,2.4/8,1.7868600444871054,0.009826211830966356,1.2188426427235761,0.007629159021150643,20/40,True,1.923828425022863,2.702947635573883,0.00882806256645043,20/40,0.37803307300288697,,,,,
