K,beat_cv,view_over,window,S_median_mm,axis,estimand,estimator,bias_min,bias_min_mcse,bias_min_combo,bias_max,bias_max_mcse,bias_max_combo,bias_range,bias_range_mcse,maxabs_bias,maxabs_bias_mcse,maxabs_bias_combo,maxabs_argmax_clear,rmse_min,rmse_max,rmse_max_mcse,rmse_max_combo,mean_abs_bias
2,0.05,False,0.0,10.0,AP,T1,A1,-2.1120977073148515,0.007626629847445674,20/8,-0.18936597016727275,0.004908618030007721,2.4/20,1.9227317371475787,0.009069730635165859,2.1120977073148515,0.007626629847445674,20/8,False,1.5614374868027607,3.2058457297188747,0.009918118475250691,20/8,0.9408016348062415
2,0.05,False,0.0,10.0,AP,T1,A2,-3.1094192286762556,0.008097312580254949,20/40,-0.49824693073621923,0.00473650344258465,2.4/8,2.6111722979400365,0.00938088140229751,3.1094192286762556,0.008097312580254949,20/40,True,1.5785037395219643,4.028035436217776,0.010402154528165614,20/40,1.6438698372240863
2,0.05,False,0.0,10.0,AP,T1,A3,-1.5586019893903151,0.006815966736832227,20/40,0.021064492019050272,0.004808329691798551,2.4/8,1.5796664814093655,0.008341309068883307,1.5586019893903151,0.006815966736832227,20/40,True,1.5206656553275446,2.659874801506497,0.008740587010638397,20/40,0.5148906273988842
2,0.05,False,0.0,10.0,AP,T1,A4,-1.5822195375428756,0.006895406775020648,20/40,0.02085311874066114,0.00480812830151504,2.4/8,1.6030726562835367,0.008406231757263807,1.5822195375428756,0.006895406775020648,20/40,True,1.5205990631479553,2.6940739740489428,0.00898304168777867,20/40,0.5298145892180853
2,0.05,False,0.0,10.0,AP,T1,A5,-3.1094192286762556,0.008097312580254949,20/40,-0.49824693073621923,0.00473650344258465,2.4/8,2.6111722979400365,0.00938088140229751,3.1094192286762556,0.008097312580254949,20/40,True,1.5785037395219643,4.028035436217776,0.010402154528165614,20/40,1.6438698372240863
2,0.05,False,0.0,10.0,AP,T1,A6,-2.110732485471617,0.008163987785347306,20/8,-0.18714762190793324,0.005755916266427173,2.4/20,1.9235848635636839,0.009989057444294779,2.110732485471617,0.008163987785347306,20/8,False,1.8254372215703532,3.3346955828768885,0.01000955999544197,20/8,0.9395246308423905
2,0.05,False,0.0,10.0,AP,T1,A7,0.06419162453468752,0.005033564976896673,20/8,0.07732050939479668,0.0072625196458103785,10/40,0.013128884860109158,0.008836343586711787,0.07732050939479668,0.0072625196458103785,10/40,False,1.5166453774765403,2.363086292068747,0.009816186046455533,20/40,0.06910855645619114
2,0.05,False,0.0,10.0,AP,T2,A1,0.0512659342031722,0.004354776312491146,20/8,0.06987636733158341,0.004773896158873506,4.8/8,0.018610433128411208,0.006461745992186725,0.06987636733158341,0.004773896158873506,4.8/8,False,1.3780482230736308,1.5377403283077167,0.004479616538198152,2.4/20,0.062230882109526535
2,0.05,False,0.0,10.0,AP,T2,A2,-1.9111442781388626,0.006955550338506227,2.4/40,0.7049587346587001,0.005223962947271246,20/8,2.616103012797563,0.008698819999629662,1.9111442781388626,0.006955550338506227,2.4/40,True,1.47553890116884,2.913827744279303,0.008249681210717697,2.4/40,0.7960709607824978
2,0.05,False,0.0,10.0,AP,T2,A3,0.12111465152607886,0.004836074283568863,2.4/40,1.612404131556831,0.0070730319748584574,20/8,1.4912894800307521,0.008568278461486077,1.612404131556831,0.0070730319748584574,20/8,True,1.5128485301833245,2.7572767701877945,0.00989215012526218,20/8,0.4916526381867256
