axis,cutoff_mm,estimator,prevalence_min,prevalence_max,sensitivity_min,sensitivity_min_mcse,sensitivity_min_combo,sensitivity_max,sensitivity_max_mcse,sensitivity_max_combo,sensitivity_range,specificity_min,specificity_min_mcse,specificity_min_combo,specificity_max,specificity_max_mcse,specificity_max_combo,specificity_range,ppv_min,ppv_min_mcse,ppv_min_combo,ppv_max,ppv_max_mcse,ppv_max_combo,ppv_range
AP,7.0,A1,0.81043,0.81635,0.7463815505349012,0.0015283158419596365,20/20,0.9210160526477643,0.0009459563555305326,2.4/40,0.17463450211286313,0.7644485254402074,0.0031186519396584895,2.4/20,0.9021997151448014,0.0021574294244902695,20/20,0.137751189704594,0.9444367360839566,0.0008135818074395038,2.4/40,0.9702612963764977,0.0006803173106517145,20/20,0.0258245602925411
AP,7.0,A2,0.81043,0.81635,0.618950205181601,0.0016997322833570336,20/40,0.9213668277447834,0.0009438474529885596,2.4/8,0.30241662256318236,0.8279333797461575,0.0027620972263071464,2.4/8,0.9693438606044106,0.001272044184339709,20/40,0.14141048085825303,0.9588841256638301,0.0007102925045238424,2.4/8,0.9889804466540095,0.00046185287011580694,20/40,0.030096320990179448
AP,7.0,A3,0.81043,0.81635,0.8655968640901575,0.0011937801124625779,20/40,0.9695918944507974,0.0006021043904322327,2.4/8,0.10399503036063995,0.6276441921490923,0.003537763319364379,2.4/8,0.8122515654778111,0.0028816283914804555,20/40,0.1846073733287188,0.9189693148577622,0.000931566583480906,2.4/8,0.9534751926164807,0.0007736698172049682,20/40,0.034505877758718495
AP,7.0,A4,0.81043,0.81635,0.8532737183805965,0.0012383971442972966,20/40,0.9678335608100631,0.0006187061833759291,2.4/8,0.1145598424294666,0.6346596690408611,0.0035238077857130705,2.4/8,0.824230873945004,0.002808667115460664,20/40,0.18957120490414292,0.9202413103714356,0.0009263455408959398,2.4/8,0.9557110516567194,0.0007620648124149347,20/40,0.035469741285283796
AP,7.0,A5,0.81043,0.81635,0.6351932381944019,0.001684791544886626,20/40,0.9153540644558388,0.0009760683614939721,2.4/8,0.2801608262614369,0.8254163765865153,0.0027779936163719664,2.4/8,0.9548597876395317,0.001531990720282199,20/40,0.12944341105301638,0.9580453779133367,0.0007192238051534404,2.4/8,0.9842643737068884,0.0005422039167848765,20/40,0.02621899579355169
AP,7.0,A6,0.81043,0.81635,0.7264910017812174,0.0015623394132315586,20/8,0.8979765053201304,0.0010615749626061532,2.4/40,0.171485503538913,0.7520449077786688,0.0031573995815809513,2.4/40,0.885161154191064,0.0023156385856851727,20/20,0.13311624641239517,0.9402619817359832,0.0008505696405217855,2.4/40,0.9650842514581983,0.0007388909277230361,20/40,0.02482226972221513
AP,7.0,A7,0.81043,0.81635,0.9294787774851473,0.000896069007769719,20/40,0.9463215292394421,0.0007907267876256198,4.8/8,0.016842751754294838,0.6621290498230329,0.003490207772747872,20/40,0.7700958603331013,0.003079205979553297,2.4/8,0.1079668105100684,0.9234341858253895,0.0009283750972865376,2.4/40,0.9471324951048606,0.0007852604751189223,2.4/8,0.02369830927947114
AP,10.0,A1,0.49895,0.50297,0.6104915406947642,0.002181987526366658,20/8,0.8656367415460868,0.0015246382551047225,2.4/40,0.25514520085132264,0.8635855013387683,0.001534257486204149,2.4/20,0.9482008067414833,0.0009903487785768374,20/20,0.084615305402715,0.8634709223262139,0.0015354442892314265,2.4/20,0.92180859080633,0.0014739896361695129,20/20,0.05833766848011612
AP,10.0,A2,0.49895,0.50297,0.4368451398691771,0.002211600255299999,20/40,0.8573117223969707,0.001565513049092908,2.4/8,0.4204665825277936,0.9069419210573602,0.0012980884020103909,2.4/8,0.9880892501458665,0.00048660474293356186,20/40,0.0811473290885063,0.9017744246817837,0.0013662619916704434,2.4/8,0.9737635171068959,0.0010640732168337092,20/40,0.0719890924251122
AP,10.0,A3,0.49895,0.50297,0.7652543889297573,0.0018898642693453214,20/40,0.9436219021096708,0.0010323985338457375,2.4/8,0.1783675131799135,0.7720566214786272,0.00187445732070982,2.4/8,0.8980745629036476,0.0013570823045513773,20/40,0.12601794142502043,0.8048909699911135,0.0016382112229408245,2.4/8,0.883689962347323,0.0015361533226891256,20/40,0.07879899235620946
