cell,p_beat_cv,p_view_over,n_studies,n_patients,seed,ref,bias_ref,mcse_bias_ref,var_ref,mcse_var_ref,sd_ref,mcse_sd_ref,msq_ref,mcse_msq_ref,bias_img,mcse_bias_img,var_img,mcse_var_img,msq_img,mcse_msq_img,bias_read,mcse_bias_read,var_read,mcse_var_read,two_cov_img_read,mcse_two_cov_img_read,var_reader_bias,mcse_var_reader_bias,var_read_remainder,mcse_var_read_remainder,two_cov_bias_remainder,mcse_two_cov_bias_remainder,share_img_of_var_ref,mcse_share_img_of_var_ref,share_img_of_msq_ref,mcse_share_img_of_msq_ref,within_study_var_ref_mean,mcse_within_study_var_ref_mean,within_study_var_img_mean,mcse_within_study_var_img_mean,lambda_star_mse,mcse_lambda_star_mse,e6_within_pair_sd,mcse_e6_within_pair_sd,inter_reader_visible_var,inter_reader_visible_share_of_var_ref,mcse_visible_share
9,0.15,True,2000,400000,"SeedSequence(20260920, spawn_key=(5, 9))",single,0.4156630244872927,0.0084182281913295,3.882063722630518,0.0173208417871428,1.9702953389353888,0.0043957930622622,4.054839472556441,0.0193106995774731,0.2136322772103391,0.0028539529200877,3.0725970862640546,0.012506050624964,3.1182358361301303,0.012967035193092,0.2020307472769535,0.0080490276512212,1.6178969426534109,0.0097119170882098,-0.8084303062869478,0.0092423517420473,0.5765135832117871,0.0075973402964477,1.0665435889965438,0.0041120383838482,-0.0251602295549199,0.0023744642241286,0.7914854844737164,0.0017140390046322,0.7690158530897861,0.0021606032880716,3.721085156396705,0.0168291423616898,3.057628496372423,0.0123627351830213,0.735323418072975,0.0016910419660128,1.334839013797601,0.0027208337915146,1.453397596378076,0.37438787722764166,0.0019145738494704889
9,0.15,True,2000,400000,"SeedSequence(20260920, spawn_key=(5, 9))",mean2,0.4151950901561876,0.0082772146934393,3.155642995203129,0.0142555297718979,1.7764129573956415,0.0040127858863232,3.3280299580929342,0.0157850368304662,0.2136322772103391,0.0028539529200877,3.0725970862640546,0.012506050624964,3.1182358361301303,0.012967035193092,0.2015628129458485,0.0079243463054966,1.012560512357453,0.0069924569504318,-0.9295146034183784,0.0068166107946569,0.2911797757363988,0.0049090133985551,0.732443371353385,0.003950064493455,-0.0110626347323308,0.0014844555009955,0.973683363718484,0.0021140992668721,0.9369614683147196,0.0025790255732933,2.999205869974843,0.013389213819083,3.057628496372423,0.0123627351830213,0.6170928984143272,0.0014474292412857,1.334839013797601,0.0027208337915146,0.726698798189038,0.2302854915127243,0.0011888618191334519
0,0.05,False,500,100000,"SeedSequence(20260920, spawn_key=(5, 0))",single,-0.1073638717787883,0.0163206606720308,2.430442769374818,0.0213044612932401,1.5589877386864908,0.0068311712211876,2.44196977033815,0.0214613430568724,-0.308714340039422,0.0039658179486121,1.5755264399315492,0.0096850334756433,1.670830983677525,0.0104117253995863,0.2013504682606338,0.0155527911621599,0.9164462962965816,0.0187456754926931,-0.0615299668533132,0.0069014257234931,0.5675092321607893,0.0187381485601591,0.365855723390874,0.0019260747862557,-0.0169186592550816,0.0027650974359163,0.648246673315752,0.0056658822995117,0.6842144419528002,0.0061324957870381,2.282721654473825,0.0205908035437523,1.5674047694071789,0.0097801571663546,0.7738006651599771,0.0066531160785052,,,,,
0,0.05,False,500,100000,"SeedSequence(20260920, spawn_key=(5, 0))",mean2,-0.1081281446254791,0.0159045727243207,1.9926298574391363,0.0120702030554184,1.4116054184647835,0.0042745549273729,2.0043215530992846,0.0125961264409628,-0.308714340039422,0.0039658179486121,1.5755264399315492,0.0096850334756433,1.670830983677525,0.0104117253995863,0.2005861954139428,0.0152426141463487,0.4739759743652867,0.0091758886348464,-0.0568725568576999,0.0044892017721381,0.2840487949687246,0.0091840376325054,0.1977576190179293,0.0007797156299997,-0.0078304396213672,0.0013545483186986,0.7906769207786362,0.0042696532817524,0.8336142377424007,0.0049714600603438,1.846259783203684,0.010816736528573,1.5674047694071789,0.0097801571663546,0.6340900015150512,0.0033026061235621,,,,,
3,0.05,True,500,100000,"SeedSequence(20260920, spawn_key=(5, 3))",single,0.0715402529609293,0.0152574973582725,2.8148168630953085,0.0226391568319289,1.677741596043714,0.0067476533281451,2.819934870889022,0.0230152565407481,-0.095043058665203,0.0032492275305296,2.025483343548969,0.0141088022587187,2.0345165265494067,0.0140629769872741,0.1665833116261323,0.0139088816286731,0.9814315728420472,0.0175360548458889,-0.1920980532957084,0.0097792174965269,0.558561686758286,0.0178043919524614,0.4347175746543577,0.0033382624006519,-0.0118476885705963,0.0034607329684504,0.7195790852700982,0.0054809996070018,0.7214764239955649,0.0053792313407216,2.668535987848101,0.0179511145291553,2.0153733695182177,0.0141405576243415,0.7333516240239532,0.0050354751125983,0.9258867654628512,0.0021580519657987,0.9911331512296304,0.35211283697502527,0.002919601096464568
3,0.05,True,500,100000,"SeedSequence(20260920, spawn_key=(5, 3))",mean2,0.0736889476480665,0.0147424971062566,2.329359452770161,0.019328355359878,1.5262239196035952,0.0063326979726091,2.334789513775641,0.0195034719331493,-0.095043058665203,0.0032492275305296,2.025483343548969,0.0141088022587187,2.0345165265494067,0.0140629769872741,0.1687320063132696,0.0132816730859198,0.5459932508651896,0.0123280654454182,-0.2421171416439975,0.0098182154548438,0.2810964292391911,0.0123931642073745,0.2719247577079985,0.0023713359261016,-0.0070279360820001,0.0011806467670443,0.8695452052881699,0.0061147749854799,0.8713918383414975,0.0058784807214517,2.1851350658529824,0.0140572151767116,2.0153733695182177,0.0141405576243415,0.6152533701018279,0.0035197945776763,0.9258867654628512,0.0021580519657987,0.4955665756148152,0.21274800461795149,0.001816676617853592
6,0.15,False,500,100000,"SeedSequence(20260920, spawn_key=(5, 6))",single,0.2974155602734827,0.0106216256684717,3.4423169265598967,0.0291484473933061,1.8553481955039857,0.0078554203705122,3.5307729420526863,0.0293517069097623,0.0397309428624863,0.0044438640438178,2.634836843594914,0.0180813821989146,2.6364153914156563,0.0180271435896357,0.2576846174109964,0.0115324493727848,1.4954091549204334,0.0165530865276711,-0.6879290719554504,0.0177835564521247,0.5481124078933755,0.012438043214156,0.9685324633915808,0.007112306897858,-0.0212357163645231,0.003167419459,0.7654254096318948,0.0051195951897625,0.7466963848099852,0.0051592629762528,3.2780947697982663,0.0231255018119739,2.622603608630898,0.0177210616412271,0.7666630367229681,0.0040580094517708,,,,,
6,0.15,False,500,100000,"SeedSequence(20260920, spawn_key=(5, 6))",mean2,0.2966740271798616,0.0111713443266785,2.807542251998622,0.020758440042099,1.6755722162886988,0.0061935740583303,2.8955577304017392,0.021072054510673,0.0397309428624863,0.0044438640438178,2.634836843594914,0.0180813821989146,2.6364153914156563,0.0180271435896357,0.2569430843173753,0.0118092884773519,0.8819080737836918,0.0104272164617136,-0.7092026653799838,0.0109054504998191,0.2840416381211045,0.010284272664678,0.6120110688932773,0.0052354585700431,-0.0141446332306899,0.0024696204406959,0.9384851970506364,0.0054700500671845,0.9105034804641492,0.0055896911714308,2.6472908140129388,0.0132178782636287,2.622603608630898,0.0177210616412271,0.6316599294395895,0.0030984833923267,,,,,
12,0.3,False,500,100000,"SeedSequence(20260920, spawn_key=(5, 12))",single,1.0199370294315313,0.016640198313704,7.184309268472202,0.0663850264298342,2.680356183135406,0.0123854848816788,8.224580812477818,0.0785042592735988,0.8157232200673701,0.008082286998386,6.531694538348972,0.0542349085480891,7.197098910106051,0.0605744869390507,0.204213809364161,0.0136586868615458,3.3697437545616364,0.0271836039854652,-2.7171290244384063,0.0393410176721138,0.5417524596767052,0.0169099513054107,2.878018360562584,0.0258561011385887,-0.0500270656776533,0.0087726371354591,0.9091611029348108,0.0040303013431281,0.8750718211908216,0.0048366455597885,7.00323770180628,0.0633087822932428,6.496049473367978,0.0533911479791502,0.6847977908567642,0.0026065609519923,,,,,
12,0.3,False,500,100000,"SeedSequence(20260920, spawn_key=(5, 12))",mean2,1.0207851427255312,0.0165772272450494,5.885133709350206,0.0494381481706699,2.4259294526738007,0.0101899940703044,6.927136016959389,0.0653899862440617,0.8157232200673701,0.008082286998386,6.531694538348972,0.0542349085480891,7.197098910106051,0.0605744869390507,0.2050619226581612,0.0135839799339705,2.285303797344016,0.020323119908595,-2.931864626342782,0.0334267474301265,0.2820012043652631,0.0094993185039204,2.020957075241792,0.0162662428489276,-0.017654482263039,0.0040736781178952,1.1098634051375111,0.0039043643038781,1.0389717904319655,0.0058831269392889,5.708037796940076,0.0477109850553931,6.496049473367978,0.0533911479791502,0.5872006482936044,0.0021195387177222,,,,,
