p_beat_cv,p_view_over,sigma_ai_mm,ref,m,apparent_min,apparent_max,mcse_apparent_max,range_over_max_mcse
0.05,False,1.0,adj_tol1,ba_bias,0.09928659182506169,0.12382009844543594,0.009130638414222271,2.6869431804636807
0.05,False,1.0,adj_tol1,icc,0.9225316363303616,0.9229654487830093,0.00034144467779882596,1.2705204703859119
0.05,False,1.0,adj_tol1,mae,1.3941243382257087,1.3977086854028562,0.0025766159755543886,1.3911064788676135
0.05,False,1.0,adj_tol2,ba_bias,0.09943747089861446,0.1217609467123832,0.008984639986874376,2.484626634609847
0.05,False,1.0,adj_tol2,icc,0.9257251877344502,0.9259062351915247,0.0003178957689816168,0.5695182973163405
0.05,False,1.0,adj_tol2,mae,1.3614735780092024,1.3660033925783723,0.00236004146799704,1.9193792272702472
0.05,False,1.0,adj_tol3,ba_bias,0.10214670736194831,0.12001356955929825,0.008784344225595547,2.033943768424971
0.05,False,1.0,adj_tol3,icc,0.9267957317521552,0.9269951629649652,0.0003048220534237236,0.6542545415266949
0.05,False,1.0,adj_tol3,mae,1.3504479942746495,1.3543847856211013,0.002225425853506148,1.7690058467908358
0.05,False,1.0,mean2,ba_bias,0.10291992416970151,0.11961729717795663,0.008716094253464753,1.9156944065419796
0.05,False,1.0,mean2,icc,0.9270315753861573,0.9272242031342988,0.0003015625740825424,0.6387654327712206
0.05,False,1.0,mean2,mae,1.3479718373625498,1.3519366187885618,0.0021768346822175376,1.8213516434665864
0.05,False,1.0,single,ba_bias,0.10054445507503934,0.120134753074279,0.008771962763143846,2.233285585929522
0.05,False,1.0,single,icc,0.9173863298904962,0.9175857970505698,0.0003666579096380515,0.5440143382437308
0.05,False,1.0,single,mae,1.4502594905729893,1.4536166105654194,0.002712810300135467,1.2375063572496778
0.05,False,2.0,adj_tol1,ba_bias,0.09793508567278822,0.1235219130308627,0.009508643459415236,2.6909019638063096
0.05,False,2.0,adj_tol1,icc,0.8597770819704326,0.860722244070411,0.0005348078245056286,1.767292953972977
0.05,False,2.0,adj_tol1,mae,1.9708992022981042,1.9748275637990373,0.0027428653993411653,1.4322108193412297
0.05,False,2.0,adj_tol2,ba_bias,0.09808596474634099,0.12146276129780995,0.009371479077049409,2.494461798321498
0.05,False,2.0,adj_tol2,icc,0.8626167249718051,0.8631486221724571,0.000515713910244675,1.03138036435686
0.05,False,2.0,adj_tol2,mae,1.948389394425812,1.9525466934096665,0.0026248004913030105,1.583853324330472
0.05,False,2.0,adj_tol3,ba_bias,0.10079520120967486,0.11971538414472499,0.009177054610697009,2.0616835943197156
0.05,False,2.0,adj_tol3,icc,0.8635535366347422,0.8641168934330145,0.0005080532780763631,1.1088537808579308
0.05,False,2.0,adj_tol3,mae,1.9406034237626193,1.9443216153983107,0.0025533059377738205,1.4562264477139968
0.05,False,2.0,mean2,ba_bias,0.10156841801742802,0.11931911176338338,0.009109744734005363,1.9485390934934292
0.05,False,2.0,mean2,icc,0.8637536784513378,0.8642846689105107,0.000506961281790105,1.0473984468754254
0.05,False,2.0,mean2,mae,1.9387488118417886,1.9426363755201546,0.002529086787485786,1.5371412707551484
0.05,False,2.0,single,ba_bias,0.09919294892276588,0.11983656765970574,0.009144696612376131,2.257441620206565
0.05,False,2.0,single,icc,0.8556224821288279,0.8559791434239112,0.0005516596433302149,0.6465241737284209
0.05,False,2.0,single,mae,2.0094813816681136,2.0127148342675314,0.0028193085716101537,1.1468956012754166
0.05,False,3.0,adj_tol1,ba_bias,0.09658357952051477,0.12322372761628944,0.01012260520209205,2.631748207493948
0.05,False,3.0,adj_tol1,icc,0.7724423710592762,0.773961813163536,0.0007838276572304591,1.9384900369917186
0.05,False,3.0,adj_tol1,mae,2.660551956999192,2.665035910905199,0.003346813038672458,1.339768267362101
0.05,False,3.0,adj_tol2,ba_bias,0.09673445859406753,0.12116457588323669,0.00999662830866187,2.443835714888086
0.05,False,3.0,adj_tol2,icc,0.7747982018992956,0.7758036264075202,0.0007685156648248899,1.3082680734343872
0.05,False,3.0,adj_tol2,mae,2.644305953978076,2.648546484058336,0.003287962856021302,1.2897134991942427
0.05,False,3.0,adj_tol3,ba_bias,0.09944369505740139,0.11941719873015173,0.009812188962398187,2.035580821903438
0.05,False,3.0,adj_tol3,icc,0.7755624818220282,0.7766072707827971,0.000765782628430478,1.3643414227223147
0.05,False,3.0,adj_tol3,mae,2.6381199208610506,2.64244522236792,0.0032415500062093197,1.3343312608425273
0.05,False,3.0,mean2,ba_bias,0.10021691186515456,0.11902092634881012,0.009747394126346164,1.929132467602835
0.05,False,3.0,mean2,icc,0.7757151530221804,0.7767129542184523,0.0007658474404631069,1.3028720128235187
0.05,False,3.0,mean2,mae,2.6367937497246783,2.6412174968792317,0.0032290327324210628,1.369991425028562
0.05,False,3.0,single,ba_bias,0.09784144277049242,0.11953838224513248,0.00976392088941869,2.2221543701929587
0.05,False,3.0,single,icc,0.7693037312494351,0.7700530658752455,0.000793459598540077,0.9443891373790541
0.05,False,3.0,single,mae,2.689026215377293,2.692394421767864,0.0033894006033432836,0.9937469142032122
