cell,p_beat_cv,p_view_over,p_ai_shared_lambda,inherited_intercept_mm,inherited_slope
0,0.05,False,0.0,0.4653662984847581,0.9466910531457875
1,0.05,False,0.5,0.3683009905088537,0.9571025027982286
2,0.05,False,1.0,0.4034233390669666,0.9518832477315529
3,0.05,True,0.0,0.5052531132231121,0.9623624023960091
4,0.05,True,0.5,0.505025448024602,0.9621467800800727
5,0.05,True,1.0,0.4859624788117063,0.9638126055537999
6,0.15,False,0.0,0.39913161425116606,0.9842294981655868
7,0.15,False,0.5,0.44386265666611385,0.9834217248814778
8,0.15,False,1.0,0.36124245672636357,0.9894234463926252
9,0.15,True,0.0,0.5005407804536826,0.9917386403825628
10,0.15,True,0.5,0.5851194966404123,0.9840711204209285
11,0.15,True,1.0,0.5177721611505323,0.9869919692123063
12,0.3,False,0.0,0.38389234360374463,1.0581992448758453
13,0.3,False,0.5,0.4311869196845066,1.0541396123110003
14,0.3,False,1.0,0.5243300946345477,1.043470610944546
15,0.3,True,0.0,0.6119835421305352,1.0414094757186207
16,0.3,True,0.5,0.5092008825643487,1.0542731599042474
17,0.3,True,1.0,0.405136379992895,1.0649698516909356
