cell,p_beat_cv,p_sigma_rb_mm,p_ai_draft_sigma_mm,test,w_anchor,min_n_any,min_n_strict,min_n_liberal,max_power_tested,power_at_min_n_any,mcse_power_any,power_mci_lo_any,size_at_min_n_any,power_at_min_n_strict,mcse_power_strict,power_mci_lo_strict,size_at_min_n_strict,power_at_min_n_liberal,mcse_power_liberal,power_mci_lo_liberal,size_at_min_n_liberal
0,0.05,0.0,1.0,bf,0.1,,,,0.2185,,,,,,,,,,,,
0,0.05,0.0,1.0,bf,0.2,,,,0.683,,,,,,,,,,,,
0,0.05,0.0,1.0,bf,0.3,50.0,50.0,50.0,0.9665,0.808,0.008807269724494646,0.7907380684017006,0.0405,0.808,0.008807269724494646,0.7907380684017006,0.0405,0.808,0.008807269724494646,0.7907380684017006,0.0405
0,0.05,0.0,1.0,bf,0.5,25.0,25.0,25.0,1.0,0.9725,0.003656757443418962,0.9653328870541669,0.0485,0.9725,0.003656757443418962,0.9653328870541669,0.0485,0.9725,0.003656757443418962,0.9653328870541669,0.0485
0,0.05,0.0,1.0,bf_onesided,0.1,,,,0.31,,,,,,,,,,,,
0,0.05,0.0,1.0,bf_onesided,0.2,,,,0.767,,,,,,,,,,,,
0,0.05,0.0,1.0,bf_onesided,0.3,50.0,50.0,50.0,0.9815,0.877,0.007344079247938437,0.8626058690608935,0.0395,0.877,0.007344079247938437,0.8626058690608935,0.0395,0.877,0.007344079247938437,0.8626058690608935,0.0395
0,0.05,0.0,1.0,bf_onesided,0.5,25.0,25.0,25.0,1.0,0.983,0.0028905881754411173,0.9773345512373097,0.047,0.983,0.0028905881754411173,0.9773345512373097,0.047,0.983,0.0028905881754411173,0.9773345512373097,0.047
0,0.05,0.0,1.0,either_unadjusted,0.1,,,,0.451,,,,,,,,,,,,
0,0.05,0.0,1.0,either_unadjusted,0.2,100.0,,,0.851,0.851,0.007962380297373393,0.8353940212628388,0.1435,,,,,,,,
0,0.05,0.0,1.0,either_unadjusted,0.3,50.0,,,0.987,0.9325,0.005609979946488223,0.9215046412641612,0.1425,,,,,,,,
0,0.05,0.0,1.0,either_unadjusted,0.5,10.0,,,1.0,0.8975,0.006782099601155973,0.8842073289373199,0.124,,,,,,,,
0,0.05,0.0,1.0,f_variance,0.1,,,,0.398,,,,,,,,,,,,
0,0.05,0.0,1.0,f_variance,0.2,100.0,,,0.8105,0.8105,0.008763268511234835,0.7933243091956461,0.1045,,,,,,,,
0,0.05,0.0,1.0,f_variance,0.3,50.0,,,0.983,0.902,0.006648157639526908,0.8889698503602023,0.0965,,,,,,,,
0,0.05,0.0,1.0,f_variance,0.5,10.0,,,1.0,0.8565,0.007839252196478946,0.8411353479079804,0.079,,,,,,,,
0,0.05,0.0,1.0,welch_mean,0.1,,,,0.0805,,,,,,,,,,,,
0,0.05,0.0,1.0,welch_mean,0.2,,,,0.165,,,,,,,,,,,,
0,0.05,0.0,1.0,welch_mean,0.3,,,,0.3035,,,,,,,,,,,,
0,0.05,0.0,1.0,welch_mean,0.5,,,,0.6635,,,,,,,,,,,,
1,0.05,0.0,2.0,bf,0.1,,,,0.215,,,,,,,,,,,,
1,0.05,0.0,2.0,bf,0.2,,,,0.708,,,,,,,,,,,,
1,0.05,0.0,2.0,bf,0.3,50.0,50.0,50.0,0.981,0.854,0.007895695029571494,0.838524721987061,0.049,0.854,0.007895695029571494,0.838524721987061,0.049,0.854,0.007895695029571494,0.838524721987061,0.049
1,0.05,0.0,2.0,bf,0.5,25.0,25.0,25.0,1.0,0.9855,0.00267298989897081,0.9802610360256536,0.0445,0.9855,0.00267298989897081,0.9802610360256536,0.0445,0.9855,0.00267298989897081,0.9802610360256536,0.0445
1,0.05,0.0,2.0,bf_onesided,0.1,,,,0.31,,,,,,,,,,,,
1,0.05,0.0,2.0,bf_onesided,0.2,100.0,100.0,100.0,0.802,0.802,0.008910555538236659,0.7845356319250556,0.044,0.802,0.008910555538236659,0.7845356319250556,0.044,0.802,0.008910555538236659,0.7845356319250556,0.044
1,0.05,0.0,2.0,bf_onesided,0.3,50.0,50.0,50.0,0.986,0.9025,0.006633014020790248,0.8894995313077558,0.0405,0.9025,0.006633014020790248,0.8894995313077558,0.0405,0.9025,0.006633014020790248,0.8894995313077558,0.0405
1,0.05,0.0,2.0,bf_onesided,0.5,10.0,10.0,10.0,1.0,0.816,0.008664409962599878,0.7990180683920628,0.0325,0.816,0.008664409962599878,0.7990180683920628,0.0325,0.816,0.008664409962599878,0.7990180683920628,0.0325
1,0.05,0.0,2.0,either_unadjusted,0.1,,,,0.424,,,,,,,,,,,,
1,0.05,0.0,2.0,either_unadjusted,0.2,100.0,,,0.8755,0.8755,0.007382403064043579,0.8610307557609849,0.109,,,,,,,,
1,0.05,0.0,2.0,either_unadjusted,0.3,25.0,,,0.995,0.805,0.00885931712944062,0.787636057361713,0.107,,,,,,,,
1,0.05,0.0,2.0,either_unadjusted,0.5,10.0,,,1.0,0.912,0.0063346665263453285,0.8995842816563582,0.109,,,,,,,,
1,0.05,0.0,2.0,f_variance,0.1,,,,0.3785,,,,,,,,,,,,
1,0.05,0.0,2.0,f_variance,0.2,100.0,,100.0,0.8525,0.8525,0.007929178709046731,0.836959095180702,0.063,,,,,0.8525,0.007929178709046731,0.836959095180702,0.063
1,0.05,0.0,2.0,f_variance,0.3,50.0,50.0,50.0,0.9935,0.9305,0.005686376262612245,0.9193549072348255,0.0565,0.9305,0.005686376262612245,0.9193549072348255,0.0565,0.9305,0.005686376262612245,0.9193549072348255,0.0565
1,0.05,0.0,2.0,f_variance,0.5,10.0,10.0,10.0,1.0,0.885,0.007133547504573023,0.871018503698747,0.0555,0.885,0.007133547504573023,0.871018503698747,0.0555,0.885,0.007133547504573023,0.871018503698747,0.0555
1,0.05,0.0,2.0,welch_mean,0.1,,,,0.0635,,,,,,,,,,,,
1,0.05,0.0,2.0,welch_mean,0.2,,,,0.1095,,,,,,,,,,,,
1,0.05,0.0,2.0,welch_mean,0.3,,,,0.1855,,,,,,,,,,,,
1,0.05,0.0,2.0,welch_mean,0.5,,,,0.426,,,,,,,,,,,,
2,0.05,0.0,3.0,bf,0.1,,,,0.2255,,,,,,,,,,,,
2,0.05,0.0,3.0,bf,0.2,,,,0.7355,,,,,,,,,,,,
2,0.05,0.0,3.0,bf,0.3,50.0,50.0,50.0,0.9805,0.88,0.0072663608498339805,0.865758194323316,0.043,0.88,0.0072663608498339805,0.865758194323316,0.043,0.88,0.0072663608498339805,0.865758194323316,0.043
2,0.05,0.0,3.0,bf,0.5,25.0,25.0,25.0,1.0,0.9825,0.002932042803234629,0.976753301659201,0.043,0.9825,0.002932042803234629,0.976753301659201,0.043,0.9825,0.002932042803234629,0.976753301659201,0.043
2,0.05,0.0,3.0,bf_onesided,0.1,,,,0.317,,,,,,,,,,,,
2,0.05,0.0,3.0,bf_onesided,0.2,100.0,100.0,100.0,0.8225,0.8225,0.008543820866567839,0.8057544186790783,0.048,0.8225,0.008543820866567839,0.8057544186790783,0.048,0.8225,0.008543820866567839,0.8057544186790783,0.048
2,0.05,0.0,3.0,bf_onesided,0.3,50.0,50.0,50.0,0.991,0.9195,0.006083574196144895,0.907576413584227,0.0355,0.9195,0.006083574196144895,0.907576413584227,0.0355,0.9195,0.006083574196144895,0.907576413584227,0.0355
2,0.05,0.0,3.0,bf_onesided,0.5,10.0,10.0,10.0,1.0,0.8155,0.00867351572316555,0.7985002214291615,0.0305,0.8155,0.00867351572316555,0.7985002214291615,0.0305,0.8155,0.00867351572316555,0.7985002214291615,0.0305
2,0.05,0.0,3.0,either_unadjusted,0.1,,,,0.424,,,,,,,,,,,,
2,0.05,0.0,3.0,either_unadjusted,0.2,100.0,,,0.878,0.878,0.007318333143551201,0.8636563304986328,0.1055,,,,,,,,
2,0.05,0.0,3.0,either_unadjusted,0.3,25.0,,,0.998,0.822,0.00855324499824482,0.8052359477202601,0.1085,,,,,,,,
2,0.05,0.0,3.0,either_unadjusted,0.5,10.0,,,1.0,0.9065,0.006509905913298595,0.8937408187665477,0.11,,,,,,,,
2,0.05,0.0,3.0,f_variance,0.1,,,,0.384,,,,,,,,,,,,
2,0.05,0.0,3.0,f_variance,0.2,100.0,100.0,100.0,0.863,0.863,0.007688660481514319,0.8479305022480093,0.0525,0.863,0.007688660481514319,0.8479305022480093,0.0525,0.863,0.007688660481514319,0.8479305022480093,0.0525
2,0.05,0.0,3.0,f_variance,0.3,50.0,50.0,50.0,0.998,0.9515,0.004803527349771207,0.942085259321433,0.0525,0.9515,0.004803527349771207,0.942085259321433,0.0525,0.9515,0.004803527349771207,0.942085259321433,0.0525
2,0.05,0.0,3.0,f_variance,0.5,10.0,10.0,10.0,1.0,0.8825,0.0072004774147274445,0.8683873234843211,0.049,0.8825,0.0072004774147274445,0.8683873234843211,0.049,0.8825,0.0072004774147274445,0.8683873234843211,0.049
2,0.05,0.0,3.0,welch_mean,0.1,,,,0.0635,,,,,,,,,,,,
2,0.05,0.0,3.0,welch_mean,0.2,,,,0.081,,,,,,,,,,,,
2,0.05,0.0,3.0,welch_mean,0.3,,,,0.1195,,,,,,,,,,,,
2,0.05,0.0,3.0,welch_mean,0.5,,,,0.2535,,,,,,,,,,,,
3,0.05,0.75,1.0,bf,0.1,,,,0.209,,,,,,,,,,,,
3,0.05,0.75,1.0,bf,0.2,,,,0.6745,,,,,,,,,,,,
3,0.05,0.75,1.0,bf,0.3,50.0,50.0,50.0,0.972,0.823,0.00853437168161781,0.8062729387414096,0.046,0.823,0.00853437168161781,0.8062729387414096,0.046,0.823,0.00853437168161781,0.8062729387414096,0.046
3,0.05,0.75,1.0,bf,0.5,25.0,25.0,25.0,1.0,0.982,0.002972877394041,0.9761732673312659,0.046,0.982,0.002972877394041,0.9761732673312659,0.046,0.982,0.002972877394041,0.9761732673312659,0.046
3,0.05,0.75,1.0,bf_onesided,0.1,,,,0.3005,,,,,,,,,,,,
3,0.05,0.75,1.0,bf_onesided,0.2,,,,0.7775,,,,,,,,,,,,
3,0.05,0.75,1.0,bf_onesided,0.3,50.0,50.0,50.0,0.984,0.895,0.006854742883580681,0.8815649507189257,0.049,0.895,0.006854742883580681,0.8815649507189257,0.049,0.895,0.006854742883580681,0.8815649507189257,0.049
3,0.05,0.75,1.0,bf_onesided,0.5,25.0,25.0,25.0,1.0,0.989,0.0023322735688593665,0.9844288277668841,0.047,0.989,0.0023322735688593665,0.9844288277668841,0.047,0.989,0.0023322735688593665,0.9844288277668841,0.047
3,0.05,0.75,1.0,either_unadjusted,0.1,,,,0.458,,,,,,,,,,,,
3,0.05,0.75,1.0,either_unadjusted,0.2,100.0,,,0.8735,0.8735,0.0074329586975846965,0.8589316685392472,0.152,,,,,,,,
3,0.05,0.75,1.0,either_unadjusted,0.3,25.0,,,0.9945,0.8095,0.008780938161722813,0.7922896773167971,0.146,,,,,,,,
3,0.05,0.75,1.0,either_unadjusted,0.5,10.0,,,1.0,0.9055,0.006541014829519959,0.8926798464106747,0.1205,,,,,,,,
3,0.05,0.75,1.0,f_variance,0.1,,,,0.395,,,,,,,,,,,,
3,0.05,0.75,1.0,f_variance,0.2,100.0,,,0.827,0.827,0.008457866161154362,0.8104228868073192,0.107,,,,,,,,
3,0.05,0.75,1.0,f_variance,0.3,50.0,,,0.9895,0.916,0.006202580108309766,0.9038431662805968,0.0985,,,,,,,,
3,0.05,0.75,1.0,f_variance,0.5,10.0,,,1.0,0.853,0.007918049002121673,0.8374809090056056,0.0805,,,,,,,,
3,0.05,0.75,1.0,welch_mean,0.1,,,,0.0875,,,,,,,,,,,,
3,0.05,0.75,1.0,welch_mean,0.2,,,,0.2215,,,,,,,,,,,,
3,0.05,0.75,1.0,welch_mean,0.3,,,,0.385,,,,,,,,,,,,
3,0.05,0.75,1.0,welch_mean,0.5,,,,0.6125,,,,,,,,,,,,
4,0.05,0.75,2.0,bf,0.1,,,,0.221,,,,,,,,,,,,
4,0.05,0.75,2.0,bf,0.2,,,,0.722,,,,,,,,,,,,
4,0.05,0.75,2.0,bf,0.3,50.0,50.0,50.0,0.9825,0.864,0.00766498532288223,0.8489769047066225,0.053,0.864,0.00766498532288223,0.8489769047066225,0.053,0.864,0.00766498532288223,0.8489769047066225,0.053
4,0.05,0.75,2.0,bf,0.5,25.0,25.0,25.0,1.0,0.982,0.002972877394041,0.9761732673312659,0.049,0.982,0.002972877394041,0.9761732673312659,0.049,0.982,0.002972877394041,0.9761732673312659,0.049
4,0.05,0.75,2.0,bf_onesided,0.1,,,,0.321,,,,,,,,,,,,
4,0.05,0.75,2.0,bf_onesided,0.2,100.0,100.0,100.0,0.8105,0.8105,0.008763268511234835,0.7933243091956461,0.044,0.8105,0.008763268511234835,0.7933243091956461,0.044,0.8105,0.008763268511234835,0.7933243091956461,0.044
4,0.05,0.75,2.0,bf_onesided,0.3,50.0,50.0,50.0,0.9905,0.9105,0.006383171233799076,0.8979892141759183,0.044,0.9105,0.006383171233799076,0.8979892141759183,0.044,0.9105,0.006383171233799076,0.8979892141759183,0.044
4,0.05,0.75,2.0,bf_onesided,0.5,10.0,10.0,10.0,1.0,0.8235,0.008524897360085926,0.8067915080705366,0.034,0.8235,0.008524897360085926,0.8067915080705366,0.034,0.8235,0.008524897360085926,0.8067915080705366,0.034
4,0.05,0.75,2.0,either_unadjusted,0.1,,,,0.4285,,,,,,,,,,,,
4,0.05,0.75,2.0,either_unadjusted,0.2,100.0,,,0.886,0.886,0.007106475919891659,0.8720715630301454,0.1225,,,,,,,,
4,0.05,0.75,2.0,either_unadjusted,0.3,25.0,,,0.997,0.8275,0.008448187675472178,0.8109418562908308,0.1175,,,,,,,,
4,0.05,0.75,2.0,either_unadjusted,0.5,10.0,,,1.0,0.9175,0.0061519813881382975,0.9054423379505789,0.113,,,,,,,,
4,0.05,0.75,2.0,f_variance,0.1,,,,0.3785,,,,,,,,,,,,
4,0.05,0.75,2.0,f_variance,0.2,100.0,,100.0,0.8565,0.8565,0.007839252196478946,0.8411353479079804,0.0665,,,,,0.8565,0.007839252196478946,0.8411353479079804,0.0665
4,0.05,0.75,2.0,f_variance,0.3,50.0,,50.0,0.9945,0.9435,0.005162739098579358,0.933381217225392,0.073,,,,,0.9435,0.005162739098579358,0.933381217225392,0.073
4,0.05,0.75,2.0,f_variance,0.5,10.0,,10.0,1.0,0.8855,0.007120033356663438,0.8715449909421404,0.0635,,,,,0.8855,0.007120033356663438,0.8715449909421404,0.0635
4,0.05,0.75,2.0,welch_mean,0.1,,,,0.078,,,,,,,,,,,,
4,0.05,0.75,2.0,welch_mean,0.2,,,,0.147,,,,,,,,,,,,
4,0.05,0.75,2.0,welch_mean,0.3,,,,0.254,,,,,,,,,,,,
4,0.05,0.75,2.0,welch_mean,0.5,,,,0.4585,,,,,,,,,,,,
5,0.05,0.75,3.0,bf,0.1,,,,0.251,,,,,,,,,,,,
5,0.05,0.75,3.0,bf,0.2,,,,0.7545,,,,,,,,,,,,
5,0.05,0.75,3.0,bf,0.3,50.0,50.0,50.0,0.982,0.882,0.007213736895673421,0.8678613353790083,0.041,0.882,0.007213736895673421,0.8678613353790083,0.041,0.882,0.007213736895673421,0.8678613353790083,0.041
5,0.05,0.75,3.0,bf,0.5,25.0,25.0,25.0,1.0,0.987,0.0025328837320335107,0.9820356390690287,0.0425,0.987,0.0025328837320335107,0.9820356390690287,0.0425,0.987,0.0025328837320335107,0.9820356390690287,0.0425
5,0.05,0.75,3.0,bf_onesided,0.1,,,,0.3485,,,,,,,,,,,,
5,0.05,0.75,3.0,bf_onesided,0.2,100.0,100.0,100.0,0.841,0.841,0.008176765864325577,0.8249738332694929,0.041,0.841,0.008176765864325577,0.8249738332694929,0.041,0.841,0.008176765864325577,0.8249738332694929,0.041
5,0.05,0.75,3.0,bf_onesided,0.3,50.0,50.0,50.0,0.9895,0.925,0.0058896094946948715,0.9134565774163399,0.043,0.925,0.0058896094946948715,0.9134565774163399,0.043,0.925,0.0058896094946948715,0.9134565774163399,0.043
5,0.05,0.75,3.0,bf_onesided,0.5,10.0,10.0,10.0,1.0,0.8265,0.008467518821945422,0.8099039679396646,0.032,0.8265,0.008467518821945422,0.8099039679396646,0.032,0.8265,0.008467518821945422,0.8099039679396646,0.032
5,0.05,0.75,3.0,either_unadjusted,0.1,,,,0.45,,,,,,,,,,,,
5,0.05,0.75,3.0,either_unadjusted,0.2,100.0,,,0.9075,0.9075,0.006478570444164362,0.8948022351579739,0.098,,,,,,,,
5,0.05,0.75,3.0,either_unadjusted,0.3,25.0,,,0.9965,0.831,0.008379707632131328,0.8145760747104973,0.1035,,,,,,,,
5,0.05,0.75,3.0,either_unadjusted,0.5,10.0,,,1.0,0.9145,0.006252589463574273,0.9022451497446151,0.1115,,,,,,,,
5,0.05,0.75,3.0,f_variance,0.1,,,,0.4105,,,,,,,,,,,,
5,0.05,0.75,3.0,f_variance,0.2,100.0,100.0,100.0,0.8905,0.8905,0.006982469119158352,0.8768146118953378,0.056,0.8905,0.006982469119158352,0.8768146118953378,0.056,0.8905,0.006982469119158352,0.8768146118953378,0.056
5,0.05,0.75,3.0,f_variance,0.3,25.0,25.0,25.0,0.995,0.805,0.00885931712944062,0.787636057361713,0.056,0.805,0.00885931712944062,0.787636057361713,0.056,0.805,0.00885931712944062,0.787636057361713,0.056
5,0.05,0.75,3.0,f_variance,0.5,10.0,10.0,10.0,1.0,0.8815,0.007226954752867907,0.8673354288547499,0.057,0.8815,0.007226954752867907,0.8673354288547499,0.057,0.8815,0.007226954752867907,0.8673354288547499,0.057
5,0.05,0.75,3.0,welch_mean,0.1,,,,0.058,,,,,,,,,,,,
5,0.05,0.75,3.0,welch_mean,0.2,,,,0.0965,,,,,,,,,,,,
5,0.05,0.75,3.0,welch_mean,0.3,,,,0.1615,,,,,,,,,,,,
5,0.05,0.75,3.0,welch_mean,0.5,,,,0.318,,,,,,,,,,,,
