test,w_anchor,rule,n_cells,cells_min_n_10,cells_min_n_25,cells_min_n_50,cells_min_n_100,cells_min_n_none
bf,0.1,any,54,0,0,0,0,54
bf,0.1,strict,54,0,0,0,0,54
bf,0.1,liberal,54,0,0,0,0,54
bf,0.2,any,54,0,0,0,0,54
bf,0.2,strict,54,0,0,0,0,54
bf,0.2,liberal,54,0,0,0,0,54
bf,0.3,any,54,0,0,44,10,0
bf,0.3,strict,54,0,0,44,10,0
bf,0.3,liberal,54,0,0,44,10,0
bf,0.5,any,54,0,54,0,0,0
bf,0.5,strict,54,0,54,0,0,0
bf,0.5,liberal,54,0,54,0,0,0
bf_onesided,0.1,any,54,0,0,0,0,54
bf_onesided,0.1,strict,54,0,0,0,0,54
bf_onesided,0.1,liberal,54,0,0,0,0,54
bf_onesided,0.2,any,54,0,0,0,22,32
bf_onesided,0.2,strict,54,0,0,0,22,32
bf_onesided,0.2,liberal,54,0,0,0,22,32
bf_onesided,0.3,any,54,0,0,54,0,0
bf_onesided,0.3,strict,54,0,0,54,0,0
bf_onesided,0.3,liberal,54,0,0,54,0,0
bf_onesided,0.5,any,54,28,26,0,0,0
bf_onesided,0.5,strict,54,28,26,0,0,0
bf_onesided,0.5,liberal,54,28,26,0,0,0
either_unadjusted,0.1,any,54,0,0,0,0,54
either_unadjusted,0.1,strict,54,0,0,0,0,54
either_unadjusted,0.1,liberal,54,0,0,0,0,54
either_unadjusted,0.2,any,54,0,0,0,51,3
either_unadjusted,0.2,strict,54,0,0,0,0,54
either_unadjusted,0.2,liberal,54,0,0,0,0,54
either_unadjusted,0.3,any,54,0,24,30,0,0
either_unadjusted,0.3,strict,54,0,0,0,0,54
either_unadjusted,0.3,liberal,54,0,0,0,0,54
either_unadjusted,0.5,any,54,54,0,0,0,0
either_unadjusted,0.5,strict,54,0,0,0,0,54
either_unadjusted,0.5,liberal,54,0,0,0,0,54
f_variance,0.1,any,54,0,0,0,0,54
f_variance,0.1,strict,54,0,0,0,0,54
f_variance,0.1,liberal,54,0,0,0,0,54
f_variance,0.2,any,54,0,0,0,42,12
f_variance,0.2,strict,54,0,0,0,8,46
f_variance,0.2,liberal,54,0,0,0,23,31
f_variance,0.3,any,54,0,1,53,0,0
f_variance,0.3,strict,54,0,1,9,3,41
f_variance,0.3,liberal,54,0,1,23,0,30
f_variance,0.5,any,54,54,0,0,0,0
f_variance,0.5,strict,54,19,2,0,1,32
f_variance,0.5,liberal,54,36,0,0,0,18
welch_mean,0.1,any,54,0,0,0,0,54
welch_mean,0.1,strict,54,0,0,0,0,54
welch_mean,0.1,liberal,54,0,0,0,0,54
welch_mean,0.2,any,54,0,0,0,0,54
welch_mean,0.2,strict,54,0,0,0,0,54
welch_mean,0.2,liberal,54,0,0,0,0,54
welch_mean,0.3,any,54,0,0,0,0,54
welch_mean,0.3,strict,54,0,0,0,0,54
welch_mean,0.3,liberal,54,0,0,0,0,54
welch_mean,0.5,any,54,0,0,0,0,54
welch_mean,0.5,strict,54,0,0,0,0,54
welch_mean,0.5,liberal,54,0,0,0,0,54
