cell,p_beat_cv,p_sigma_rb_mm,p_ai_draft_sigma_mm,sentinel_n,w_anchor,metric,value,mcse,n,test,mci_lo,mci_hi
0,0.05,0.0,1.0,10,0.0,power_reject_bf,0.0425,0.0045107510461119445,2000,bf,0.03365909033665825,0.051340909663341754
0,0.05,0.0,1.0,10,0.1,power_reject_bf,0.071,0.005742778073371807,2000,bf,0.05974436171620189,0.08225563828379809
0,0.05,0.0,1.0,10,0.2,power_reject_bf,0.1365,0.007676840170278394,2000,bf,0.12145366963250048,0.15154633036749954
0,0.05,0.0,1.0,10,0.3,power_reject_bf,0.274,0.00997306372184596,2000,bf,0.2544531541354759,0.2935468458645241
0,0.05,0.0,1.0,10,0.5,power_reject_bf,0.7375,0.009838540288071193,2000,bf,0.7182168152228309,0.7567831847771692
0,0.05,0.0,1.0,25,0.0,power_reject_bf,0.0485,0.004803527349771208,2000,bf,0.03908525932143302,0.05791474067856698
0,0.05,0.0,1.0,25,0.1,power_reject_bf,0.1035,0.006811304941052044,2000,bf,0.09015008752251587,0.11684991247748412
0,0.05,0.0,1.0,25,0.2,power_reject_bf,0.261,0.00982036150047441,2000,bf,0.24175244499208418,0.2802475550079158
0,0.05,0.0,1.0,25,0.3,power_reject_bf,0.5465,0.011131885509651992,2000,bf,0.5246819051489604,0.5683180948510396
0,0.05,0.0,1.0,25,0.5,power_reject_bf,0.9725,0.003656757443418962,2000,bf,0.9653328870541669,0.9796671129458332
0,0.05,0.0,1.0,50,0.0,power_reject_bf,0.0405,0.004407933189148856,2000,bf,0.031860609634863056,0.049139390365136947
0,0.05,0.0,1.0,50,0.1,power_reject_bf,0.1395,0.007747249511923571,2000,bf,0.12431566985761225,0.15468433014238778
0,0.05,0.0,1.0,50,0.2,power_reject_bf,0.452,0.011128701631367427,2000,bf,0.4301881454357786,0.4738118545642214
0,0.05,0.0,1.0,50,0.3,power_reject_bf,0.808,0.008807269724494646,2000,bf,0.7907380684017006,0.8252619315982995
