test,sentinel_n,n_combos,min_size,median_size,max_size,n_outside_mci,n_above,n_below,n_strict_valid,n_liberal_valid
bf,10,54,0.0305,0.04375,0.061,13,1,12,53,54
bf,25,54,0.0385,0.047,0.0585,3,0,3,54,54
bf,50,54,0.0405,0.04775,0.0595,4,0,4,54,54
bf,100,54,0.0405,0.049,0.062,5,1,4,53,54
bf_onesided,10,54,0.024,0.035,0.05,43,0,43,54,54
bf_onesided,25,54,0.0285,0.0385,0.052,38,0,38,54,54
bf_onesided,50,54,0.0325,0.0435,0.0565,18,0,18,54,54
bf_onesided,100,54,0.0375,0.044,0.057,12,0,12,54,54
either_unadjusted,10,54,0.0975,0.118,0.1525,54,54,0,0,0
either_unadjusted,25,54,0.0885,0.12675,0.1605,54,54,0,0,0
either_unadjusted,50,54,0.0945,0.12575,0.1855,54,54,0,0,0
either_unadjusted,100,54,0.098,0.12825,0.1785,54,54,0,0,0
f_variance,10,54,0.048,0.06825,0.0995,35,35,0,19,36
f_variance,25,54,0.047,0.0775,0.1145,41,41,0,13,26
f_variance,50,54,0.049,0.0805,0.137,44,44,0,10,24
f_variance,100,54,0.0475,0.0825,0.1385,46,46,0,8,23
welch_mean,10,54,0.0405,0.05025,0.0615,3,1,2,53,54
welch_mean,25,54,0.041,0.05,0.061,2,1,1,53,54
welch_mean,50,54,0.038,0.049,0.0595,4,0,4,54,54
welch_mean,100,54,0.0395,0.0495,0.0595,3,0,3,54,54
