cell,p_beat_cv,p_view_over,n_studies,n_patients,seed,ai,lam,sigma_ai_mm,ref,mse_true,mse_apparent,var_ref,bias_ref,cov_ai_ref,bias_ai,mse_apparent_closed_form,identity_abs_error,mae_true,mae_apparent,apparent_sd_within_mean,apparent_sd_within_mcse,mse_apparent_lambda_form,mse_true_lambda_form
9,0.15,True,2000,400000,"SeedSequence(20260920, spawn_key=(5, 9))",shared,0.0,1.0,single,1.0017885180144899,5.060655056197177,3.882063722630518,0.4156630244872927,-0.0029564781467930294,0.002268533110042503,5.060655056197177,0.0,0.7990886958470589,1.7224858709652133,2.1723158194658345,0.00378272231250545,5.054839472556442,1.0
9,0.15,True,2000,400000,"SeedSequence(20260920, spawn_key=(5, 9))",shared,0.0,1.0,mean2,1.0017885180144899,4.331541307694037,3.155642995203129,0.4151950901561876,-0.0018032996024529811,0.002268533110042503,4.331541307694036,8.881784197001252e-16,0.7990886958470589,1.5857053599649784,1.9995345245187337,0.0032847074198173636,4.328029958092935,1.0
9,0.15,True,2000,400000,"SeedSequence(20260920, spawn_key=(5, 9))",shared,0.0,1.0,R_img,1.0017885180144899,4.118804508095171,3.0725970862640546,0.2136322772103391,0.00012529113049898044,0.002268533110042503,4.118804508095171,0.0,0.7990886958470589,1.5285842726083332,2.012865981126844,0.0033604771493703717,4.118235836130131,1.0
9,0.15,True,2000,400000,"SeedSequence(20260920, spawn_key=(5, 9))",shared,0.5,1.0,single,1.7819574000717469,3.0836429666604968,3.882063722630518,0.4156630244872927,1.3312344884134975,0.10908467171521205,3.0836429666604963,4.440892098500626e-16,1.043210081034288,1.3802158186331397,1.6819991554255345,0.0029943484528350234,3.0772174599950364,1.7795589590325327
9,0.15,True,2000,400000,"SeedSequence(20260920, spawn_key=(5, 9))",shared,0.5,1.0,mean2,1.7819574000717469,2.4151713325998103,3.155642995203129,0.4151950901561876,1.3021165926749798,0.10908467171521205,2.4151713325998094,8.881784197001252e-16,1.043210081034288,1.2202726383870477,1.4734584253646572,0.002093528044807194,2.411050059973983,1.7795589590325327
9,0.15,True,2000,400000,"SeedSequence(20260920, spawn_key=(5, 9))",shared,0.5,1.0,R_img,1.7819574000717469,1.7807375540222978,3.0725970862640546,0.2136322772103391,1.5364238342625263,0.10908467171521205,1.780737554022298,2.220446049250313e-16,1.043210081034288,1.0427186980805987,1.3279312276996385,0.0017762834478360072,1.7795589590325327,1.7795589590325327
9,0.15,True,2000,400000,"SeedSequence(20260920, spawn_key=(5, 9))",shared,1.0,1.0,single,4.121244200194069,2.6657487951888803,3.882063722630518,0.4156630244872927,2.665425454973788,0.21590081032038158,2.6657487951888816,1.3322676295501878e-15,1.529181087944358,1.2801973961187922,1.5700832948796837,0.0029894234414278736,2.6587133654986954,4.118235836130131
9,0.15,True,2000,400000,"SeedSequence(20260920, spawn_key=(5, 9))",shared,1.0,1.0,mean2,4.121244200194069,2.0579192755706477,3.155642995203129,0.4151950901561876,2.606036484952413,0.21590081032038158,2.0579192755706472,4.440892098500626e-16,1.529181087944358,1.1263294700874187,1.3669773376248004,0.0019811132606049405,2.053188079920096,4.118235836130131
9,0.15,True,2000,400000,"SeedSequence(20260920, spawn_key=(5, 9))",shared,1.0,1.0,R_img,4.121244200194069,1.0017885180144899,3.0725970862640546,0.2136322772103391,3.072722377394554,0.21590081032038158,1.0017885180144903,4.440892098500626e-16,1.529181087944358,0.799088695847059,0.9996164357083503,0.0011131680283043516,1.0,4.118235836130131
9,0.15,True,2000,400000,"SeedSequence(20260920, spawn_key=(5, 9))",inherited,,1.0,single,1.1740492016210642,4.889274571561532,3.882063722630518,0.4156630244872927,-0.0019820971305230255,0.4132894636235846,4.889274571561531,8.881784197001252e-16,0.8664904478155165,1.6985322242270142,2.172138376097723,0.003798140778998139,,
