cell,p_beat_cv,p_view_over,n_studies,e5_within_sd_read_diff_excl_bias,mcse_e5,e6_cell,e6_sigma_rb_mm,e6_view_over,comparable,e6_within_sd_read_diff,mcse_e6,diff_e5_minus_e6,mcse_diff
9,0.15,True,2000,1.3339584597903262,0.00275003694921238,19,0.0,True,True,1.3409062649237433,0.002981848558350137,-0.006947805133417084,0.0040563683322607826
9,0.15,True,2000,1.3339584597903262,0.00275003694921238,22,0.75,True,True,1.334839013797601,0.002720833791514685,-0.0008805540072747142,0.003868544912894448
9,0.15,True,2000,1.3339584597903262,0.00275003694921238,25,2.0,True,True,1.3368745915432496,0.002886824001263742,-0.002916131752923379,0.003987035996364434
0,0.05,False,500,0.8197381366772222,0.001886338881491789,1,0.0,True,False,0.9263791855306065,0.0021690372761059944,-0.10664104885338432,0.0028745429342705957
0,0.05,False,500,0.8197381366772222,0.001886338881491789,4,0.75,True,False,0.9258867654628512,0.0021580519657987355,-0.10614862878562903,0.002866262839119169
0,0.05,False,500,0.8197381366772222,0.001886338881491789,7,2.0,True,False,0.9297186325736587,0.002262149612095336,-0.10998049589643655,0.0029454363417549486
3,0.05,True,500,0.9267287039369234,0.004403838325454251,1,0.0,True,True,0.9263791855306065,0.0021690372761059944,0.00034951840631691766,0.004909023803352049
3,0.05,True,500,0.9267287039369234,0.004403838325454251,4,0.75,True,True,0.9258867654628512,0.0021580519657987355,0.0008419384740722125,0.004904179878820463
3,0.05,True,500,0.9267287039369234,0.004403838325454251,7,2.0,True,True,0.9297186325736587,0.002262149612095336,-0.002989928636735306,0.004950869909848448
6,0.15,False,500,1.2212651823233518,0.00424693786940365,19,0.0,True,False,1.3409062649237433,0.002981848558350137,-0.11964108260039152,0.005189210160661216
6,0.15,False,500,1.2212651823233518,0.00424693786940365,22,0.75,True,False,1.334839013797601,0.002720833791514685,-0.11357383147424915,0.005043750369281076
6,0.15,False,500,1.2212651823233518,0.00424693786940365,25,2.0,True,False,1.3368745915432496,0.002886824001263742,-0.11560940921989782,0.005135195622451711
12,0.3,False,500,2.0406847269530126,0.010019591027054946,46,0.0,True,False,2.1526804468157437,0.005058168799723834,-0.11199571986273105,0.011223959905307024
12,0.3,False,500,2.0406847269530126,0.010019591027054946,49,0.75,True,False,2.1645292721020617,0.005303766709364408,-0.12384454514904908,0.01133676080971995
12,0.3,False,500,2.0406847269530126,0.010019591027054946,52,2.0,True,False,2.183648072628594,0.00539841964747062,-0.14296334567558144,0.011381350492785854
15,0.3,True,500,2.169333389465444,0.01144885541219356,46,0.0,True,True,2.1526804468157437,0.005058168799723834,0.016652942649700186,0.012516443658476374
15,0.3,True,500,2.169333389465444,0.01144885541219356,49,0.75,True,True,2.1645292721020617,0.005303766709364408,0.004804117363382154,0.01261769517608806
15,0.3,True,500,2.169333389465444,0.01144885541219356,52,2.0,True,True,2.183648072628594,0.00539841964747062,-0.01431468316315021,0.012657773301000085
