u_anchor,u_long,mean_under_anchor_pct,mean_under_long_pct,n,quantity,q25,q25_ci_lo,q25_ci_hi,median,median_ci_lo,median_ci_hi,q75,q75_ci_lo,q75_ci_hi,q05,q05_ci_lo,q05_ci_hi,q95,q95_ci_lo,q95_ci_hi,cohort44_median_p025,cohort44_median_p975,cohort44_q25_p025,cohort44_q25_p975,cohort44_q75_p025,cohort44_q75_p975,p_cohort_median_le_9p5,p_cohort_median_le_9p5_mcse,n_cohorts
0.03,0.1,2.3936536824085963,7.978845608028654,88000,T1 AP (true span),7.634401431831438,7.6064315726797584,7.661075416674984,9.997856641858874,9.9637370896694,10.028408430860297,13.111649612622731,13.067013279195441,13.156875373390347,5.175985040340568,5.14826615130023,5.201263981200038,19.28357905831494,19.17660610058734,19.40037166647242,8.661927587076253,11.626277873138356,6.590286631786589,9.004655901892903,11.064235552184439,15.220451576698954,0.246,0.009630264793867301,2000
0.03,0.1,2.3936536824085963,7.978845608028654,88000,anchor view 3-beat mean,7.450924626043876,7.421564223559247,7.483084795350071,9.968773578014904,9.937923584556822,10.007698742567882,13.30279276317739,13.254265995942509,13.361982258413496,4.745018914040554,4.712516749788974,4.775289352411569,20.058057886964665,19.936838120547808,20.18009820014322,8.579418457274906,11.665593896255698,6.262405846399172,8.891601184170037,11.17103737363106,15.616392737001089,0.266,0.009880384607898621,2000
0.03,0.1,2.3936536824085963,7.978845608028654,88000,long-axis view 3-beat mean,7.09753615528168,7.068147988099604,7.12493272778077,9.584169260778829,9.545913587616887,9.619540352254148,12.834044577797192,12.784127479757794,12.888106666949236,4.445565696613168,4.4144742248139215,4.4765712050399955,19.430418803456327,19.320970451116356,19.54838140995632,8.167356065759899,11.197978346656637,5.901234684382003,8.558420776189728,10.691422857799184,15.047693365491106,0.456,0.011136965475388708,2000
0.03,0.1,2.3936536824085963,7.978845608028654,88000,long-axis view single beat,6.891990930999577,6.856797894133804,6.924253193626253,9.498401270250774,9.462718141586672,9.535598418697152,12.904042461973928,12.84624557611762,12.958546672610808,4.010577249256602,3.9676971563056287,4.041912118594676,19.84506403758538,19.73284807240017,19.99038375042988,8.01554941989093,11.258491437564095,5.654087350940195,8.453971167345154,10.67970511250155,15.325836568967857,0.4895,0.011177874350698346,2000
0.03,0.1,2.3936536824085963,7.978845608028654,88000,A4 composite,8.217363762324673,8.186016537710026,8.249989634449308,10.806681658134973,10.771382025728352,10.843901076720428,14.248036565639202,14.191726962452284,14.30054593502445,5.4573668704657745,5.421463966188855,5.490663621094815,21.196390833949124,21.086735332278877,21.32040448764363,9.360830111302574,12.582078153196464,7.001409556455244,9.732952247640327,12.005685614946966,16.627633863761034,0.0405,0.004407933189148856,2000
0.03,0.25,2.3936536824085963,19.947114020071634,88000,T1 AP (true span),7.626692427948614,7.6000897151247635,7.655287164163175,10.009404382788732,9.977893658832107,10.041527644857746,13.099406015129132,13.051245470423957,13.14799029183156,5.1721885532719325,5.13896414999614,5.199624835508911,19.336759343415086,19.233516304653637,19.449175769405254,8.670967719978359,11.489259564667963,6.569561289548881,9.00779627606916,11.133187536111514,15.25235238254059,0.232,0.009438643970401681,2000
0.03,0.25,2.3936536824085963,19.947114020071634,88000,anchor view 3-beat mean,7.448377933649307,7.419378512071401,7.480049324844785,9.982348138595906,9.9454434549255,10.017908367318084,13.310174482454212,13.26291142193323,13.355652748483928,4.726900138001137,4.695084650145424,4.763234140351136,20.113186832776766,20.001164204580885,20.248770101548804,8.564877755867156,11.622594494213788,6.285327402868338,8.8709301500698,11.199188137813627,15.592104187373543,0.253,0.009720879589831364,2000
0.03,0.25,2.3936536824085963,19.947114020071634,88000,long-axis view 3-beat mean,5.965937908130243,5.9357664874139,5.994124202749002,8.324277786525592,8.289461324267366,8.357732209309349,11.427918036863908,11.38279398682493,11.472023441088572,3.4696673012978287,3.4392625139355104,3.498802578913559,17.770066755976487,17.65001402516252,17.86223874029392,6.9711247799027465,9.855233052949005,4.850811593255112,7.37024183663871,9.49352826430637,13.602125048034866,0.9335,0.005571254347092763,2000
0.03,0.25,2.3936536824085963,19.947114020071634,88000,long-axis view single beat,5.778762633060579,5.74780279812529,5.809112108815649,8.232148233442693,8.202009908134832,8.265240426170028,11.500574866473139,11.448604632020603,11.547154501235951,3.026403594533783,2.9893287181546775,3.064657302660107,18.12235938497289,17.989753444403505,18.2420106907846,6.802601973445138,9.801460570714607,4.578465783662424,7.127108677194051,9.499368359902327,13.688112611904339,0.941,0.005268728499363013,2000
0.03,0.25,2.3936536824085963,19.947114020071634,88000,A4 composite,7.934420246572881,7.903634823098127,7.965542576008782,10.489205802640171,10.451612789011774,10.522869315974766,13.841948755897942,13.79567168248648,13.893572714698179,5.216095003743385,5.182917368954069,5.24765611212787,20.780413606461654,20.662285435672867,20.895281335902656,9.056156457008733,12.156337767841933,6.756383688592339,9.415189540500275,11.725635217435329,16.114234669025034,0.093,0.0064942667022536114,2000
