cell,p_u_anchor,p_u_long,estimator,value,mcse,n,anchor_mean_under_pct,long_mean_under_pct
36,0.03,0.1,A1,0.009614470307761741,0.006039850257362481,100000,2.4,8.0
108,0.03,0.25,A1,0.004896329164395541,0.006010181892337513,100000,2.4,20.0
180,0.03,0.5,A1,0.01615579299059838,0.006027636584871373,100000,2.4,40.0
252,0.06,0.1,A1,-0.2485066081735715,0.006053159295934839,100000,4.8,8.0
324,0.06,0.25,A1,-0.2557310402631477,0.006067917468190075,100000,4.8,20.0
396,0.06,0.5,A1,-0.25048739635669465,0.006062409750043696,100000,4.8,40.0
468,0.125,0.1,A1,-0.8225351343563676,0.006472841624340269,100000,10.0,8.0
540,0.125,0.25,A1,-0.8312202133579867,0.006455479975844359,100000,10.0,20.0
612,0.125,0.5,A1,-0.8379931707659044,0.006462432789446569,100000,10.0,40.0
684,0.25,0.1,A1,-1.922365500179698,0.0081725263935901,100000,20.0,8.0
756,0.25,0.25,A1,-1.9274649101480417,0.008176023676060925,100000,20.0,20.0
828,0.25,0.5,A1,-1.9266419917428073,0.008209739286864767,100000,20.0,40.0
36,0.03,0.1,A2,-0.27504934153958793,0.005217798391316469,100000,2.4,8.0
108,0.03,0.25,A2,-1.1582414482249794,0.0057377095129738705,100000,2.4,20.0
180,0.03,0.5,A2,-2.500462572699595,0.007364200598392939,100000,2.4,40.0
252,0.06,0.1,A2,-0.36126468259802613,0.00519629229618016,100000,4.8,8.0
324,0.06,0.25,A2,-1.247259830426618,0.005807836266894687,100000,4.8,20.0
396,0.06,0.5,A2,-2.596490516268318,0.007431565000880312,100000,4.8,40.0
468,0.125,0.1,A2,-0.553079374251373,0.005229001370071221,100000,10.0,8.0
540,0.125,0.25,A2,-1.4400372109750528,0.00591831337496537,100000,10.0,20.0
612,0.125,0.5,A2,-2.8040322950334127,0.007670748491470391,100000,10.0,40.0
684,0.25,0.1,A2,-0.9203523747745824,0.005501765521553769,100000,20.0,8.0
756,0.25,0.25,A2,-1.7970765276526608,0.006258769262683089,100000,20.0,20.0
828,0.25,0.5,A2,-3.1609321231952983,0.008079344150049612,100000,20.0,40.0
36,0.03,0.1,A3,0.9197770079649943,0.006349697209956212,100000,2.4,8.0
108,0.03,0.25,A3,0.5466747792374969,0.006168758589313855,100000,2.4,20.0
180,0.03,0.5,A3,0.3242900756709765,0.006166799216779086,100000,2.4,40.0
252,0.06,0.1,A3,0.821609259082777,0.006315971006186061,100000,4.8,8.0
324,0.06,0.25,A3,0.39282427757342814,0.0062862960303262695,100000,4.8,20.0
396,0.06,0.5,A3,0.11980501242612822,0.006192716315887641,100000,4.8,40.0
468,0.125,0.1,A3,0.6792338101101266,0.006355547680363381,100000,10.0,8.0
540,0.125,0.25,A3,0.12660452284592197,0.006412296682367033,100000,10.0,20.0
612,0.125,0.5,A3,-0.2606304698398241,0.006511117706825649,100000,10.0,40.0
684,0.25,0.1,A3,0.555850782457942,0.006434364967168377,100000,20.0,8.0
756,0.25,0.25,A3,-0.14582522715432408,0.006725155626547603,100000,20.0,20.0
828,0.25,0.5,A3,-0.7675215473108369,0.007319215296873411,100000,20.0,40.0
36,0.03,0.1,A4,0.762640753204349,0.005912899852230857,100000,2.4,8.0
108,0.03,0.25,A4,0.45575040810509987,0.005934780506972567,100000,2.4,20.0
180,0.03,0.5,A4,0.27030295051623654,0.006004477419493505,100000,2.4,40.0
252,0.06,0.1,A4,0.6422000197978917,0.005895031230632051,100000,4.8,8.0
324,0.06,0.25,A4,0.27968329284447596,0.005987040874350272,100000,4.8,20.0
396,0.06,0.5,A4,0.056044728394325574,0.006024811347678504,100000,4.8,40.0
468,0.125,0.1,A4,0.4390675614241449,0.0059458467860557885,100000,10.0,8.0
540,0.125,0.25,A4,-0.030557284466876354,0.006148110261153734,100000,10.0,20.0
612,0.125,0.5,A4,-0.3644926762194716,0.006328717289577673,100000,10.0,40.0
684,0.25,0.1,A4,0.18881562101451194,0.00622234386345079,100000,20.0,8.0
756,0.25,0.25,A4,-0.4393848196118114,0.006645975836638709,100000,20.0,20.0
828,0.25,0.5,A4,-0.9722003195820829,0.007314102595149571,100000,20.0,40.0
36,0.03,0.1,A5,-0.31359317218714416,0.0053777489764584045,100000,2.4,8.0
108,0.03,0.25,A5,-1.0815098531670888,0.006165027949542955,100000,2.4,20.0
180,0.03,0.5,A5,-2.301755364915767,0.008851903789520112,100000,2.4,40.0
252,0.06,0.1,A5,-0.40567326304231277,0.005328189640978277,100000,4.8,8.0
324,0.06,0.25,A5,-1.1653372747510928,0.006129353005829448,100000,4.8,20.0
396,0.06,0.5,A5,-2.3709908265858033,0.008792957896797408,100000,4.8,40.0
468,0.125,0.1,A5,-0.5924948159201125,0.005398739417524088,100000,10.0,8.0
540,0.125,0.25,A5,-1.3787920447288478,0.006140695238798696,100000,10.0,20.0
612,0.125,0.5,A5,-2.5625802594317526,0.008675542159094466,100000,10.0,40.0
684,0.25,0.1,A5,-0.8253421863016358,0.005571298278799163,100000,20.0,8.0
756,0.25,0.25,A5,-1.7622634112441755,0.006581934397900783,100000,20.0,20.0
