name,value,mcse,source,note
"E1b A1 AP bias vs T1, max over 12 view-accuracy scenarios",0.01615579299059838,0.006027636584871373,"amend2 E1 cell 180, estimator A1, AP, T1, bias_mm","u_anchor 0.03, u_long 0.5"
"E1b A1 AP bias vs T1, min over 12 view-accuracy scenarios",-1.9274649101480417,0.008176023676060925,"amend2 E1 cell 756, estimator A1, AP, T1, bias_mm","u_anchor 0.25, u_long 0.25"
"E1b A2 AP bias vs T1, max over 12 view-accuracy scenarios",-0.27504934153958793,0.005217798391316469,"amend2 E1 cell 36, estimator A2, AP, T1, bias_mm","u_anchor 0.03, u_long 0.1"
"E1b A2 AP bias vs T1, min over 12 view-accuracy scenarios",-3.1609321231952983,0.008079344150049612,"amend2 E1 cell 828, estimator A2, AP, T1, bias_mm","u_anchor 0.25, u_long 0.5"
"E1b A3 AP bias vs T1, max over 12 view-accuracy scenarios",0.9197770079649943,0.006349697209956212,"amend2 E1 cell 36, estimator A3, AP, T1, bias_mm","u_anchor 0.03, u_long 0.1"
"E1b A3 AP bias vs T1, min over 12 view-accuracy scenarios",-0.7675215473108369,0.007319215296873411,"amend2 E1 cell 828, estimator A3, AP, T1, bias_mm","u_anchor 0.25, u_long 0.5"
"E1b A4 AP bias vs T1, max over 12 view-accuracy scenarios",0.762640753204349,0.005912899852230857,"amend2 E1 cell 36, estimator A4, AP, T1, bias_mm, s_det 0.8, f_rej 0.1","u_anchor 0.03, u_long 0.1"
"E1b A4 AP bias vs T1, min over 12 view-accuracy scenarios",-0.9722003195820829,0.007314102595149571,"amend2 E1 cell 828, estimator A4, AP, T1, bias_mm, s_det 0.8, f_rej 0.1","u_anchor 0.25, u_long 0.5"
"E2 A1 RMSE vs T1, sinus, CV 15%, N 1, W 0.0",2.52595,0.00791701,"full/analysis/E2_error.csv: sinus, 0.15, prospective, AP, A1, subset all, T1, rmse_mm",
"E2 A1 RMSE vs T1, sinus, CV 15%, N 3, W 0.0",1.94244,0.00627396,"full/analysis/E2_error.csv: sinus, 0.15, prospective, AP, A1, subset all, T1, rmse_mm",
"E2 A1 RMSE vs T1, sinus, CV 15%, N 5, W 0.0",1.79908,0.00596741,"full/analysis/E2_error.csv: sinus, 0.15, prospective, AP, A1, subset all, T1, rmse_mm",
"E2 A1 RMSE vs T1, sinus, CV 15%, N 7, W 0.0",1.71858,0.00608717,"full/analysis/E2_error.csv: sinus, 0.15, prospective, AP, A1, subset all, T1, rmse_mm",
"E2 A1 RMSE vs T1, sinus, CV 15%, N 10, W 0.0",1.68645,0.0058576,"full/analysis/E2_error.csv: sinus, 0.15, prospective, AP, A1, subset all, T1, rmse_mm",
"E2 A1 RMSE vs T1, sinus, CV 15%, N 13, W 0.0",1.64494,0.005569,"full/analysis/E2_error.csv: sinus, 0.15, prospective, AP, A1, subset all, T1, rmse_mm",
