u,view_over,K,axis,status,cv_cross,cv_cross_mcse,cv_lo,cv_hi,adj_status,adj_cv_cross,adj_cv_cross_mcse,adj_cv_lo,adj_cv_hi,cv_cross_lo95,cv_cross_hi95
base,False,1,AP,negative_at_all_cv,,,,,negative_at_all_cv,,,,,,
base,False,1,SL,crossed,0.2559339800433981,0.004952317999088083,0.25,0.3,negative_at_all_cv,,,,,0.24622761504863344,0.2656403450381628
base,False,2,AP,crossed,0.1401852465396718,0.0015672858737536136,0.1,0.15,crossed,0.251513661997944,0.004271846025432735,0.25,0.3,0.13711342264940615,0.14325707042993743
base,False,2,SL,crossed,0.05769148785325135,0.002272444310924189,0.05,0.1,crossed,0.23620323183060776,0.004623155252554442,0.2,0.25,0.053237578811835135,0.06214539689466757
base,False,3,AP,crossed,0.08322549995976322,0.0011981678238219232,0.05,0.1,crossed,0.15049073308697034,0.0022465362894161377,0.15,0.2,0.0808771341591139,0.08557386576041254
base,False,3,SL,positive_at_all_cv,,,,,crossed,0.10400714976034181,0.0034554301530641896,0.1,0.15,,
base,False,4,AP,crossed,0.05670951652763909,0.0010710446463492347,0.05,0.1,crossed,0.11208331661165782,0.001612803292153789,0.1,0.15,0.05461030757840186,0.058808725476876315
base,False,4,SL,positive_at_all_cv,,,,,positive_at_all_cv,,,,,,
base,True,1,AP,crossed,0.29514324839488554,0.004544320544932618,0.25,0.3,negative_at_all_cv,,,,,0.28623654372235724,0.30404995306741384
base,True,1,SL,crossed,0.21377760388972522,0.0038409819316934006,0.2,0.25,negative_at_all_cv,,,,,0.2062494175789557,0.22130579020049473
base,True,2,AP,crossed,0.06764667340645719,0.0018951794340121854,0.05,0.1,crossed,0.16280178397593015,0.0032630455634299928,0.15,0.2,0.06393218994225293,0.07136115687066145
base,True,2,SL,positive_at_all_cv,,,,,crossed,0.12340906806864715,0.00431789771632075,0.1,0.15,,
base,True,3,AP,positive_at_all_cv,,,,,positive_at_all_cv,,,,,,
base,True,3,SL,positive_at_all_cv,,,,,positive_at_all_cv,,,,,,
base,True,4,AP,positive_at_all_cv,,,,,positive_at_all_cv,,,,,,
base,True,4,SL,positive_at_all_cv,,,,,positive_at_all_cv,,,,,,
low,False,1,AP,crossed,0.1850780657400904,0.004201119909550265,0.15,0.2,negative_at_all_cv,,,,,0.1768440219576886,0.19331210952249217
low,False,1,SL,crossed,0.1018533853644031,0.003862411389689804,0.1,0.15,negative_at_all_cv,,,,,0.09428319808742111,0.10942357264138508
low,False,2,AP,positive_at_all_cv,,,,,crossed,0.057994089672576216,0.002781204021172342,0.05,0.1,,
low,False,2,SL,positive_at_all_cv,,,,,positive_at_all_cv,,,,,,
low,False,3,AP,positive_at_all_cv,,,,,positive_at_all_cv,,,,,,
low,False,3,SL,positive_at_all_cv,,,,,positive_at_all_cv,,,,,,
low,False,4,AP,positive_at_all_cv,,,,,positive_at_all_cv,,,,,,
low,False,4,SL,positive_at_all_cv,,,,,positive_at_all_cv,,,,,,
low,True,1,AP,crossed,0.11014787169951307,0.004468461429943485,0.1,0.15,negative_at_all_cv,,,,,0.10138984816143531,0.11890589523759082
low,True,1,SL,positive_at_all_cv,,,,,negative_at_all_cv,,,,,,
low,True,2,AP,positive_at_all_cv,,,,,positive_at_all_cv,,,,,,
low,True,2,SL,positive_at_all_cv,,,,,positive_at_all_cv,,,,,,
low,True,3,AP,positive_at_all_cv,,,,,positive_at_all_cv,,,,,,
low,True,3,SL,positive_at_all_cv,,,,,positive_at_all_cv,,,,,,
low,True,4,AP,positive_at_all_cv,,,,,positive_at_all_cv,,,,,,
low,True,4,SL,positive_at_all_cv,,,,,positive_at_all_cv,,,,,,
