u,view_over,K,axis,beat_cv,bias,bias_adj,bias_adj_mcse,bias_mcse
base,False,1,AP,0.05,-0.41748172183763577,-0.5245743310153641,0.007157639920823182,0.005052272792867697
base,False,1,SL,0.05,-0.20651122492307003,-0.33832902277865373,0.005787349937913115,0.004059040354893364
base,False,1,AP,0.1,-0.3629452787643758,-0.5270809630380566,0.007806765485029272,0.005485730037010333
base,False,1,SL,0.1,-0.16539858416857423,-0.3415620492741075,0.006117482625712763,0.0042760053861200615
base,False,1,AP,0.15,-0.3154733761111051,-0.5298512303538783,0.008864376302295675,0.006206491067416067
base,False,1,SL,0.15,-0.12689771996131488,-0.3430763724181555,0.006676196651166815,0.00465793819335306
base,False,1,AP,0.2,-0.23752133034176062,-0.5293362410804661,0.010063479151841671,0.007023710709104239
base,False,1,SL,0.2,-0.07153712784643146,-0.3463529852881652,0.007364717332823393,0.005127932236160212
base,False,1,AP,0.25,-0.1709041089242186,-0.5372060946051761,0.01139428222559811,0.007928773919563975
base,False,1,SL,0.25,-0.0060223048472041645,-0.3498280175998895,0.008115603035487176,0.005640451320693118
base,False,1,AP,0.3,-0.08618662829464112,-0.5413494870017815,0.012917203225325644,0.008964122974279743
base,False,1,SL,0.3,0.044721924179183595,-0.35162656091361455,0.009007223850433035,0.006247236228153042
base,False,2,AP,0.05,-0.2336088499839479,-0.37129940517752663,0.007084969521973863,0.004971659336766915
base,False,2,SL,0.05,-0.01151344383857236,-0.18142100208090745,0.005715032570304718,0.003948358457060404
base,False,2,AP,0.1,-0.12628509574436425,-0.3202148083462971,0.0075400421755304975,0.0053643065002978154
base,False,2,SL,0.1,0.06333191806176135,-0.15133989160419997,0.005958138917450339,0.004157258198377344
base,False,2,AP,0.15,0.03084358532480956,-0.22833507345578014,0.008265059850571507,0.005986569312550877
base,False,2,SL,0.15,0.15675309216185987,-0.1044101556884274,0.006339609268451476,0.004500564919363508
base,False,2,AP,0.2,0.2014340306542333,-0.12509058402839976,0.009219473980682244,0.00679083531836334
base,False,2,SL,0.2,0.27072286332634315,-0.04424434797251564,0.006788605906133979,0.004894690044914351
base,False,2,AP,0.25,0.408598940287117,-0.003521728810579494,0.010243113134336597,0.007662668323270603
base,False,2,SL,0.25,0.3932291157928511,0.016861174566924597,0.007361834300258656,0.005380911465804076
base,False,2,AP,0.3,0.591357880709961,0.11280968518287043,0.011384095797133766,0.008623332230222373
