u,view_over,K,beat_cv,s_det,f_rej,axis,estimand,bias_mcse,relbias_pct_mcse,rmse_mcse,sd_err_mcse,bias,relbias_pct,rmse,sd_err
base,False,1,0.05,0.0,0.0,AP,T1,0.005052272792867697,0.04971438709533143,0.004445769722430188,0.003572514214856777,-0.41748172183763577,-3.653556437056439,1.6513059982823475,1.5976689385962024
base,False,1,0.05,0.0,0.0,AP,T2,0.004825937556300133,0.050899353177071775,0.004137896073840882,0.0034124702340364867,0.10156479088494061,1.1925747047098976,1.529463777539375,1.5260954523655492
base,False,1,0.05,0.0,0.0,SL,T1,0.004059040354893364,0.06804224495308303,0.0032672685595277894,0.002870189311037381,-0.20651122492307003,-2.333526659576033,1.3000812553359538,1.2835812636001216
base,False,1,0.05,0.0,0.0,SL,T2,0.003923173118814254,0.07050541800032609,0.003072968284726978,0.0027741161866979467,0.12539402352801585,2.57128852315728,1.2469310333245784,1.2406162710599424
base,False,1,0.05,0.0,0.1,AP,T1,0.005052272792867697,0.04971438709533143,0.004445769722430188,0.003572514214856777,-0.41748172183763577,-3.653556437056439,1.6513059982823475,1.5976689385962024
base,False,1,0.05,0.0,0.1,AP,T2,0.004825937556300133,0.050899353177071775,0.004137896073840882,0.0034124702340364867,0.10156479088494061,1.1925747047098976,1.529463777539375,1.5260954523655492
base,False,1,0.05,0.0,0.1,SL,T1,0.004059040354893364,0.06804224495308303,0.0032672685595277894,0.002870189311037381,-0.20651122492307003,-2.333526659576033,1.3000812553359538,1.2835812636001216
base,False,1,0.05,0.0,0.1,SL,T2,0.003923173118814254,0.07050541800032609,0.003072968284726978,0.0027741161866979467,0.12539402352801585,2.57128852315728,1.2469310333245784,1.2406162710599424
base,False,1,0.05,0.0,0.3,AP,T1,0.005052272792867697,0.04971438709533143,0.004445769722430188,0.003572514214856777,-0.41748172183763577,-3.653556437056439,1.6513059982823475,1.5976689385962024
base,False,1,0.05,0.0,0.3,AP,T2,0.004825937556300133,0.050899353177071775,0.004137896073840882,0.0034124702340364867,0.10156479088494061,1.1925747047098976,1.529463777539375,1.5260954523655492
base,False,1,0.05,0.0,0.3,SL,T1,0.004059040354893364,0.06804224495308303,0.0032672685595277894,0.002870189311037381,-0.20651122492307003,-2.333526659576033,1.3000812553359538,1.2835812636001216
base,False,1,0.05,0.0,0.3,SL,T2,0.003923173118814254,0.07050541800032609,0.003072968284726978,0.0027741161866979467,0.12539402352801585,2.57128852315728,1.2469310333245784,1.2406162710599424
base,False,1,0.05,0.5,0.0,AP,T1,0.005052272792867697,0.04971438709533143,0.004445769722430188,0.003572514214856777,-0.41748172183763577,-3.653556437056439,1.6513059982823475,1.5976689385962024
base,False,1,0.05,0.5,0.0,AP,T2,0.004825937556300133,0.050899353177071775,0.004137896073840882,0.0034124702340364867,0.10156479088494061,1.1925747047098976,1.529463777539375,1.5260954523655492
base,False,1,0.05,0.5,0.0,SL,T1,0.004059040354893364,0.06804224495308303,0.0032672685595277894,0.002870189311037381,-0.20651122492307003,-2.333526659576033,1.3000812553359538,1.2835812636001216
base,False,1,0.05,0.5,0.0,SL,T2,0.003923173118814254,0.07050541800032609,0.003072968284726978,0.0027741161866979467,0.12539402352801585,2.57128852315728,1.2469310333245784,1.2406162710599424
base,False,1,0.05,0.5,0.1,AP,T1,0.005052272792867697,0.04971438709533143,0.004445769722430188,0.003572514214856777,-0.41748172183763577,-3.653556437056439,1.6513059982823475,1.5976689385962024
base,False,1,0.05,0.5,0.1,AP,T2,0.004825937556300133,0.050899353177071775,0.004137896073840882,0.0034124702340364867,0.10156479088494061,1.1925747047098976,1.529463777539375,1.5260954523655492
base,False,1,0.05,0.5,0.1,SL,T1,0.004059040354893364,0.06804224495308303,0.0032672685595277894,0.002870189311037381,-0.20651122492307003,-2.333526659576033,1.3000812553359538,1.2835812636001216
base,False,1,0.05,0.5,0.1,SL,T2,0.003923173118814254,0.07050541800032609,0.003072968284726978,0.0027741161866979467,0.12539402352801585,2.57128852315728,1.2469310333245784,1.2406162710599424
base,False,1,0.05,0.5,0.3,AP,T1,0.005052272792867697,0.04971438709533143,0.004445769722430188,0.003572514214856777,-0.41748172183763577,-3.653556437056439,1.6513059982823475,1.5976689385962024
base,False,1,0.05,0.5,0.3,AP,T2,0.004825937556300133,0.050899353177071775,0.004137896073840882,0.0034124702340364867,0.10156479088494061,1.1925747047098976,1.529463777539375,1.5260954523655492
base,False,1,0.05,0.5,0.3,SL,T1,0.004059040354893364,0.06804224495308303,0.0032672685595277894,0.002870189311037381,-0.20651122492307003,-2.333526659576033,1.3000812553359538,1.2835812636001216
base,False,1,0.05,0.5,0.3,SL,T2,0.003923173118814254,0.07050541800032609,0.003072968284726978,0.0027741161866979467,0.12539402352801585,2.57128852315728,1.2469310333245784,1.2406162710599424
base,False,1,0.05,0.8,0.0,AP,T1,0.005052272792867697,0.04971438709533143,0.004445769722430188,0.003572514214856777,-0.41748172183763577,-3.653556437056439,1.6513059982823475,1.5976689385962024
base,False,1,0.05,0.8,0.0,AP,T2,0.004825937556300133,0.050899353177071775,0.004137896073840882,0.0034124702340364867,0.10156479088494061,1.1925747047098976,1.529463777539375,1.5260954523655492
base,False,1,0.05,0.8,0.0,SL,T1,0.004059040354893364,0.06804224495308303,0.0032672685595277894,0.002870189311037381,-0.20651122492307003,-2.333526659576033,1.3000812553359538,1.2835812636001216
base,False,1,0.05,0.8,0.0,SL,T2,0.003923173118814254,0.07050541800032609,0.003072968284726978,0.0027741161866979467,0.12539402352801585,2.57128852315728,1.2469310333245784,1.2406162710599424
base,False,1,0.05,0.8,0.1,AP,T1,0.005052272792867697,0.04971438709533143,0.004445769722430188,0.003572514214856777,-0.41748172183763577,-3.653556437056439,1.6513059982823475,1.5976689385962024
base,False,1,0.05,0.8,0.1,AP,T2,0.004825937556300133,0.050899353177071775,0.004137896073840882,0.0034124702340364867,0.10156479088494061,1.1925747047098976,1.529463777539375,1.5260954523655492
base,False,1,0.05,0.8,0.1,SL,T1,0.004059040354893364,0.06804224495308303,0.0032672685595277894,0.002870189311037381,-0.20651122492307003,-2.333526659576033,1.3000812553359538,1.2835812636001216
