step,estimator,axis,estimand,bias_mm,mcse,n
base,A7,AP,T1,0.2579307827471704,0.005405655127279018,100000
base,A1,AP,T1,-0.2170496397200319,0.006395593239573794,100000
base,A3,AP,T1,0.5378012445888536,0.006465949871022682,100000
centring_mean,A7,AP,T1,0.1416424224862471,0.005369947774497374,100000
centring_mean,A1,AP,T1,-0.3280365578009887,0.006403059510050577,100000
centring_mean,A3,AP,T1,0.41833325985588243,0.006431664283814354,100000
centring_mean_g0,A7,AP,T1,0.08591616221894158,0.003898403330103403,100000
centring_mean_g0,A1,AP,T1,-0.3795798586999142,0.005277156324414791,100000
centring_mean_g0,A3,AP,T1,0.365392286184931,0.0052069614582638995,100000
centring_mean_g0_nowindow,A7,AP,T1,9.013073148254876e-05,0.003683038259415148,100000
centring_mean_g0_nowindow,A1,AP,T1,-0.42326393215289704,0.004812101307576699,100000
centring_mean_g0_nowindow,A3,AP,T1,0.2175063438064525,0.004846225753064616,100000
