u,view_over,K,beat_cv,rho,N_beats,estimator,axis,estimand,bias_mcse,relbias_pct_mcse,rmse_mcse,sd_err_mcse,bias,relbias_pct,rmse,sd_err,bias_lo95,bias_hi95,rmse_lo95,rmse_hi95
base,True,3,0.15,0.3,3,A1,AP,T1,0.006411554607645574,0.06008691308480687,0.006472869045180178,0.0045336764094527585,-0.2054573046291033,-1.654106942090907,2.037884894854243,2.027511590270724,-0.21802372084412275,-0.19289088841408386,2.025198304548976,2.0505714851595105
base,True,3,0.15,0.3,3,A1,AP,T2,0.0060332018678332655,0.05972272360817136,0.005977266477591282,0.004266139283761993,0.22037519955931234,2.372846325422476,1.9205419305130285,1.9078659485935276,0.20855034109362638,0.2322000580249983,1.9088267033985427,1.9322571576275143
base,True,3,0.15,0.3,3,A1,SL,T1,0.004795694499552373,0.07551005980391326,0.004492669762119569,0.003391085056600182,-0.05710075624921947,-0.09007860787331987,1.5175987845877412,1.5165317580926847,-0.06650014482334013,-0.0477013676750988,1.5087933135900984,1.526404255585384
base,True,3,0.15,0.3,3,A1,SL,T2,0.004586946812630907,0.07655404951410043,0.004294503402007567,0.003243477413580946,0.21702703340247156,4.005400702349483,1.4666587194493814,1.450519943396327,0.20803678277980026,0.22601728402514287,1.458241647383569,1.4750757915151937
base,True,3,0.15,0.3,3,A2,AP,T1,0.0058848443076988406,0.052159015549119614,0.006362113875009001,0.004161234122423532,-1.1818644834460097,-10.599920980296144,2.2045199655308463,1.8609511687805098,-1.1933985664347044,-1.170330400457315,2.1920504513719283,2.2169894796897642
base,True,3,0.15,0.3,3,A2,AP,T2,0.005749714981476162,0.054132722110937906,0.005966334050874917,0.00406568278175641,-0.756031979257594,-6.812274089991666,1.9691301458407795,1.8182195238257517,-0.767301213631548,-0.74476274488364,1.9574363458890904,1.9808239457924686
base,True,3,0.15,0.3,3,A2,SL,T1,0.004322778366515835,0.06425201616996476,0.004451214351215589,0.003056681179973963,-0.6716572509590374,-8.898382491519762,1.5230712580029793,1.3669825458292186,-0.6801297409373872,-0.6631847609806876,1.5143470381183133,1.5317954778876453
base,True,3,0.15,0.3,3,A2,SL,T2,0.004225538491243059,0.06695435738072296,0.004208289858427641,0.0029879218609693945,-0.39752946130734634,-5.036028301860694,1.3941052225457857,1.3362325973039526,-0.40581136463079703,-0.38924755798389565,1.3858571259217025,1.402353319169869
base,True,3,0.15,0.3,3,A3,AP,T1,0.006455806175253661,0.05975652724580796,0.007567616077943415,0.004564967149440663,0.5389543142012205,5.6254157246467225,2.1114387068080065,2.0415051646381723,0.5263011665067456,0.5516074618956954,2.096606451729416,2.126270961886597
base,True,3,0.15,0.3,3,A3,AP,T2,0.006315857150827399,0.06110481888351411,0.0077055272860074445,0.0044660077504501796,0.964786818389636,10.056047902201197,2.218057454136977,1.9972493972876197,0.9524079657448717,0.9771656710344002,2.2029548980553844,2.2331600102185694
