u,view_over,rho,N_beats,estimator,axis,estimand,bias_mcse,relbias_pct_mcse,rmse_mcse,sd_err_mcse,bias,relbias_pct,rmse,sd_err
base,False,0.0,1,A1,AP,T1,0.007764756613096123,0.07313899587035314,0.007602642427332074,0.005490539508149531,-0.36560159286029265,-3.352887976047563,2.482488420782405,2.455431637423856
base,False,0.0,1,A1,AP,T2,0.0076297205627432335,0.07587227070891576,0.007967264920779796,0.00539505412381224,0.15406274261808248,1.5150276708519606,2.417631217241752,2.4127294888890245
base,False,0.0,1,A1,SL,T1,0.0058398042852378755,0.09387699036761114,0.0052661644672563,0.0041293858578748685,-0.23407168955403157,-3.359006508485387,1.8614743784228818,1.8467082630963305
base,False,0.0,1,A1,SL,T2,0.005762088289145184,0.09792042589335077,0.0054184985372000265,0.004074432075261459,0.09791088049037877,1.496768325411441,1.8247518965731637,1.8221323072681654
base,False,0.0,1,A2,AP,T1,0.006219564452884316,0.055630768744031826,0.006679068995892439,0.0043979181903072255,-1.4728233813561487,-13.563516266496437,2.45712600980202,1.9667989725333443
base,False,0.0,1,A2,AP,T2,0.006088213861458391,0.05881823845881501,0.00614010015049362,0.004305038831999138,-0.9531590458777733,-9.125214196295785,2.1482806852634537,1.9252622684417335
base,False,0.0,1,A2,SL,T1,0.004645841556563905,0.07115374003011439,0.004710103135030445,0.0032851224946181404,-0.9438307144949699,-13.588977431867672,1.7461899125381322,1.4691440967003928
base,False,0.0,1,A2,SL,T2,0.004555784141954698,0.07508553066744697,0.004306999961184144,0.003221441967648411,-0.6118481444505595,-9.161489583532564,1.5652010450760105,1.4406654416652713
base,False,0.0,1,A3,AP,T1,0.007208199182243292,0.06727875181320876,0.008237316057972373,0.005096992006931306,0.5799885641325631,6.037220676097113,2.352051938516322,2.2794327244051944
base,False,0.0,1,A3,AP,T2,0.007248109076493071,0.07077310975075865,0.008918254920045538,0.005125212704895606,1.0996528996109383,11.46041970699677,2.5421826218845265,2.2920533411057704
base,False,0.0,1,A3,SL,T1,0.005293799920463806,0.08431786194165292,0.005656609611588655,0.003743300538554248,0.539655487693809,9.40481693979876,1.7588723037420042,1.6740465225883838
base,False,0.0,1,A3,SL,T2,0.005307557942965348,0.08878751605865304,0.00606579591133288,0.0037530289782031255,0.8716380577382192,14.996438542531335,1.8912276080154375,1.678397191308856
base,False,0.0,1,A4,AP,T1,0.007208124966421408,0.06729932092529149,0.008202055539975502,0.005096939528157986,0.5412890175048906,5.714539747176764,2.342786459872227,2.279409255301637
base,False,0.0,1,A4,AP,T2,0.007234355726394835,0.07074183678538352,0.008860748062137441,0.0051154875691513104,1.0609533529832655,11.118325818046545,2.521737488103358,2.287704149928958
base,False,0.0,1,A4,SL,T1,0.005298599565413557,0.08442709291462042,0.0056484422108366945,0.0037466944170149396,0.5208922022161389,9.15789279827754,1.7546556205228134,1.6755643035885177
base,False,0.0,1,A4,SL,T2,0.005306159794261102,0.08887321932902532,0.006048536684375574,0.0037520403328300065,0.8528747722605491,14.734611008421394,1.8822593864953958,1.6779550578675528
base,False,0.0,1,A5,AP,T1,0.006747896505645821,0.06063905784527828,0.007373815311508287,0.00477150723548299,-1.449783130630908,-13.359622625962455,2.5797744701514924,2.1338722372932053
base,False,0.0,1,A5,AP,T2,0.006637918238433603,0.06410152540849579,0.0069428900381338955,0.004693740468119276,-0.9301187951525328,-8.90657263614365,2.295925252518123,2.099094055542283
base,False,0.0,1,A5,SL,T1,0.0050041997445399765,0.07695357644154098,0.005047640735297864,0.00353852126642677,-0.9300391655911951,-13.432932791501626,1.8355242618510603,1.582466905917908
base,False,0.0,1,A5,SL,T2,0.0049280117516093905,0.0811786535405591,0.004677540944043149,0.0034846479506133077,-0.5980565955467849,-8.994674746184582,1.6691846478377437,1.558374147116162
base,False,0.0,1,A6,AP,T1,0.007764756613096123,0.07313899587035314,0.007602642427332074,0.005490539508149531,-0.36560159286029265,-3.352887976047563,2.482488420782405,2.455431637423856
base,False,0.0,1,A6,AP,T2,0.0076297205627432335,0.07587227070891576,0.007967264920779796,0.00539505412381224,0.15406274261808248,1.5150276708519606,2.417631217241752,2.4127294888890245
base,False,0.0,1,A6,SL,T1,0.0058398042852378755,0.09387699036761114,0.0052661644672563,0.0041293858578748685,-0.23407168955403157,-3.359006508485387,1.8614743784228818,1.8467082630963305
base,False,0.0,1,A6,SL,T2,0.005762088289145184,0.09792042589335077,0.0054184985372000265,0.004074432075261459,0.09791088049037877,1.496768325411441,1.8247518965731637,1.8221323072681654
base,False,0.0,1,A7,AP,T1,0.0062535419735235,0.06122192434391399,0.005949979828667962,0.004421944045688676,0.1677591148990271,1.5860673623860546,1.9846366758947367,1.9775436079798645
base,False,0.0,1,A7,AP,T2,0.006456012489170558,0.0658697056794854,0.006750554319478993,0.004565113036139789,0.6874234503774024,6.863587503352213,2.1541864000276614,2.0415704068272107
base,False,0.0,1,A7,SL,T1,0.0049645673751917445,0.08291398982856285,0.004463661616000948,0.003510496809183509,0.10976736423895658,1.6077605853700545,1.5737589235980745,1.5699340502969623
base,False,0.0,1,A7,SL,T2,0.005071760976049596,0.08832130814754155,0.004885832279626231,0.003586294510239353,0.4417499342833669,6.873501463018631,1.6635483826741908,1.6038316432275412
base,False,0.0,3,A1,AP,T1,0.00618642803215144,0.05797288788919165,0.005884335659887691,0.00437448708534694,-0.3133627588458573,-2.6292173201877116,1.9812488804889214,1.9563203162311928
base,False,0.0,3,A1,AP,T2,0.006019220823447408,0.05983157112563221,0.005986441223952806,0.004256253143037856,0.20650177637999825,2.28820628912992,1.9146040543075906,1.9034447541608057
base,False,0.0,3,A1,SL,T1,0.0046478117836874396,0.07379020808662186,0.004109054481703726,0.003286515662543526,-0.12695444535079317,-1.0957636594330433,1.4752326144369008,1.4697671372222139
base,False,0.0,3,A1,SL,T2,0.004536111275776748,0.07669590781469472,0.0041925835883415835,0.0032075310810139993,0.20519720979080908,3.881146843684398,1.4490396368710288,1.4344443351426697
base,False,0.0,3,A2,AP,T1,0.005688583403972093,0.049429324389305,0.0065484243845149795,0.004022456012624265,-1.4052331144330457,-12.651851245415527,2.282683915988529,1.7988880216385548
base,False,0.0,3,A2,AP,T2,0.005536705432909868,0.05246846474596403,0.005904892763372377,0.003915061532399567,-0.8853685792071899,-8.15586497747183,1.9619779741428476,1.7508599901423771
base,False,0.0,3,A2,SL,T1,0.004196214930801705,0.06201285489584519,0.004434500102184912,0.00296718686885756,-0.8204166640439318,-11.018554601263142,1.5600922629670158,1.3269596732939235
base,False,0.0,3,A2,SL,T2,0.00407846862255633,0.06557383346968691,0.00398146330360613,0.0028839272395383858,-0.4882650089023296,-6.459241731877792,1.3790492070733877,1.2897250212807585
base,False,0.0,3,A3,AP,T1,0.005865514386896716,0.05500931761679153,0.00595249799485582,0.004147565736002447,0.26543499139718246,3.1100770929212573,1.8737254955537739,1.8548385111079713
base,False,0.0,3,A3,AP,T2,0.00586834217642049,0.057948861714766195,0.006480172715579523,0.004149565295148297,0.7852995266230381,8.390622874199758,2.015044639463361,1.8557327366718404
base,False,0.0,3,A3,SL,T1,0.004351268720357205,0.06970930919430417,0.004161360138123551,0.0030768270031029665,0.34589643882108756,6.674327285591349,1.418795038236861,1.375991986777504
base,False,0.0,3,A3,SL,T2,0.004333919037763552,0.07343873083403331,0.004546781040513559,0.00306455886354871,0.6780480939626897,12.120115876309063,1.5290571792647736,1.3705055354098121
base,False,0.0,3,A4,AP,T1,0.005865911366084988,0.05500171501913792,0.005937872280586351,0.004147846444082009,0.2526130625313701,3.012164717708797,1.8720765384785498,1.854964046949834
base,False,0.0,3,A4,AP,T2,0.00585880655789172,0.05790318714737374,0.006435999870483639,0.004142822560910041,0.7724775977572257,8.285774942273521,2.0072988670604075,1.8527173093268987
base,False,0.0,3,A4,SL,T1,0.004351377763900785,0.06971482100663279,0.00415088606780096,0.0030769041089176072,0.34095472888073897,6.621226298448348,1.4176318411614186,1.376026469373689
base,False,0.0,3,A4,SL,T2,0.004330194456366729,0.07342756635715772,0.004529748944933223,0.0030619251736174525,0.6731063840223412,12.063335540635611,1.5258151449708832,1.3693277193553468
base,False,0.0,3,A5,AP,T1,0.006082968848867645,0.05357268450413531,0.007095229844374774,0.004301330029484754,-1.3132951541723596,-11.853876696932579,2.329153958220023,1.9236036498274318
base,False,0.0,3,A5,AP,T2,0.005966394201601005,0.05681035178305394,0.006536289143532473,0.004218898893731373,-0.7934306189465042,-7.312999224267491,2.046773687077268,1.8867395095481014
