u,axis,cutoff_mm,estimator,fnr_mcse,fpr_mcse,nri_events_vs_A1_mcse,nri_nonevents_vs_A1_mcse,nri_vs_A1_mcse,ppv_mcse,prevalence_mcse,sensitivity_mcse,specificity_mcse,fnr,fpr,nri_events_vs_A1,nri_nonevents_vs_A1,nri_vs_A1,ppv,prevalence,sensitivity,specificity
base,AP,7.0,A1,0.0010158692065126917,0.0029794583764682706,0.0,0.0,0.0,0.0007722565261109402,0.001225951150739702,0.0010158692065126917,0.0029794583764682706,0.09279690104932825,0.2059813287016934,0.0,0.0,0.0,0.9512217066618681,0.81576,0.9072030989506717,0.7940186712983066
base,AP,7.0,A2,0.0012596432405242068,0.0021754291119277093,0.001049196014752945,0.002667971579535816,0.002866859715190874,0.0005872987774811605,0.001225951150739702,0.0012596432405242068,0.0021754291119277093,0.1527777777777778,0.09650455927051671,-0.05998087672844954,0.10947676943117673,0.049495892702727196,0.9749192422169246,0.81576,0.8472222222222222,0.9034954407294833
base,AP,7.0,A3,0.0007682083423431984,0.003388674704190515,0.0007029724943040089,0.0021901061241681613,0.0023001598124623617,0.0008702633932934855,0.001225951150739702,0.0007682083423431984,0.003388674704190515,0.05071344513092091,0.30395136778115506,0.04208345591840738,-0.09797003907946157,-0.055886583161054194,0.9325618083069401,0.81576,0.9492865548690791,0.6960486322188449
base,AP,7.0,A4,0.0007832298677120847,0.003368703478115593,0.0006857888810352776,0.002126509597779807,0.002234356609586136,0.0008648138869692924,0.001225951150739702,0.0007832298677120847,0.003368703478115593,0.052834166911836844,0.2977095093356491,0.03996273413749142,-0.09172818063395571,-0.05176544649646429,0.933716813089872,0.81576,0.9471658330881632,0.7022904906643509
base,AP,7.0,A5,0.0012654968747413927,0.002283735763715002,0.0009839108914189213,0.0024676575691192602,0.0026565794775772005,0.0006189129768768044,0.001225951150739702,0.0012654968747413927,0.002283735763715002,0.1545184858291654,0.10768562744246635,-0.06172158477983721,0.09829570125922708,0.03657411647938987,0.9720386160242407,0.81576,0.8454815141708346,0.8923143725575337
base,AP,7.0,A6,0.0011261082350269079,0.003036815947371512,0.0009456152432347239,0.0027261787427645874,0.002885522262215174,0.0008096362751499928,0.001225951150739702,0.0011261082350269079,0.003036815947371512,0.11717907227615965,0.21699956578376034,-0.02438217122683142,-0.011018237082066881,-0.035400408308898304,0.9474051174110373,0.81576,0.8828209277238404,0.7830004342162397
base,AP,7.0,A7,0.0008022431026946697,0.00318828306462157,0.0008475305542430967,0.0027877486177512846,0.0029137347847993664,0.0008068613723409189,0.001225951150739702,0.0008022431026946697,0.00318828306462157,0.055592331077767954,0.2495657837603127,0.03720456997156026,-0.043584455058619194,-0.006379885087058931,0.9436788789671603,0.81576,0.944407668922232,0.7504342162396873
base,AP,10.0,A1,0.0016383747497776752,0.0014312250012038237,0.0,0.0,0.0,0.001480461135737334,0.0015811092195038266,0.0016383747497776752,0.0014312250012038237,0.16093507732676027,0.11502394655290382,0.0,0.0,0.0,0.8807327963944415,0.50306,0.8390649226732397,0.8849760534470962
base,AP,10.0,A2,0.0019786355266959714,0.0009308867136468792,0.0016852360645073794,0.001291649470928794,0.0021232943622745653,0.0011789924937326327,0.0015811092195038266,0.0019786355266959714,0.0009308867136468792,0.269669621913887,0.04509598744315213,-0.1087345445871268,0.06992795910975169,-0.0388065854773751,0.9425104538108309,0.50306,0.730330378086113,0.9549040125568479
base,AP,10.0,A3,0.001307294253842593,0.0017048395117345687,0.001106473857495507,0.0010659001394130695,0.0015363682841434173,0.0015760998219559671,0.0015811092195038266,0.001307294253842593,0.0017048395117345687,0.09499860851588282,0.17509156034933793,0.06593646881087743,-0.060067613796434174,0.005868855014443258,0.8395478350667552,0.50306,0.9050013914841172,0.8249084396506621
base,AP,10.0,A4,0.0013445448127534856,0.0016690129406804614,0.001056806263936619,0.0009864430655428511,0.0014456518948395747,0.0015621697507772671,0.0015811092195038266,0.0013445448127534856,0.0016690129406804614,0.1011807736651692,0.16597577172294442,0.05975430366159106,-0.05095182517004065,0.008802478491550414,0.8457279664821188,0.50306,0.8988192263348308,0.8340242282770556
base,AP,10.0,A5,0.0019686758299543067,0.0010107701172890743,0.0015655821307818747,0.0011817628244813728,0.0019615327633128402,0.0012586039574467496,0.0015811092195038266,0.0019686758299543067,0.0010107701172890743,0.26541565618415297,0.05364832776592743,-0.10448057885739276,0.0613756187869763,-0.043104960070416455,0.9327107521453811,0.50306,0.734584343815847,0.9463516722340726
base,AP,10.0,A6,0.0017442898238368225,0.0015141394167192282,0.0014552484729979923,0.0013092614930758468,0.001957527464791793,0.0015837020346783858,0.0015811092195038266,0.0017442898238368225,0.0015141394167192282,0.18864548960362582,0.1311224695134221,-0.027710412276865583,-0.01609852296051837,-0.04380893523738395,0.8623341502577537,0.50306,0.8113545103963742,0.8688775304865779
base,AP,10.0,A7,0.0013211375133636383,0.0015631509088011345,0.0013793714773469396,0.0013377525581623985,0.0019215222037198322,0.0014876457492095537,0.0015811092195038266,0.0013211375133636383,0.0015631509088011345,0.09726473979247008,0.1414255242081539,0.06367033753429015,-0.026401577655250127,0.03726875987904002,0.865982723441582,0.50306,0.9027352602075299,0.8585744757918461
