metric,axis,max_mcse
fnr,AP,0.003106874820982533
fnr,SL,0.007455782430080452
fpr,AP,0.0036934556656138626
fpr,SL,0.001966768034877162
nri_events_vs_A1,AP,0.002951586741894415
nri_events_vs_A1,SL,0.007369076019689689
nri_nonevents_vs_A1,AP,0.0033480310344056355
nri_nonevents_vs_A1,SL,0.001585627350902153
nri_vs_A1,AP,0.0035408166307555654
nri_vs_A1,SL,0.007391399303081111
ppv,AP,0.0028815530678215234
ppv,SL,0.007659211276077694
prevalence,AP,0.001581138829767962
prevalence,SL,0.0015555271231965067
sensitivity,AP,0.003106874820982533
sensitivity,SL,0.007455782430080452
specificity,AP,0.0036934556656138626
specificity,SL,0.001966768034877162
