rhythm_state,p_beat_cv,W,p_N_beats,p_data_mode,axis,value,mcse,n
AF_rr0.1,0.05,0,1,prospective,AP,1,0,100000
AF_rr0.1,0.05,0,1,prospective,SL,1,0,100000
AF_rr0.1,0.05,0,1,retrospective,AP,1,0,100000
AF_rr0.1,0.05,0,1,retrospective,SL,1,0,100000
AF_rr0.1,0.05,0,3,prospective,AP,3,0,100000
AF_rr0.1,0.05,0,3,prospective,SL,3,0,100000
AF_rr0.1,0.05,0,3,retrospective,AP,2.7043,0.001884,100000
AF_rr0.1,0.05,0,3,retrospective,SL,2.7043,0.001884,100000
AF_rr0.1,0.05,0,5,prospective,AP,5,0,100000
AF_rr0.1,0.05,0,5,prospective,SL,5,0,100000
AF_rr0.1,0.05,0,5,retrospective,AP,3.65419,0.00416459,100000
AF_rr0.1,0.05,0,5,retrospective,SL,3.65419,0.00416459,100000
AF_rr0.1,0.05,0,7,prospective,AP,7,0,100000
AF_rr0.1,0.05,0,7,prospective,SL,7,0,100000
AF_rr0.1,0.05,0,7,retrospective,AP,3.99357,0.00552561,100000
AF_rr0.1,0.05,0,7,retrospective,SL,3.99357,0.00552561,100000
AF_rr0.1,0.05,0,10,prospective,AP,10,0,100000
AF_rr0.1,0.05,0,10,prospective,SL,10,0,100000
AF_rr0.1,0.05,0,10,retrospective,AP,4.0801,0.00609841,100000
AF_rr0.1,0.05,0,10,retrospective,SL,4.0801,0.00609841,100000
AF_rr0.1,0.05,0,13,prospective,AP,13,0,100000
AF_rr0.1,0.05,0,13,prospective,SL,13,0,100000
AF_rr0.1,0.05,0,13,retrospective,AP,4.07725,0.0061351,100000
AF_rr0.1,0.05,0,13,retrospective,SL,4.07725,0.0061351,100000
AF_rr0.1,0.05,0.1,1,prospective,AP,1,0,100000
AF_rr0.1,0.05,0.1,1,prospective,SL,1,0,100000
AF_rr0.1,0.05,0.1,1,retrospective,AP,1,0,100000
AF_rr0.1,0.05,0.1,1,retrospective,SL,1,0,100000
AF_rr0.1,0.05,0.1,3,prospective,AP,4.01697,0.00353125,100000
AF_rr0.1,0.05,0.1,3,prospective,SL,4.69623,0.00522354,100000
AF_rr0.1,0.05,0.1,3,retrospective,AP,3.17817,0.00347704,100000
AF_rr0.1,0.05,0.1,3,retrospective,SL,3.38132,0.00407835,100000
AF_rr0.1,0.05,0.1,5,prospective,AP,7.40155,0.00645776,100000
AF_rr0.1,0.05,0.1,5,prospective,SL,9.05797,0.0101985,100000
AF_rr0.1,0.05,0.1,5,retrospective,AP,3.93336,0.00543929,100000
AF_rr0.1,0.05,0.1,5,retrospective,SL,3.99182,0.00572469,100000
AF_rr0.1,0.05,0.1,7,prospective,AP,10.8763,0.00932941,100000
AF_rr0.1,0.05,0.1,7,prospective,SL,13.5581,0.014512,100000
AF_rr0.1,0.05,0.1,7,retrospective,AP,4.06571,0.00604634,100000
AF_rr0.1,0.05,0.1,7,retrospective,SL,4.07297,0.00610299,100000
AF_rr0.1,0.05,0.1,10,prospective,AP,16.1656,0.0129911,100000
AF_rr0.1,0.05,0.1,10,prospective,SL,19.964,0.0174051,100000
AF_rr0.1,0.05,0.1,10,retrospective,AP,4.07085,0.00613979,100000
AF_rr0.1,0.05,0.1,10,retrospective,SL,4.07112,0.00614309,100000
AF_rr0.1,0.05,0.1,13,prospective,AP,21.1883,0.0144,100000
AF_rr0.1,0.05,0.1,13,prospective,SL,24.959,0.0150811,100000
AF_rr0.1,0.05,0.1,13,retrospective,AP,4.08062,0.00613597,100000
AF_rr0.1,0.05,0.1,13,retrospective,SL,4.08062,0.00613597,100000
AF_rr0.1,0.05,0.15,1,prospective,AP,1,0,100000
AF_rr0.1,0.05,0.15,1,prospective,SL,1,0,100000
AF_rr0.1,0.05,0.15,1,retrospective,AP,1,0,100000
AF_rr0.1,0.05,0.15,1,retrospective,SL,1,0,100000
AF_rr0.1,0.05,0.15,3,prospective,AP,3.4876,0.00245526,100000
AF_rr0.1,0.05,0.15,3,prospective,SL,3.97914,0.0038879,100000
AF_rr0.1,0.05,0.15,3,retrospective,AP,2.94586,0.00280431,100000
AF_rr0.1,0.05,0.15,3,retrospective,SL,3.14198,0.00343507,100000
AF_rr0.1,0.05,0.15,5,prospective,AP,6.13359,0.00438721,100000
AF_rr0.1,0.05,0.15,5,prospective,SL,7.28225,0.00743611,100000
AF_rr0.1,0.05,0.15,5,retrospective,AP,3.83162,0.00493215,100000
AF_rr0.1,0.05,0.15,5,retrospective,SL,3.9167,0.00532474,100000
AF_rr0.1,0.05,0.15,7,prospective,AP,8.8236,0.00622196,100000
AF_rr0.1,0.05,0.15,7,prospective,SL,10.6889,0.0108075,100000
AF_rr0.1,0.05,0.15,7,retrospective,AP,4.03053,0.00585615,100000
AF_rr0.1,0.05,0.15,7,retrospective,SL,4.04687,0.00597318,100000
AF_rr0.1,0.05,0.15,10,prospective,AP,12.9018,0.00893981,100000
AF_rr0.1,0.05,0.15,10,prospective,SL,15.7544,0.0146042,100000
AF_rr0.1,0.05,0.15,10,retrospective,AP,4.07438,0.00612921,100000
AF_rr0.1,0.05,0.15,10,retrospective,SL,4.07482,0.0061341,100000
AF_rr0.1,0.05,0.15,13,prospective,AP,16.9637,0.0110221,100000
AF_rr0.1,0.05,0.15,13,prospective,SL,20.4768,0.0158893,100000
AF_rr0.1,0.05,0.15,13,retrospective,AP,4.0785,0.00613297,100000
AF_rr0.1,0.05,0.15,13,retrospective,SL,4.07851,0.00613313,100000
AF_rr0.1,0.05,0.2,1,prospective,AP,1,0,100000
AF_rr0.1,0.05,0.2,1,prospective,SL,1,0,100000
