rhythm_state,p_beat_cv,axis,estimand,W,p_N_beats,rmse_win,smallest_nowin_N_as_good
AF_rr0.1,0.05,AP,T1,0.1,1,2.03782,1
AF_rr0.1,0.05,AP,T1,0.1,3,1.7746,3
AF_rr0.1,0.05,AP,T1,0.1,5,1.70775,5
AF_rr0.1,0.05,AP,T1,0.1,7,1.66178,7
AF_rr0.1,0.05,AP,T1,0.1,10,1.63631,7
AF_rr0.1,0.05,AP,T1,0.1,13,1.6243,10
AF_rr0.1,0.05,AP,T1,0.15,1,2.03147,1
AF_rr0.1,0.05,AP,T1,0.15,3,1.76568,3
AF_rr0.1,0.05,AP,T1,0.15,5,1.68677,5
AF_rr0.1,0.05,AP,T1,0.15,7,1.65035,7
AF_rr0.1,0.05,AP,T1,0.15,10,1.63011,10
AF_rr0.1,0.05,AP,T1,0.15,13,1.60423,13
AF_rr0.1,0.05,AP,T1,0.2,1,2.0455,1
AF_rr0.1,0.05,AP,T1,0.2,3,1.73938,3
AF_rr0.1,0.05,AP,T1,0.2,5,1.67322,5
AF_rr0.1,0.05,AP,T1,0.2,7,1.6404,7
AF_rr0.1,0.05,AP,T1,0.2,10,1.6121,13
AF_rr0.1,0.05,AP,T1,0.2,13,1.59795,
AF_rr0.1,0.05,AP,T1,0.25,1,2.03702,1
AF_rr0.1,0.05,AP,T1,0.25,3,1.72891,5
AF_rr0.1,0.05,AP,T1,0.25,5,1.66833,5
AF_rr0.1,0.05,AP,T1,0.25,7,1.63876,7
AF_rr0.1,0.05,AP,T1,0.25,10,1.6168,10
AF_rr0.1,0.05,AP,T1,0.25,13,1.60903,13
AF_rr0.1,0.05,AP,T2,0.1,1,1.88984,1
AF_rr0.1,0.05,AP,T2,0.1,3,1.62022,3
AF_rr0.1,0.05,AP,T2,0.1,5,1.54796,5
AF_rr0.1,0.05,AP,T2,0.1,7,1.50418,5
AF_rr0.1,0.05,AP,T2,0.1,10,1.46976,7
AF_rr0.1,0.05,AP,T2,0.1,13,1.46194,7
AF_rr0.1,0.05,AP,T2,0.15,1,1.88586,1
AF_rr0.1,0.05,AP,T2,0.15,3,1.60817,3
AF_rr0.1,0.05,AP,T2,0.15,5,1.51855,5
AF_rr0.1,0.05,AP,T2,0.15,7,1.48147,7
AF_rr0.1,0.05,AP,T2,0.15,10,1.45515,7
AF_rr0.1,0.05,AP,T2,0.15,13,1.43453,13
AF_rr0.1,0.05,AP,T2,0.2,1,1.89879,1
AF_rr0.1,0.05,AP,T2,0.2,3,1.57227,3
AF_rr0.1,0.05,AP,T2,0.2,5,1.50279,5
AF_rr0.1,0.05,AP,T2,0.2,7,1.4634,7
AF_rr0.1,0.05,AP,T2,0.2,10,1.43624,13
AF_rr0.1,0.05,AP,T2,0.2,13,1.42632,13
AF_rr0.1,0.05,AP,T2,0.25,1,1.89922,1
AF_rr0.1,0.05,AP,T2,0.25,3,1.56826,5
AF_rr0.1,0.05,AP,T2,0.25,5,1.48988,5
AF_rr0.1,0.05,AP,T2,0.25,7,1.45554,7
AF_rr0.1,0.05,AP,T2,0.25,10,1.43797,10
AF_rr0.1,0.05,AP,T2,0.25,13,1.41455,
AF_rr0.1,0.05,AP,Tv,0.1,1,1.50904,1
AF_rr0.1,0.05,AP,Tv,0.1,3,1.15175,3
AF_rr0.1,0.05,AP,Tv,0.1,5,1.0495,5
AF_rr0.1,0.05,AP,Tv,0.1,7,0.988711,5
AF_rr0.1,0.05,AP,Tv,0.1,10,0.943477,7
AF_rr0.1,0.05,AP,Tv,0.1,13,0.903901,7
AF_rr0.1,0.05,AP,Tv,0.15,1,1.50316,3
AF_rr0.1,0.05,AP,Tv,0.15,3,1.12202,3
AF_rr0.1,0.05,AP,Tv,0.15,5,1.00741,5
AF_rr0.1,0.05,AP,Tv,0.15,7,0.953205,5
AF_rr0.1,0.05,AP,Tv,0.15,10,0.905151,7
AF_rr0.1,0.05,AP,Tv,0.15,13,0.876675,10
AF_rr0.1,0.05,AP,Tv,0.2,1,1.51337,1
AF_rr0.1,0.05,AP,Tv,0.2,3,1.09223,3
AF_rr0.1,0.05,AP,Tv,0.2,5,0.982943,5
AF_rr0.1,0.05,AP,Tv,0.2,7,0.927435,7
AF_rr0.1,0.05,AP,Tv,0.2,10,0.880072,10
AF_rr0.1,0.05,AP,Tv,0.2,13,0.855832,13
AF_rr0.1,0.05,AP,Tv,0.25,1,1.50776,1
AF_rr0.1,0.05,AP,Tv,0.25,3,1.07871,3
AF_rr0.1,0.05,AP,Tv,0.25,5,0.966054,5
AF_rr0.1,0.05,AP,Tv,0.25,7,0.909358,7
AF_rr0.1,0.05,AP,Tv,0.25,10,0.869841,10
AF_rr0.1,0.05,AP,Tv,0.25,13,0.846633,13
AF_rr0.1,0.05,SL,T1,0.1,1,1.63054,3
AF_rr0.1,0.05,SL,T1,0.1,3,1.36486,3
AF_rr0.1,0.05,SL,T1,0.1,5,1.29932,5
AF_rr0.1,0.05,SL,T1,0.1,7,1.26843,7
AF_rr0.1,0.05,SL,T1,0.1,10,1.24118,7
AF_rr0.1,0.05,SL,T1,0.1,13,1.22789,10
AF_rr0.1,0.05,SL,T1,0.15,1,1.62248,3
AF_rr0.1,0.05,SL,T1,0.15,3,1.36178,3
AF_rr0.1,0.05,SL,T1,0.15,5,1.28851,5
AF_rr0.1,0.05,SL,T1,0.15,7,1.25258,7
AF_rr0.1,0.05,SL,T1,0.15,10,1.22593,10
AF_rr0.1,0.05,SL,T1,0.15,13,1.21069,13
AF_rr0.1,0.05,SL,T1,0.2,1,1.61839,3
AF_rr0.1,0.05,SL,T1,0.2,3,1.34612,3
AF_rr0.1,0.05,SL,T1,0.2,5,1.27642,5
AF_rr0.1,0.05,SL,T1,0.2,7,1.24092,7
AF_rr0.1,0.05,SL,T1,0.2,10,1.20954,13
AF_rr0.1,0.05,SL,T1,0.2,13,1.20895,13
AF_rr0.1,0.05,SL,T1,0.25,1,1.62524,3
AF_rr0.1,0.05,SL,T1,0.25,3,1.33124,5
AF_rr0.1,0.05,SL,T1,0.25,5,1.26732,7
AF_rr0.1,0.05,SL,T1,0.25,7,1.23339,10
AF_rr0.1,0.05,SL,T1,0.25,10,1.21247,13
AF_rr0.1,0.05,SL,T1,0.25,13,1.19434,
AF_rr0.1,0.05,SL,T2,0.1,1,1.55103,3
AF_rr0.1,0.05,SL,T2,0.1,3,1.29344,3
AF_rr0.1,0.05,SL,T2,0.1,5,1.23013,5
AF_rr0.1,0.05,SL,T2,0.1,7,1.19648,5
AF_rr0.1,0.05,SL,T2,0.1,10,1.16441,7
AF_rr0.1,0.05,SL,T2,0.1,13,1.14216,7
AF_rr0.1,0.05,SL,T2,0.15,1,1.54681,3
AF_rr0.1,0.05,SL,T2,0.15,3,1.29064,3
AF_rr0.1,0.05,SL,T2,0.15,5,1.21305,5
AF_rr0.1,0.05,SL,T2,0.15,7,1.17633,5
AF_rr0.1,0.05,SL,T2,0.15,10,1.14757,7
AF_rr0.1,0.05,SL,T2,0.15,13,1.13086,10
AF_rr0.1,0.05,SL,T2,0.2,1,1.54452,3
AF_rr0.1,0.05,SL,T2,0.2,3,1.26541,3
AF_rr0.1,0.05,SL,T2,0.2,5,1.19795,5
AF_rr0.1,0.05,SL,T2,0.2,7,1.15844,7
AF_rr0.1,0.05,SL,T2,0.2,10,1.1306,10
AF_rr0.1,0.05,SL,T2,0.2,13,1.11996,10
AF_rr0.1,0.05,SL,T2,0.25,1,1.55227,3
AF_rr0.1,0.05,SL,T2,0.25,3,1.25393,3
AF_rr0.1,0.05,SL,T2,0.25,5,1.18047,5
AF_rr0.1,0.05,SL,T2,0.25,7,1.14346,7
AF_rr0.1,0.05,SL,T2,0.25,10,1.12239,10
AF_rr0.1,0.05,SL,T2,0.25,13,1.10478,13
AF_rr0.1,0.05,SL,Tv,0.1,1,1.36242,3
AF_rr0.1,0.05,SL,Tv,0.1,3,1.06634,3
AF_rr0.1,0.05,SL,Tv,0.1,5,0.988319,5
AF_rr0.1,0.05,SL,Tv,0.1,7,0.945312,5
AF_rr0.1,0.05,SL,Tv,0.1,10,0.907509,7
AF_rr0.1,0.05,SL,Tv,0.1,13,0.86324,7
AF_rr0.1,0.05,SL,Tv,0.15,1,1.36237,3
AF_rr0.1,0.05,SL,Tv,0.15,3,1.05573,3
AF_rr0.1,0.05,SL,Tv,0.15,5,0.965144,5
AF_rr0.1,0.05,SL,Tv,0.15,7,0.920926,5
AF_rr0.1,0.05,SL,Tv,0.15,10,0.882877,7
AF_rr0.1,0.05,SL,Tv,0.15,13,0.860647,7
AF_rr0.1,0.05,SL,Tv,0.2,1,1.35971,3
AF_rr0.1,0.05,SL,Tv,0.2,3,1.03579,3
AF_rr0.1,0.05,SL,Tv,0.2,5,0.947453,5
AF_rr0.1,0.05,SL,Tv,0.2,7,0.900145,7
AF_rr0.1,0.05,SL,Tv,0.2,10,0.863011,7
AF_rr0.1,0.05,SL,Tv,0.2,13,0.843525,10
AF_rr0.1,0.05,SL,Tv,0.25,1,1.36054,3
AF_rr0.1,0.05,SL,Tv,0.25,3,1.01704,3
AF_rr0.1,0.05,SL,Tv,0.25,5,0.929118,5
AF_rr0.1,0.05,SL,Tv,0.25,7,0.881626,7
AF_rr0.1,0.05,SL,Tv,0.25,10,0.847131,10
AF_rr0.1,0.05,SL,Tv,0.25,13,0.829767,13
AF_rr0.1,0.1,AP,T1,0.1,1,2.26116,3
AF_rr0.1,0.1,AP,T1,0.1,3,1.89721,3
AF_rr0.1,0.1,AP,T1,0.1,5,1.80256,5
AF_rr0.1,0.1,AP,T1,0.1,7,1.74232,5
AF_rr0.1,0.1,AP,T1,0.1,10,1.70886,7
AF_rr0.1,0.1,AP,T1,0.1,13,1.67513,7
AF_rr0.1,0.1,AP,T1,0.15,1,2.25583,3
AF_rr0.1,0.1,AP,T1,0.15,3,1.88304,3
AF_rr0.1,0.1,AP,T1,0.15,5,1.77901,5
AF_rr0.1,0.1,AP,T1,0.15,7,1.72344,5
AF_rr0.1,0.1,AP,T1,0.15,10,1.68171,7
AF_rr0.1,0.1,AP,T1,0.15,13,1.65856,10
AF_rr0.1,0.1,AP,T1,0.2,1,2.26093,3
AF_rr0.1,0.1,AP,T1,0.2,3,1.86269,3
AF_rr0.1,0.1,AP,T1,0.2,5,1.74669,5
AF_rr0.1,0.1,AP,T1,0.2,7,1.70417,7
AF_rr0.1,0.1,AP,T1,0.2,10,1.65805,10
AF_rr0.1,0.1,AP,T1,0.2,13,1.64149,10
AF_rr0.1,0.1,AP,T1,0.25,1,2.26733,3
AF_rr0.1,0.1,AP,T1,0.25,3,1.83821,3
AF_rr0.1,0.1,AP,T1,0.25,5,1.74006,5
AF_rr0.1,0.1,AP,T1,0.25,7,1.68407,7
AF_rr0.1,0.1,AP,T1,0.25,10,1.64332,10
AF_rr0.1,0.1,AP,T1,0.25,13,1.62834,13
AF_rr0.1,0.1,AP,T2,0.1,1,2.13953,3
AF_rr0.1,0.1,AP,T2,0.1,3,1.76696,3
AF_rr0.1,0.1,AP,T2,0.1,5,1.66316,5
