rhythm_state,p_beat_cv,W,p_N_beats,p_data_mode,axis,estimator,subset,estimand,metric,value,mcse,n
AF_rr0.1,0.05,0,1,prospective,AP,A1,accepted,T1,bias_mm,-0.349741,0.00631991,100000
AF_rr0.1,0.05,0,1,prospective,AP,A1,accepted,T1,relbias_pct,-3.20214,0.0621243,100000
AF_rr0.1,0.05,0,1,prospective,AP,A1,accepted,T1,rmse_mm,2.02889,0.0059905,100000
AF_rr0.1,0.05,0,1,prospective,AP,A1,accepted,T1,sd_err_mm,1.99853,0.00446887,100000
AF_rr0.1,0.05,0,1,prospective,AP,A1,accepted,T2,bias_mm,0.0760015,0.00595656,100000
AF_rr0.1,0.05,0,1,prospective,AP,A1,accepted,T2,relbias_pct,0.752548,0.0621756,100000
AF_rr0.1,0.05,0,1,prospective,AP,A1,accepted,T2,rmse_mm,1.88515,0.00549562,100000
AF_rr0.1,0.05,0,1,prospective,AP,A1,accepted,T2,sd_err_mm,1.88363,0.00421195,100000
AF_rr0.1,0.05,0,1,prospective,AP,A1,accepted,Tv,bias_mm,0.0298788,0.00475732,100000
AF_rr0.1,0.05,0,1,prospective,AP,A1,accepted,Tv,relbias_pct,0.30053,0.0538504,100000
AF_rr0.1,0.05,0,1,prospective,AP,A1,accepted,Tv,rmse_mm,1.50469,0.00362662,100000
AF_rr0.1,0.05,0,1,prospective,AP,A1,accepted,Tv,sd_err_mm,1.5044,0.00336395,100000
AF_rr0.1,0.05,0,1,prospective,AP,A1,all,T1,bias_mm,-0.349741,0.00631991,100000
AF_rr0.1,0.05,0,1,prospective,AP,A1,all,T1,relbias_pct,-3.20214,0.0621243,100000
AF_rr0.1,0.05,0,1,prospective,AP,A1,all,T1,rmse_mm,2.02889,0.0059905,100000
AF_rr0.1,0.05,0,1,prospective,AP,A1,all,T1,sd_err_mm,1.99853,0.00446887,100000
AF_rr0.1,0.05,0,1,prospective,AP,A1,all,T2,bias_mm,0.0760015,0.00595656,100000
AF_rr0.1,0.05,0,1,prospective,AP,A1,all,T2,relbias_pct,0.752548,0.0621756,100000
AF_rr0.1,0.05,0,1,prospective,AP,A1,all,T2,rmse_mm,1.88515,0.00549562,100000
AF_rr0.1,0.05,0,1,prospective,AP,A1,all,T2,sd_err_mm,1.88363,0.00421195,100000
AF_rr0.1,0.05,0,1,prospective,AP,A1,all,Tv,bias_mm,0.0298788,0.00475732,100000
AF_rr0.1,0.05,0,1,prospective,AP,A1,all,Tv,relbias_pct,0.30053,0.0538504,100000
AF_rr0.1,0.05,0,1,prospective,AP,A1,all,Tv,rmse_mm,1.50469,0.00362662,100000
AF_rr0.1,0.05,0,1,prospective,AP,A1,all,Tv,sd_err_mm,1.5044,0.00336395,100000
AF_rr0.1,0.05,0,1,prospective,AP,A6,accepted,T1,bias_mm,-0.349741,0.00631991,100000
AF_rr0.1,0.05,0,1,prospective,AP,A6,accepted,T1,relbias_pct,-3.20214,0.0621243,100000
AF_rr0.1,0.05,0,1,prospective,AP,A6,accepted,T1,rmse_mm,2.02889,0.0059905,100000
AF_rr0.1,0.05,0,1,prospective,AP,A6,accepted,T1,sd_err_mm,1.99853,0.00446887,100000
AF_rr0.1,0.05,0,1,prospective,AP,A6,accepted,T2,bias_mm,0.0760015,0.00595656,100000
AF_rr0.1,0.05,0,1,prospective,AP,A6,accepted,T2,relbias_pct,0.752548,0.0621756,100000
AF_rr0.1,0.05,0,1,prospective,AP,A6,accepted,T2,rmse_mm,1.88515,0.00549562,100000
AF_rr0.1,0.05,0,1,prospective,AP,A6,accepted,T2,sd_err_mm,1.88363,0.00421195,100000
AF_rr0.1,0.05,0,1,prospective,AP,A6,accepted,Tv,bias_mm,0.0298788,0.00475732,100000
AF_rr0.1,0.05,0,1,prospective,AP,A6,accepted,Tv,relbias_pct,0.30053,0.0538504,100000
AF_rr0.1,0.05,0,1,prospective,AP,A6,accepted,Tv,rmse_mm,1.50469,0.00362662,100000
AF_rr0.1,0.05,0,1,prospective,AP,A6,accepted,Tv,sd_err_mm,1.5044,0.00336395,100000
AF_rr0.1,0.05,0,1,prospective,AP,A6,all,T1,bias_mm,-0.349741,0.00631991,100000
AF_rr0.1,0.05,0,1,prospective,AP,A6,all,T1,relbias_pct,-3.20214,0.0621243,100000
AF_rr0.1,0.05,0,1,prospective,AP,A6,all,T1,rmse_mm,2.02889,0.0059905,100000
AF_rr0.1,0.05,0,1,prospective,AP,A6,all,T1,sd_err_mm,1.99853,0.00446887,100000
AF_rr0.1,0.05,0,1,prospective,AP,A6,all,T2,bias_mm,0.0760015,0.00595656,100000
AF_rr0.1,0.05,0,1,prospective,AP,A6,all,T2,relbias_pct,0.752548,0.0621756,100000
AF_rr0.1,0.05,0,1,prospective,AP,A6,all,T2,rmse_mm,1.88515,0.00549562,100000
AF_rr0.1,0.05,0,1,prospective,AP,A6,all,T2,sd_err_mm,1.88363,0.00421195,100000
AF_rr0.1,0.05,0,1,prospective,AP,A6,all,Tv,bias_mm,0.0298788,0.00475732,100000
AF_rr0.1,0.05,0,1,prospective,AP,A6,all,Tv,relbias_pct,0.30053,0.0538504,100000
AF_rr0.1,0.05,0,1,prospective,AP,A6,all,Tv,rmse_mm,1.50469,0.00362662,100000
AF_rr0.1,0.05,0,1,prospective,AP,A6,all,Tv,sd_err_mm,1.5044,0.00336395,100000
AF_rr0.1,0.05,0,1,prospective,SL,A1,accepted,T1,bias_mm,-0.224137,0.00511293,100000
AF_rr0.1,0.05,0,1,prospective,SL,A1,accepted,T1,relbias_pct,-3.21021,0.0865144,100000
AF_rr0.1,0.05,0,1,prospective,SL,A1,accepted,T1,rmse_mm,1.6323,0.00419013,100000
AF_rr0.1,0.05,0,1,prospective,SL,A1,accepted,T1,sd_err_mm,1.61685,0.0036154,100000
AF_rr0.1,0.05,0,1,prospective,SL,A1,accepted,T2,bias_mm,0.0498294,0.00492556,100000
AF_rr0.1,0.05,0,1,prospective,SL,A1,accepted,T2,relbias_pct,0.744919,0.0883976,100000
AF_rr0.1,0.05,0,1,prospective,SL,A1,accepted,T2,rmse_mm,1.55839,0.00390218,100000
AF_rr0.1,0.05,0,1,prospective,SL,A1,accepted,T2,sd_err_mm,1.5576,0.00348291,100000
AF_rr0.1,0.05,0,1,prospective,SL,A1,accepted,Tv,bias_mm,0.020719,0.0043324,100000
AF_rr0.1,0.05,0,1,prospective,SL,A1,accepted,Tv,relbias_pct,0.28245,0.0831377,100000
AF_rr0.1,0.05,0,1,prospective,SL,A1,accepted,Tv,rmse_mm,1.37018,0.003148,100000
AF_rr0.1,0.05,0,1,prospective,SL,A1,accepted,Tv,sd_err_mm,1.37003,0.00306349,100000
AF_rr0.1,0.05,0,1,prospective,SL,A1,all,T1,bias_mm,-0.224137,0.00511293,100000
AF_rr0.1,0.05,0,1,prospective,SL,A1,all,T1,relbias_pct,-3.21021,0.0865144,100000
AF_rr0.1,0.05,0,1,prospective,SL,A1,all,T1,rmse_mm,1.6323,0.00419013,100000
AF_rr0.1,0.05,0,1,prospective,SL,A1,all,T1,sd_err_mm,1.61685,0.0036154,100000
AF_rr0.1,0.05,0,1,prospective,SL,A1,all,T2,bias_mm,0.0498294,0.00492556,100000
AF_rr0.1,0.05,0,1,prospective,SL,A1,all,T2,relbias_pct,0.744919,0.0883976,100000
AF_rr0.1,0.05,0,1,prospective,SL,A1,all,T2,rmse_mm,1.55839,0.00390218,100000
AF_rr0.1,0.05,0,1,prospective,SL,A1,all,T2,sd_err_mm,1.5576,0.00348291,100000
AF_rr0.1,0.05,0,1,prospective,SL,A1,all,Tv,bias_mm,0.020719,0.0043324,100000
AF_rr0.1,0.05,0,1,prospective,SL,A1,all,Tv,relbias_pct,0.28245,0.0831377,100000
AF_rr0.1,0.05,0,1,prospective,SL,A1,all,Tv,rmse_mm,1.37018,0.003148,100000
AF_rr0.1,0.05,0,1,prospective,SL,A1,all,Tv,sd_err_mm,1.37003,0.00306349,100000
AF_rr0.1,0.05,0,1,prospective,SL,A6,accepted,T1,bias_mm,-0.224137,0.00511293,100000
AF_rr0.1,0.05,0,1,prospective,SL,A6,accepted,T1,relbias_pct,-3.21021,0.0865144,100000
AF_rr0.1,0.05,0,1,prospective,SL,A6,accepted,T1,rmse_mm,1.6323,0.00419013,100000
AF_rr0.1,0.05,0,1,prospective,SL,A6,accepted,T1,sd_err_mm,1.61685,0.0036154,100000
AF_rr0.1,0.05,0,1,prospective,SL,A6,accepted,T2,bias_mm,0.0498294,0.00492556,100000
