name,table,selector,value,mcse,lo95,hi95
p_met_first_N sinus N3 W0.1,results/2026-09-18_full/analysis/E2_window_met.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=sinus; p_N_beats=3; W=0.1,0.21275,0.00129417,0.210213,0.215287
p_met_first_N sinus N3 W0.15,results/2026-09-18_full/analysis/E2_window_met.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=sinus; p_N_beats=3; W=0.15,0.41789,0.00155967,0.414833,0.420947
p_met_first_N sinus N3 W0.2,results/2026-09-18_full/analysis/E2_window_met.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=sinus; p_N_beats=3; W=0.2,0.60568,0.00154542,0.602651,0.608709
p_met_first_N sinus N3 W0.25,results/2026-09-18_full/analysis/E2_window_met.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=sinus; p_N_beats=3; W=0.25,0.75477,0.00136049,0.752103,0.757437
p_met_first_N sinus N5 W0.1,results/2026-09-18_full/analysis/E2_window_met.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=sinus; p_N_beats=5; W=0.1,0.0406,0.000624112,0.0393767,0.0418233
p_met_first_N sinus N5 W0.15,results/2026-09-18_full/analysis/E2_window_met.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=sinus; p_N_beats=5; W=0.15,0.15158,0.00113403,0.149357,0.153803
p_met_first_N sinus N5 W0.2,results/2026-09-18_full/analysis/E2_window_met.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=sinus; p_N_beats=5; W=0.2,0.32939,0.00148624,0.326477,0.332303
p_met_first_N sinus N5 W0.25,results/2026-09-18_full/analysis/E2_window_met.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=sinus; p_N_beats=5; W=0.25,0.52668,0.00157889,0.523585,0.529775
p_met_first_N SL sinus N3 W0.15,results/2026-09-18_full/analysis/E2_window_met.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=SL; rhythm_state=sinus; p_N_beats=3; W=0.15,0.3126,0.00146588,0.309727,0.315473
beats_acquired sinus N3 W0.0,results/2026-09-18_full/analysis/E2_beats_acquired.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=sinus; p_N_beats=3; W=0.0,3,0,3,3
beats_acquired sinus N3 W0.15,results/2026-09-18_full/analysis/E2_beats_acquired.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=sinus; p_N_beats=3; W=0.15,3.9011,0.00306328,3.8951,3.9071
p_met_first_N SL sinus N5 W0.15,results/2026-09-18_full/analysis/E2_window_met.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=SL; rhythm_state=sinus; p_N_beats=5; W=0.15,0.09357,0.000920949,0.0917649,0.0953751
beats_acquired sinus N5 W0.0,results/2026-09-18_full/analysis/E2_beats_acquired.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=sinus; p_N_beats=5; W=0.0,5,0,5,5
beats_acquired sinus N5 W0.15,results/2026-09-18_full/analysis/E2_beats_acquired.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=sinus; p_N_beats=5; W=0.15,7.11719,0.00523212,7.10694,7.12744
A1 rmse_mm vs T1 sinus N3 W0.0,results/2026-09-18_full/analysis/E2_error.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=sinus; p_N_beats=3; W=0.0; estimator=A1; subset=all; estimand=T1; metric=rmse_mm,1.94244,0.00627396,1.93015,1.95474
A1 bias_mm vs T1 sinus N3 W0.0,results/2026-09-18_full/analysis/E2_error.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=sinus; p_N_beats=3; W=0.0; estimator=A1; subset=all; estimand=T1; metric=bias_mm,-0.260543,0.00608707,-0.272474,-0.248612
A1 relbias_pct vs T1 sinus N3 W0.0,results/2026-09-18_full/analysis/E2_error.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=sinus; p_N_beats=3; W=0.0; estimator=A1; subset=all; estimand=T1; metric=relbias_pct,-2.39713,0.0570924,-2.50903,-2.28523
A6 rmse_mm vs T1 sinus N3 W0.0,results/2026-09-18_full/analysis/E2_error.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=sinus; p_N_beats=3; W=0.0; estimator=A6; subset=all; estimand=T1; metric=rmse_mm,2.54109,0.00797931,2.52545,2.55673
A1 rmse_mm vs T1 sinus N3 W0.15,results/2026-09-18_full/analysis/E2_error.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=sinus; p_N_beats=3; W=0.15; estimator=A1; subset=all; estimand=T1; metric=rmse_mm,2.04082,0.00654564,2.02799,2.05365
A1 bias_mm vs T1 sinus N3 W0.15,results/2026-09-18_full/analysis/E2_error.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=sinus; p_N_beats=3; W=0.15; estimator=A1; subset=all; estimand=T1; metric=bias_mm,-0.214021,0.00641809,-0.2266,-0.201442
A1 relbias_pct vs T1 sinus N3 W0.15,results/2026-09-18_full/analysis/E2_error.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=sinus; p_N_beats=3; W=0.15; estimator=A1; subset=all; estimand=T1; metric=relbias_pct,-1.71359,0.060197,-1.83158,-1.59561
A6 rmse_mm vs T1 sinus N3 W0.15,results/2026-09-18_full/analysis/E2_error.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=sinus; p_N_beats=3; W=0.15; estimator=A6; subset=all; estimand=T1; metric=rmse_mm,2.45674,0.00791351,2.44123,2.47225
window effect (W0.15 - none) A1 rmse_mm vs T1 sinus N3,results/2026-09-18_full/analysis/E2_window_effect.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=sinus; p_N_beats=3; W=0.15; estimator=A1; estimand=T1; metric=rmse_mm,0.0983771,0.00906686,0.0806061,0.116148
window effect (W0.15 - none) A1 bias_mm vs T1 sinus N3,results/2026-09-18_full/analysis/E2_window_effect.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=sinus; p_N_beats=3; W=0.15; estimator=A1; estimand=T1; metric=bias_mm,0.0465219,0.00884558,0.0291845,0.0638592
window effect (W0.15 - none) A1 relbias_pct vs T1 sinus N3,results/2026-09-18_full/analysis/E2_window_effect.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=sinus; p_N_beats=3; W=0.15; estimator=A1; estimand=T1; metric=relbias_pct,0.68354,0.0829652,0.520929,0.846152
A1 rmse_mm vs Tv sinus N3 W0.0,results/2026-09-18_full/analysis/E2_error.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=sinus; p_N_beats=3; W=0.0; estimator=A1; subset=all; estimand=Tv; metric=rmse_mm,1.38769,0.00384933,1.38015,1.39524
A1 bias_mm vs Tv sinus N3 W0.0,results/2026-09-18_full/analysis/E2_error.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=sinus; p_N_beats=3; W=0.0; estimator=A1; subset=all; estimand=Tv; metric=bias_mm,0.116101,0.00437291,0.10753,0.124672
A1 relbias_pct vs Tv sinus N3 W0.0,results/2026-09-18_full/analysis/E2_error.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=sinus; p_N_beats=3; W=0.0; estimator=A1; subset=all; estimand=Tv; metric=relbias_pct,1.11496,0.0464155,1.02398,1.20593
A6 rmse_mm vs Tv sinus N3 W0.0,results/2026-09-18_full/analysis/E2_error.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=sinus; p_N_beats=3; W=0.0; estimator=A6; subset=all; estimand=Tv; metric=rmse_mm,2.14804,0.00651754,2.13526,2.16081
A1 rmse_mm vs Tv sinus N3 W0.15,results/2026-09-18_full/analysis/E2_error.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=sinus; p_N_beats=3; W=0.15; estimator=A1; subset=all; estimand=Tv; metric=rmse_mm,1.54263,0.00422589,1.53434,1.55091
A1 bias_mm vs Tv sinus N3 W0.15,results/2026-09-18_full/analysis/E2_error.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=sinus; p_N_beats=3; W=0.15; estimator=A1; subset=all; estimand=Tv; metric=bias_mm,0.161091,0.00485156,0.151582,0.1706
A1 relbias_pct vs Tv sinus N3 W0.15,results/2026-09-18_full/analysis/E2_error.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=sinus; p_N_beats=3; W=0.15; estimator=A1; subset=all; estimand=Tv; metric=relbias_pct,1.82707,0.0507954,1.72751,1.92663
A6 rmse_mm vs Tv sinus N3 W0.15,results/2026-09-18_full/analysis/E2_error.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=sinus; p_N_beats=3; W=0.15; estimator=A6; subset=all; estimand=Tv; metric=rmse_mm,2.05654,0.00624309,2.0443,2.06878
window effect (W0.15 - none) A1 rmse_mm vs Tv sinus N3,results/2026-09-18_full/analysis/E2_window_effect.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=sinus; p_N_beats=3; W=0.15; estimator=A1; estimand=Tv; metric=rmse_mm,0.154931,0.00571625,0.143727,0.166135
window effect (W0.15 - none) A1 bias_mm vs Tv sinus N3,results/2026-09-18_full/analysis/E2_window_effect.csv,p_beat_cv=0.15; p_data_mode=prospective; axis=AP; rhythm_state=sinus; p_N_beats=3; W=0.15; estimator=A1; estimand=Tv; metric=bias_mm,0.0449903,0.00653147,0.0321886,0.057792
