rhythm_state,p_beat_cv,W,p_N_beats,p_data_mode,axis,value,mcse,n
AF_rr0.1,0.05,0,1,prospective,AP,0,0,100000
AF_rr0.1,0.05,0,1,prospective,SL,0,0,100000
AF_rr0.1,0.05,0,1,retrospective,AP,0,0,100000
AF_rr0.1,0.05,0,1,retrospective,SL,0,0,100000
AF_rr0.1,0.05,0,3,prospective,AP,0,0,100000
AF_rr0.1,0.05,0,3,prospective,SL,0,0,100000
AF_rr0.1,0.05,0,3,retrospective,AP,0.22236,0.00131498,100000
AF_rr0.1,0.05,0,3,retrospective,SL,0.22236,0.00131498,100000
AF_rr0.1,0.05,0,5,prospective,AP,0,0,100000
AF_rr0.1,0.05,0,5,prospective,SL,0,0,100000
AF_rr0.1,0.05,0,5,retrospective,AP,0.62209,0.00153328,100000
AF_rr0.1,0.05,0,5,retrospective,SL,0.62209,0.00153328,100000
AF_rr0.1,0.05,0,7,prospective,AP,0,0,100000
AF_rr0.1,0.05,0,7,prospective,SL,0,0,100000
AF_rr0.1,0.05,0,7,retrospective,AP,0.88794,0.00099751,100000
AF_rr0.1,0.05,0,7,retrospective,SL,0.88794,0.00099751,100000
AF_rr0.1,0.05,0,10,prospective,AP,0,0,100000
AF_rr0.1,0.05,0,10,prospective,SL,0,0,100000
AF_rr0.1,0.05,0,10,retrospective,AP,0.99165,0.000287755,100000
AF_rr0.1,0.05,0,10,retrospective,SL,0.99165,0.000287755,100000
AF_rr0.1,0.05,0,13,prospective,AP,0,0,100000
AF_rr0.1,0.05,0,13,prospective,SL,0,0,100000
AF_rr0.1,0.05,0,13,retrospective,AP,0.9997,5.4764e-05,100000
AF_rr0.1,0.05,0,13,retrospective,SL,0.9997,5.4764e-05,100000
AF_rr0.1,0.05,0.1,1,prospective,AP,0,0,100000
AF_rr0.1,0.05,0.1,1,prospective,SL,0,0,100000
AF_rr0.1,0.05,0.1,1,retrospective,AP,0,0,100000
AF_rr0.1,0.05,0.1,1,retrospective,SL,0,0,100000
AF_rr0.1,0.05,0.1,3,prospective,AP,0,0,100000
AF_rr0.1,0.05,0.1,3,prospective,SL,0,0,100000
AF_rr0.1,0.05,0.1,3,retrospective,AP,0.41568,0.00155849,100000
AF_rr0.1,0.05,0.1,3,retrospective,SL,0.52114,0.00157972,100000
AF_rr0.1,0.05,0.1,5,prospective,AP,3e-05,1.73202e-05,100000
AF_rr0.1,0.05,0.1,5,prospective,SL,0.00115,0.000107176,100000
AF_rr0.1,0.05,0.1,5,retrospective,AP,0.85544,0.00111204,100000
AF_rr0.1,0.05,0.1,5,retrospective,SL,0.91505,0.000881666,100000
AF_rr0.1,0.05,0.1,7,prospective,AP,0.00055,7.41416e-05,100000
AF_rr0.1,0.05,0.1,7,prospective,SL,0.01119,0.000332638,100000
AF_rr0.1,0.05,0.1,7,retrospective,AP,0.97987,0.000444126,100000
AF_rr0.1,0.05,0.1,7,retrospective,SL,0.99141,0.000291825,100000
AF_rr0.1,0.05,0.1,10,prospective,AP,0.01117,0.000332344,100000
AF_rr0.1,0.05,0.1,10,prospective,SL,0.0896,0.000903171,100000
AF_rr0.1,0.05,0.1,10,retrospective,AP,0.99945,7.41416e-05,100000
AF_rr0.1,0.05,0.1,10,retrospective,SL,0.99984,3.99968e-05,100000
AF_rr0.1,0.05,0.1,13,prospective,AP,0.07414,0.000828512,100000
AF_rr0.1,0.05,0.1,13,prospective,SL,0.29835,0.00144685,100000
AF_rr0.1,0.05,0.1,13,retrospective,AP,1,0,100000
AF_rr0.1,0.05,0.1,13,retrospective,SL,1,0,100000
AF_rr0.1,0.05,0.15,1,prospective,AP,0,0,100000
AF_rr0.1,0.05,0.15,1,prospective,SL,0,0,100000
AF_rr0.1,0.05,0.15,1,retrospective,AP,0,0,100000
AF_rr0.1,0.05,0.15,1,retrospective,SL,0,0,100000
AF_rr0.1,0.05,0.15,3,prospective,AP,0,0,100000
AF_rr0.1,0.05,0.15,3,prospective,SL,0,0,100000
AF_rr0.1,0.05,0.15,3,retrospective,AP,0.31917,0.00147411,100000
AF_rr0.1,0.05,0.15,3,retrospective,SL,0.40657,0.00155329,100000
AF_rr0.1,0.05,0.15,5,prospective,AP,0,0,100000
AF_rr0.1,0.05,0.15,5,prospective,SL,0.00019,4.35848e-05,100000
AF_rr0.1,0.05,0.15,5,retrospective,AP,0.757,0.00135629,100000
AF_rr0.1,0.05,0.15,5,retrospective,SL,0.83483,0.00117426,100000
AF_rr0.1,0.05,0.15,7,prospective,AP,6e-05,2.44942e-05,100000
AF_rr0.1,0.05,0.15,7,prospective,SL,0.0023,0.000151483,100000
AF_rr0.1,0.05,0.15,7,retrospective,AP,0.95108,0.000682106,100000
AF_rr0.1,0.05,0.15,7,retrospective,SL,0.97435,0.000499921,100000
AF_rr0.1,0.05,0.15,10,prospective,AP,0.00133,0.000115249,100000
AF_rr0.1,0.05,0.15,10,prospective,SL,0.02016,0.00044445,100000
AF_rr0.1,0.05,0.15,10,retrospective,AP,0.9982,0.000134043,100000
AF_rr0.1,0.05,0.15,10,retrospective,SL,0.99918,9.05167e-05,100000
AF_rr0.1,0.05,0.15,13,prospective,AP,0.0102,0.000317741,100000
AF_rr0.1,0.05,0.15,13,prospective,SL,0.08683,0.000890452,100000
AF_rr0.1,0.05,0.15,13,retrospective,AP,0.99994,2.44942e-05,100000
AF_rr0.1,0.05,0.15,13,retrospective,SL,0.99999,9.99995e-06,100000
AF_rr0.1,0.05,0.2,1,prospective,AP,0,0,100000
AF_rr0.1,0.05,0.2,1,prospective,SL,0,0,100000
AF_rr0.1,0.05,0.2,1,retrospective,AP,0,0,100000
AF_rr0.1,0.05,0.2,1,retrospective,SL,0,0,100000
AF_rr0.1,0.05,0.2,3,prospective,AP,0,0,100000
AF_rr0.1,0.05,0.2,3,prospective,SL,0,0,100000
AF_rr0.1,0.05,0.2,3,retrospective,AP,0.27158,0.0014065,100000
AF_rr0.1,0.05,0.2,3,retrospective,SL,0.33722,0.001495,100000
AF_rr0.1,0.05,0.2,5,prospective,AP,0,0,100000
AF_rr0.1,0.05,0.2,5,prospective,SL,5e-05,2.23601e-05,100000
AF_rr0.1,0.05,0.2,5,retrospective,AP,0.69372,0.00145764,100000
AF_rr0.1,0.05,0.2,5,retrospective,SL,0.76995,0.00133089,100000
AF_rr0.1,0.05,0.2,7,prospective,AP,4e-05,1.99996e-05,100000
AF_rr0.1,0.05,0.2,7,prospective,SL,0.0009,9.48256e-05,100000
AF_rr0.1,0.05,0.2,7,retrospective,AP,0.92559,0.000829898,100000
AF_rr0.1,0.05,0.2,7,retrospective,SL,0.95288,0.000670072,100000
AF_rr0.1,0.05,0.2,10,prospective,AP,0.00037,6.08164e-05,100000
AF_rr0.1,0.05,0.2,10,prospective,SL,0.00667,0.000257401,100000
AF_rr0.1,0.05,0.2,10,retrospective,AP,0.99587,0.000202804,100000
AF_rr0.1,0.05,0.2,10,retrospective,SL,0.99777,0.000149165,100000
