rhythm_state,p_beat_cv,p_N_beats,p_data_mode,axis,estimator,estimand,metric,W,v_win,se_win,v_none,se_none,diff,mcse_diff,lo95,hi95,ratio
AF_rr0.1,0.05,1,prospective,AP,A1,T1,bias_mm,0.1,-0.34003,0.00635385,-0.349741,0.00631991,0.00971055,0.00896173,-0.00785445,0.0272755,0.972235
AF_rr0.1,0.05,1,prospective,AP,A1,T1,bias_mm,0.15,-0.346645,0.00632989,-0.349741,0.00631991,0.00309539,0.00894476,-0.0144363,0.0206271,0.991149
AF_rr0.1,0.05,1,prospective,AP,A1,T1,bias_mm,0.2,-0.351986,0.00637198,-0.349741,0.00631991,-0.00224548,0.00897459,-0.0198357,0.0153447,1.00642
AF_rr0.1,0.05,1,prospective,AP,A1,T1,bias_mm,0.25,-0.345741,0.0063482,-0.349741,0.00631991,0.00399934,0.00895773,-0.0135578,0.0215565,0.988565
AF_rr0.1,0.05,1,prospective,AP,A1,T1,relbias_pct,0.1,-3.12904,0.0627968,-3.20214,0.0621243,0.0730991,0.0883338,-0.100035,0.246233,0.977172
AF_rr0.1,0.05,1,prospective,AP,A1,T1,relbias_pct,0.15,-3.13718,0.062503,-3.20214,0.0621243,0.0649537,0.0881252,-0.107772,0.237679,0.979716
AF_rr0.1,0.05,1,prospective,AP,A1,T1,relbias_pct,0.2,-3.2186,0.06279,-3.20214,0.0621243,-0.016464,0.088329,-0.189589,0.156661,1.00514
AF_rr0.1,0.05,1,prospective,AP,A1,T1,relbias_pct,0.25,-3.19988,0.0625572,-3.20214,0.0621243,0.00225639,0.0881637,-0.170544,0.175057,0.999295
AF_rr0.1,0.05,1,prospective,AP,A1,T1,rmse_mm,0.1,2.03782,0.00594417,2.02889,0.0059905,0.00893108,0.00843915,-0.00760965,0.0254718,1.0044
AF_rr0.1,0.05,1,prospective,AP,A1,T1,rmse_mm,0.15,2.03147,0.00590872,2.02889,0.0059905,0.00257913,0.00841422,-0.0139127,0.019071,1.00127
AF_rr0.1,0.05,1,prospective,AP,A1,T1,rmse_mm,0.2,2.0455,0.00602564,2.02889,0.0059905,0.0166058,0.00849673,-4.77999e-05,0.0332594,1.00818
AF_rr0.1,0.05,1,prospective,AP,A1,T1,rmse_mm,0.25,2.03702,0.00584568,2.02889,0.0059905,0.00813006,0.00837007,-0.00827527,0.0245354,1.00401
AF_rr0.1,0.05,1,prospective,AP,A1,T1,sd_err_mm,0.1,2.00926,0.00449287,1.99853,0.00446887,0.0107337,0.00633694,-0.00168665,0.0231541,1.00537
AF_rr0.1,0.05,1,prospective,AP,A1,T1,sd_err_mm,0.15,2.00169,0.00447593,1.99853,0.00446887,0.0031568,0.00632493,-0.00924007,0.0155537,1.00158
AF_rr0.1,0.05,1,prospective,AP,A1,T1,sd_err_mm,0.2,2.015,0.00450569,1.99853,0.00446887,0.0164652,0.00634603,0.00402695,0.0289034,1.00824
AF_rr0.1,0.05,1,prospective,AP,A1,T1,sd_err_mm,0.25,2.00748,0.00448888,1.99853,0.00446887,0.00894606,0.0063341,-0.00346878,0.0213609,1.00448
AF_rr0.1,0.05,1,prospective,AP,A1,T2,bias_mm,0.1,0.0855681,0.00597009,0.0760015,0.00595656,0.00956659,0.00843342,-0.00696292,0.0260961,1.12587
AF_rr0.1,0.05,1,prospective,AP,A1,T2,bias_mm,0.15,0.0812206,0.0059581,0.0760015,0.00595656,0.00521912,0.00842494,-0.0112938,0.021732,1.06867
AF_rr0.1,0.05,1,prospective,AP,A1,T2,bias_mm,0.2,0.0754722,0.0059998,0.0760015,0.00595656,-0.00052922,0.00845448,-0.0171,0.0160416,0.993037
AF_rr0.1,0.05,1,prospective,AP,A1,T2,bias_mm,0.25,0.0841048,0.00600001,0.0760015,0.00595656,0.0081033,0.00845463,-0.00846778,0.0246744,1.10662
AF_rr0.1,0.05,1,prospective,AP,A1,T2,relbias_pct,0.1,0.834265,0.0627608,0.752548,0.0621756,0.0817165,0.0883443,-0.0914384,0.254871,1.10859
AF_rr0.1,0.05,1,prospective,AP,A1,T2,relbias_pct,0.15,0.850629,0.0625405,0.752548,0.0621756,0.0980814,0.088188,-0.0747671,0.27093,1.13033
AF_rr0.1,0.05,1,prospective,AP,A1,T2,relbias_pct,0.2,0.762534,0.0628389,0.752548,0.0621756,0.00998564,0.0883998,-0.163278,0.183249,1.01327
AF_rr0.1,0.05,1,prospective,AP,A1,T2,relbias_pct,0.25,0.794497,0.0627014,0.752548,0.0621756,0.041949,0.0883022,-0.131123,0.215021,1.05574
AF_rr0.1,0.05,1,prospective,AP,A1,T2,rmse_mm,0.1,1.88984,0.00518159,1.88515,0.00549562,0.0046815,0.00755319,-0.0101228,0.0194858,1.00248
AF_rr0.1,0.05,1,prospective,AP,A1,T2,rmse_mm,0.15,1.88586,0.00524678,1.88515,0.00549562,0.000702879,0.00759806,-0.0141893,0.0155951,1.00037
AF_rr0.1,0.05,1,prospective,AP,A1,T2,rmse_mm,0.2,1.89879,0.00520684,1.88515,0.00549562,0.0136393,0.00757054,-0.00119895,0.0284776,1.00724
AF_rr0.1,0.05,1,prospective,AP,A1,T2,rmse_mm,0.25,1.89922,0.00530131,1.88515,0.00549562,0.0140687,0.00763582,-0.000897455,0.029035,1.00746
AF_rr0.1,0.05,1,prospective,AP,A1,T2,sd_err_mm,0.1,1.88791,0.00422151,1.88363,0.00421195,0.004276,0.00596336,-0.00741218,0.0159642,1.00227
AF_rr0.1,0.05,1,prospective,AP,A1,T2,sd_err_mm,0.15,1.88412,0.00421303,1.88363,0.00421195,0.000485707,0.00595736,-0.0111907,0.0121621,1.00026
AF_rr0.1,0.05,1,prospective,AP,A1,T2,sd_err_mm,0.2,1.8973,0.00424252,1.88363,0.00421195,0.0136715,0.00597825,0.00195415,0.0253889,1.00726
AF_rr0.1,0.05,1,prospective,AP,A1,T2,sd_err_mm,0.25,1.89737,0.00424267,1.88363,0.00421195,0.0137383,0.00597836,0.00202074,0.0254559,1.00729
AF_rr0.1,0.05,1,prospective,AP,A1,Tv,bias_mm,0.1,0.0335142,0.00477084,0.0298788,0.00475732,0.00363548,0.00673743,-0.00956989,0.0168408,1.12167
AF_rr0.1,0.05,1,prospective,AP,A1,Tv,bias_mm,0.15,0.0343301,0.00475221,0.0298788,0.00475732,0.00445133,0.00672425,-0.00872821,0.0176309,1.14898
AF_rr0.1,0.05,1,prospective,AP,A1,Tv,bias_mm,0.2,0.021936,0.00478522,0.0298788,0.00475732,-0.0079428,0.00674763,-0.0211682,0.00528255,0.734166
