rhythm_state,p_beat_cv,W,p_N_beats,p_data_mode,axis,value,mcse,n
AF_rr0.1,0.05,0,1,prospective,AP,1,0,100000
AF_rr0.1,0.05,0,1,prospective,SL,1,0,100000
AF_rr0.1,0.05,0,1,retrospective,AP,1,0,100000
AF_rr0.1,0.05,0,1,retrospective,SL,1,0,100000
AF_rr0.1,0.05,0,3,prospective,AP,1,0,100000
AF_rr0.1,0.05,0,3,prospective,SL,1,0,100000
AF_rr0.1,0.05,0,3,retrospective,AP,0.77764,0.00131498,100000
AF_rr0.1,0.05,0,3,retrospective,SL,0.77764,0.00131498,100000
AF_rr0.1,0.05,0,5,prospective,AP,1,0,100000
AF_rr0.1,0.05,0,5,prospective,SL,1,0,100000
AF_rr0.1,0.05,0,5,retrospective,AP,0.37791,0.00153328,100000
AF_rr0.1,0.05,0,5,retrospective,SL,0.37791,0.00153328,100000
AF_rr0.1,0.05,0,7,prospective,AP,1,0,100000
AF_rr0.1,0.05,0,7,prospective,SL,1,0,100000
AF_rr0.1,0.05,0,7,retrospective,AP,0.11206,0.00099751,100000
AF_rr0.1,0.05,0,7,retrospective,SL,0.11206,0.00099751,100000
AF_rr0.1,0.05,0,10,prospective,AP,1,0,100000
AF_rr0.1,0.05,0,10,prospective,SL,1,0,100000
AF_rr0.1,0.05,0,10,retrospective,AP,0.00835,0.000287755,100000
AF_rr0.1,0.05,0,10,retrospective,SL,0.00835,0.000287755,100000
AF_rr0.1,0.05,0,13,prospective,AP,1,0,100000
AF_rr0.1,0.05,0,13,prospective,SL,1,0,100000
AF_rr0.1,0.05,0,13,retrospective,AP,0.0003,5.4764e-05,100000
AF_rr0.1,0.05,0,13,retrospective,SL,0.0003,5.4764e-05,100000
AF_rr0.1,0.05,0.1,1,prospective,AP,1,0,100000
AF_rr0.1,0.05,0.1,1,prospective,SL,1,0,100000
AF_rr0.1,0.05,0.1,1,retrospective,AP,1,0,100000
AF_rr0.1,0.05,0.1,1,retrospective,SL,1,0,100000
AF_rr0.1,0.05,0.1,3,prospective,AP,0.39971,0.00154901,100000
AF_rr0.1,0.05,0.1,3,prospective,SL,0.25229,0.00137346,100000
AF_rr0.1,0.05,0.1,3,retrospective,AP,0.31091,0.00146371,100000
AF_rr0.1,0.05,0.1,3,retrospective,SL,0.19631,0.00125607,100000
AF_rr0.1,0.05,0.1,5,prospective,AP,0.15301,0.00113841,100000
AF_rr0.1,0.05,0.1,5,prospective,SL,0.06713,0.000791351,100000
AF_rr0.1,0.05,0.1,5,retrospective,AP,0.05863,0.000742917,100000
AF_rr0.1,0.05,0.1,5,retrospective,SL,0.026,0.00050323,100000
AF_rr0.1,0.05,0.1,7,prospective,AP,0.06427,0.000775496,100000
AF_rr0.1,0.05,0.1,7,prospective,SL,0.02202,0.000464059,100000
AF_rr0.1,0.05,0.1,7,retrospective,AP,0.00719,0.000267176,100000
AF_rr0.1,0.05,0.1,7,retrospective,SL,0.00236,0.000153442,100000
AF_rr0.1,0.05,0.1,10,prospective,AP,0.01914,0.000433286,100000
AF_rr0.1,0.05,0.1,10,prospective,SL,0.00554,0.000234719,100000
AF_rr0.1,0.05,0.1,10,retrospective,AP,0.00027,5.19545e-05,100000
AF_rr0.1,0.05,0.1,10,retrospective,SL,4e-05,1.99996e-05,100000
AF_rr0.1,0.05,0.1,13,prospective,AP,0.00674,0.000258739,100000
AF_rr0.1,0.05,0.1,13,prospective,SL,0.00146,0.000120742,100000
AF_rr0.1,0.05,0.1,13,retrospective,AP,0,0,100000
AF_rr0.1,0.05,0.1,13,retrospective,SL,0,0,100000
AF_rr0.1,0.05,0.15,1,prospective,AP,1,0,100000
AF_rr0.1,0.05,0.15,1,prospective,SL,1,0,100000
AF_rr0.1,0.05,0.15,1,retrospective,AP,1,0,100000
AF_rr0.1,0.05,0.15,1,retrospective,SL,1,0,100000
AF_rr0.1,0.05,0.15,3,prospective,AP,0.64716,0.00151111,100000
AF_rr0.1,0.05,0.15,3,prospective,SL,0.44913,0.00157293,100000
AF_rr0.1,0.05,0.15,3,retrospective,AP,0.50424,0.00158108,100000
AF_rr0.1,0.05,0.15,3,retrospective,SL,0.34699,0.00150528,100000
AF_rr0.1,0.05,0.15,5,prospective,AP,0.4083,0.00155432,100000
AF_rr0.1,0.05,0.15,5,prospective,SL,0.21262,0.00129388,100000
AF_rr0.1,0.05,0.15,5,retrospective,AP,0.15474,0.00114366,100000
AF_rr0.1,0.05,0.15,5,retrospective,SL,0.08176,0.00086646,100000
AF_rr0.1,0.05,0.15,7,prospective,AP,0.2679,0.00140046,100000
AF_rr0.1,0.05,0.15,7,prospective,SL,0.11288,0.00100069,100000
AF_rr0.1,0.05,0.15,7,retrospective,AP,0.0297,0.000536823,100000
AF_rr0.1,0.05,0.15,7,retrospective,SL,0.01225,0.00034785,100000
AF_rr0.1,0.05,0.15,10,prospective,AP,0.15648,0.00114889,100000
AF_rr0.1,0.05,0.15,10,prospective,SL,0.05324,0.000709968,100000
AF_rr0.1,0.05,0.15,10,retrospective,AP,0.00112,0.000105771,100000
AF_rr0.1,0.05,0.15,10,retrospective,SL,0.0004,6.32329e-05,100000
AF_rr0.1,0.05,0.15,13,prospective,AP,0.09597,0.000931449,100000
AF_rr0.1,0.05,0.15,13,prospective,SL,0.02722,0.000514578,100000
AF_rr0.1,0.05,0.15,13,retrospective,AP,5e-05,2.23601e-05,100000
AF_rr0.1,0.05,0.15,13,retrospective,SL,1e-05,9.99995e-06,100000
AF_rr0.1,0.05,0.2,1,prospective,AP,1,0,100000
AF_rr0.1,0.05,0.2,1,prospective,SL,1,0,100000
