u,view_errors,r_mean,beat_cv,N_beats,cell,axis,metric,rule,tau,value,mcse,n,lo95,hi95
base,False,0.53,0.05,1,0,AP,p_any_trigger,any trigger (diff >= t_warn),2.0,0.23695,0.001344636372778901,100000,0.23431456111626275,0.23958543888373723
base,False,0.53,0.05,1,0,AP,p_any_trigger,any trigger (diff >= t_warn),3.0,0.08406,0.0008774617735263457,100000,0.0823402065125122,0.0857797934874878
base,False,0.53,0.05,1,0,AP,p_any_trigger,any trigger (diff >= t_warn),4.0,0.02223,0.0004662169784553111,100000,0.021316231506038813,0.023143768493961187
base,False,0.53,0.05,1,0,SL,p_any_trigger,any trigger (diff >= t_warn),2.0,0.19749,0.0012589189803160488,100000,0.19502256411966384,0.19995743588033615
base,False,0.53,0.05,1,0,SL,p_any_trigger,any trigger (diff >= t_warn),3.0,0.0555,0.0007240148479140466,100000,0.054080956962622995,0.05691904303737701
base,False,0.53,0.05,1,0,SL,p_any_trigger,any trigger (diff >= t_warn),4.0,0.01006,0.0003155756074223735,100000,0.009441483170174014,0.010678516829825985
base,False,0.53,0.05,3,1,AP,p_any_trigger,any trigger (diff >= t_warn),2.0,0.06864,0.0007995533152954843,100000,0.0670729042859402,0.07020709571405981
base,False,0.53,0.05,3,1,AP,p_any_trigger,any trigger (diff >= t_warn),3.0,0.00573,0.00023868739179102024,100000,0.005262181304835705,0.006197818695164295
base,False,0.53,0.05,3,1,AP,p_any_trigger,any trigger (diff >= t_warn),4.0,0.0003,5.476403929587371e-05,100000,0.00019266445448550215,0.0004073355455144978
base,False,0.53,0.05,3,1,SL,p_any_trigger,any trigger (diff >= t_warn),2.0,0.0511,0.0006963389260984912,100000,0.0497352007730483,0.0524647992269517
base,False,0.53,0.05,3,1,SL,p_any_trigger,any trigger (diff >= t_warn),3.0,0.0028,0.0001670975762840383,100000,0.002472494765996031,0.003127505234003969
base,False,0.53,0.05,3,1,SL,p_any_trigger,any trigger (diff >= t_warn),4.0,5e-05,2.2360120751015635e-05,100000,6.174968292356397e-06,9.382503170764361e-05
base,False,0.53,0.05,5,2,AP,p_any_trigger,any trigger (diff >= t_warn),2.0,0.02316,0.00047564287443417044,100000,0.022227757089252505,0.024092242910747495
base,False,0.53,0.05,5,2,AP,p_any_trigger,any trigger (diff >= t_warn),3.0,0.00076,8.714484494219953e-05,100000,0.0005891992411277069,0.0009308007588722932
