u,view_errors,r_mean,beat_cv,N_beats,cell,axis,metric,rule,tau,value,mcse,n,lo95,hi95
base,False,0.64,0.05,3,37,AP,p_any_trigger,any trigger (diff >= t_warn),2.0,0.06784,0.0007952215691239769,100000,0.06628139435249349,0.06939860564750651
base,False,0.64,0.05,3,37,AP,p_any_trigger,any trigger (diff >= t_warn),3.0,0.00593,0.00024279281496782397,100000,0.005454134823204404,0.0064058651767955966
base,False,0.64,0.05,3,37,AP,p_any_trigger,any trigger (diff >= t_warn),4.0,0.00032,5.65594908039314e-05,100000,0.00020914543416596343,0.0004308545658340366
base,False,0.64,0.05,3,37,SL,p_any_trigger,any trigger (diff >= t_warn),2.0,0.05552,0.0007241376222790803,100000,0.0541007163292874,0.0569392836707126
base,False,0.64,0.05,3,37,SL,p_any_trigger,any trigger (diff >= t_warn),3.0,0.00308,0.0001752288104165522,100000,0.0027365578398207326,0.003423442160179267
base,False,0.64,0.05,3,37,SL,p_any_trigger,any trigger (diff >= t_warn),4.0,5e-05,2.2360120751015635e-05,100000,6.174968292356397e-06,9.382503170764361e-05
base,False,0.64,0.1,3,43,AP,p_any_trigger,any trigger (diff >= t_warn),2.0,0.17529,0.0012023452744532247,100000,0.17293344654650156,0.17764655345349845
base,False,0.64,0.1,3,43,AP,p_any_trigger,any trigger (diff >= t_warn),3.0,0.05136,0.0006980125385693298,100000,0.04999192055285551,0.0527280794471445
base,False,0.64,0.1,3,43,AP,p_any_trigger,any trigger (diff >= t_warn),4.0,0.01339,0.00036346537524226433,100000,0.012677620949278672,0.01410237905072133
base,False,0.64,0.1,3,43,SL,p_any_trigger,any trigger (diff >= t_warn),2.0,0.10642,0.0009751655428695171,100000,0.10450871064193529,0.10833128935806471
base,False,0.64,0.1,3,43,SL,p_any_trigger,any trigger (diff >= t_warn),3.0,0.01847,0.00042577997956691206,100000,0.017635486568128116,0.019304513431871884
base,False,0.64,0.1,3,43,SL,p_any_trigger,any trigger (diff >= t_warn),4.0,0.0028,0.0001670975762840383,100000,0.002472494765996031,0.003127505234003969
base,False,0.64,0.15,3,49,AP,p_any_trigger,any trigger (diff >= t_warn),2.0,0.28164,0.001422388520763578,100000,0.27885216970529014,0.28442783029470986
base,False,0.64,0.15,3,49,AP,p_any_trigger,any trigger (diff >= t_warn),3.0,0.13073,0.001066019076283347,100000,0.1286406409871714,0.13281935901282862
base,False,0.64,0.15,3,49,AP,p_any_trigger,any trigger (diff >= t_warn),4.0,0.05667,0.0007311532746285146,100000,0.055236965903246,0.058103034096754
base,False,0.64,0.15,3,49,SL,p_any_trigger,any trigger (diff >= t_warn),2.0,0.17509,0.0012018048589517352,100000,0.1727345057414295,0.17744549425857048
base,False,0.64,0.15,3,49,SL,p_any_trigger,any trigger (diff >= t_warn),3.0,0.05294,0.0007080773714785695,100000,0.05155219384268738,0.05432780615731262
base,False,0.64,0.15,3,49,SL,p_any_trigger,any trigger (diff >= t_warn),4.0,0.01462,0.0003795557350376885,100000,0.013876084423332592,0.015363915576667407
base,False,0.64,0.2,3,55,AP,p_any_trigger,any trigger (diff >= t_warn),2.0,0.36454,0.0015220071892077251,100000,0.36155692070141165,0.3675230792985883
base,False,0.64,0.2,3,55,AP,p_any_trigger,any trigger (diff >= t_warn),3.0,0.21422,0.0012974197146644567,100000,0.2116771040663674,0.2167628959336326
base,False,0.64,0.2,3,55,AP,p_any_trigger,any trigger (diff >= t_warn),4.0,0.11725,0.0010173614770571963,100000,0.11525600812998106,0.11924399187001893
base,False,0.64,0.2,3,55,SL,p_any_trigger,any trigger (diff >= t_warn),2.0,0.2405,0.001351516740554848,100000,0.23785107584311516,0.24314892415688483
base,False,0.64,0.2,3,55,SL,p_any_trigger,any trigger (diff >= t_warn),3.0,0.09884,0.0009437725064866002,100000,0.09699023986309649,0.1006897601369035
base,False,0.64,0.2,3,55,SL,p_any_trigger,any trigger (diff >= t_warn),4.0,0.03887,0.0006112210982942261,100000,0.037672028651302855,0.04006797134869715
base,False,0.64,0.25,3,61,AP,p_any_trigger,any trigger (diff >= t_warn),2.0,0.43159,0.001566269682717507,100000,0.42852016780758223,0.4346598321924177
base,False,0.64,0.25,3,61,AP,p_any_trigger,any trigger (diff >= t_warn),3.0,0.28743,0.0014311324016316588,100000,0.2846250320135684,0.2902349679864316
base,False,0.64,0.25,3,61,AP,p_any_trigger,any trigger (diff >= t_warn),4.0,0.18206,0.0012203038818261623,100000,0.17966824832256045,0.18445175167743955
base,False,0.64,0.25,3,61,SL,p_any_trigger,any trigger (diff >= t_warn),2.0,0.30216,0.0014520996329453432,100000,0.2993139369950139,0.30500606300498606
base,False,0.64,0.25,3,61,SL,p_any_trigger,any trigger (diff >= t_warn),3.0,0.15163,0.0011341884459824126,100000,0.14940703147665851,0.15385296852334146
base,False,0.64,0.25,3,61,SL,p_any_trigger,any trigger (diff >= t_warn),4.0,0.07207,0.0008177769567553246,100000,0.07046718660473,0.07367281339526999
base,False,0.64,0.3,3,67,AP,p_any_trigger,any trigger (diff >= t_warn),2.0,0.47431,0.0015790504231974355,100000,0.47121511801634824,0.4774048819836518
base,False,0.64,0.3,3,67,AP,p_any_trigger,any trigger (diff >= t_warn),3.0,0.34225,0.001500383076084238,100000,0.3393093031846656,0.3451906968153344
base,False,0.64,0.3,3,67,AP,p_any_trigger,any trigger (diff >= t_warn),4.0,0.23758,0.0013458667972723007,100000,0.234942149528551,0.24021785047144903
