u,view_errors,r_mean,beat_cv,N_beats,cell,axis,t_warn,t_adj,value,mcse,n
base,False,0.53,0.05,1,0,AP,2.0,4.0,0.22968,0.0013301394573502433,100000
base,False,0.53,0.05,1,0,SL,2.0,4.0,0.19465,0.0012520438390887117,100000
base,False,0.53,0.05,1,0,AP,2.0,5.0,0.23597,0.0013427142626039243,100000
base,False,0.53,0.05,1,0,SL,2.0,5.0,0.19734,0.001258558399121789,100000
base,False,0.53,0.05,1,0,AP,2.0,6.0,0.23679,0.0013443232345682343,100000
base,False,0.53,0.05,1,0,SL,2.0,6.0,0.19748,0.0012588949503433556,100000
base,False,0.53,0.05,1,0,AP,3.0,4.0,0.0691,0.0008020298622869351,100000
base,False,0.53,0.05,1,0,SL,3.0,4.0,0.04898,0.0006825024512776492,100000
base,False,0.53,0.05,1,0,AP,3.0,5.0,0.08177,0.0008665083213680063,100000
base,False,0.53,0.05,1,0,SL,3.0,5.0,0.05498,0.0007208134266230062,100000
base,False,0.53,0.05,1,0,AP,3.0,6.0,0.08368,0.000875657796173825,100000
base,False,0.53,0.05,1,0,SL,3.0,6.0,0.05545,0.0007237077966969819,100000
base,False,0.53,0.05,1,0,AP,4.0,5.0,0.0183,0.000423852686673094,100000
base,False,0.53,0.05,1,0,SL,4.0,5.0,0.00903,0.0002991397516212113,100000
base,False,0.53,0.05,1,0,AP,4.0,6.0,0.02159,0.0004596071354972636,100000
base,False,0.53,0.05,1,0,SL,4.0,6.0,0.00994,0.0003137068121670296,100000
base,False,0.53,0.05,3,1,AP,2.0,4.0,0.06851,0.0007988515500391796,100000
base,False,0.53,0.05,3,1,SL,2.0,4.0,0.0511,0.0006963389260984912,100000
base,False,0.53,0.05,3,1,AP,2.0,5.0,0.06864,0.0007995533152954843,100000
base,False,0.53,0.05,3,1,SL,2.0,5.0,0.0511,0.0006963389260984912,100000
base,False,0.53,0.05,3,1,AP,2.0,6.0,0.06864,0.0007995533152954843,100000
base,False,0.53,0.05,3,1,SL,2.0,6.0,0.0511,0.0006963389260984912,100000
base,False,0.53,0.05,3,1,AP,3.0,4.0,0.0055,0.00023387496659540115,100000
base,False,0.53,0.05,3,1,SL,3.0,4.0,0.00276,0.00016590305602971875,100000
base,False,0.53,0.05,3,1,AP,3.0,5.0,0.00571,0.00023827286668859298,100000
base,False,0.53,0.05,3,1,SL,3.0,5.0,0.0028,0.0001670975762840383,100000
base,False,0.53,0.05,3,1,AP,3.0,6.0,0.00572,0.00023848022140211128,100000
base,False,0.53,0.05,3,1,SL,3.0,6.0,0.0028,0.0001670975762840383,100000
base,False,0.53,0.05,3,1,AP,4.0,5.0,0.00028,5.290761759898096e-05,100000
base,False,0.53,0.05,3,1,SL,4.0,5.0,5e-05,2.2360120751015635e-05,100000
base,False,0.53,0.05,3,1,AP,4.0,6.0,0.00029,5.3843839016177145e-05,100000
base,False,0.53,0.05,3,1,SL,4.0,6.0,5e-05,2.2360120751015635e-05,100000
base,False,0.53,0.05,5,2,AP,2.0,4.0,0.02316,0.00047564287443417044,100000
base,False,0.53,0.05,5,2,SL,2.0,4.0,0.01767,0.0004166265846054474,100000
base,False,0.53,0.05,5,2,AP,2.0,5.0,0.02316,0.00047564287443417044,100000
base,False,0.53,0.05,5,2,SL,2.0,5.0,0.01767,0.0004166265846054474,100000
base,False,0.53,0.05,5,2,AP,2.0,6.0,0.02316,0.00047564287443417044,100000
base,False,0.53,0.05,5,2,SL,2.0,6.0,0.01767,0.0004166265846054474,100000
base,False,0.53,0.05,5,2,AP,3.0,4.0,0.00075,8.657005833427629e-05,100000
base,False,0.53,0.05,5,2,SL,3.0,4.0,0.0003,5.476403929587371e-05,100000
base,False,0.53,0.05,5,2,AP,3.0,5.0,0.00076,8.714484494219953e-05,100000
base,False,0.53,0.05,5,2,SL,3.0,5.0,0.00031,5.5669012924606445e-05,100000
base,False,0.53,0.05,5,2,AP,3.0,6.0,0.00076,8.714484494219953e-05,100000
base,False,0.53,0.05,5,2,SL,3.0,6.0,0.00031,5.5669012924606445e-05,100000
base,False,0.53,0.05,5,2,AP,4.0,5.0,1e-05,9.999949999874999e-06,100000
base,False,0.53,0.05,5,2,SL,4.0,5.0,1e-05,9.999949999874999e-06,100000
base,False,0.53,0.05,5,2,AP,4.0,6.0,1e-05,9.999949999874999e-06,100000
base,False,0.53,0.05,5,2,SL,4.0,6.0,1e-05,9.999949999874999e-06,100000
base,False,0.53,0.05,7,3,AP,2.0,4.0,0.00867,0.00029316942371263754,100000
base,False,0.53,0.05,7,3,SL,2.0,4.0,0.00684,0.0002606379557930886,100000
base,False,0.53,0.05,7,3,AP,2.0,5.0,0.00867,0.00029316942371263754,100000
base,False,0.53,0.05,7,3,SL,2.0,5.0,0.00684,0.0002606379557930886,100000
base,False,0.53,0.05,7,3,AP,2.0,6.0,0.00867,0.00029316942371263754,100000
base,False,0.53,0.05,7,3,SL,2.0,6.0,0.00684,0.0002606379557930886,100000
base,False,0.53,0.05,7,3,AP,3.0,4.0,0.00012,3.4638937628050894e-05,100000
base,False,0.53,0.05,7,3,SL,3.0,4.0,2e-05,1.4141994201667599e-05,100000
base,False,0.53,0.05,7,3,AP,3.0,5.0,0.00013,3.605316907013862e-05,100000
base,False,0.53,0.05,7,3,SL,3.0,5.0,2e-05,1.4141994201667599e-05,100000
base,False,0.53,0.05,7,3,AP,3.0,6.0,0.00013,3.605316907013862e-05,100000
base,False,0.53,0.05,7,3,SL,3.0,6.0,2e-05,1.4141994201667599e-05,100000
base,False,0.53,0.05,7,3,AP,4.0,5.0,1e-05,9.999949999874999e-06,100000
base,False,0.53,0.05,7,3,SL,4.0,5.0,0.0,0.0,100000
base,False,0.53,0.05,7,3,AP,4.0,6.0,1e-05,9.999949999874999e-06,100000
base,False,0.53,0.05,7,3,SL,4.0,6.0,0.0,0.0,100000
base,False,0.53,0.05,10,4,AP,2.0,4.0,0.00204,0.00014268280905561118,100000
base,False,0.53,0.05,10,4,SL,2.0,4.0,0.00158,0.00012559871018446008,100000
base,False,0.53,0.05,10,4,AP,2.0,5.0,0.00204,0.00014268280905561118,100000
base,False,0.53,0.05,10,4,SL,2.0,5.0,0.00158,0.00012559871018446008,100000
base,False,0.53,0.05,10,4,AP,2.0,6.0,0.00204,0.00014268280905561118,100000
base,False,0.53,0.05,10,4,SL,2.0,6.0,0.00158,0.00012559871018446008,100000
base,False,0.53,0.05,10,4,AP,3.0,4.0,1e-05,9.999949999874999e-06,100000
base,False,0.53,0.05,10,4,SL,3.0,4.0,0.0,0.0,100000
base,False,0.53,0.05,10,4,AP,3.0,5.0,1e-05,9.999949999874999e-06,100000
base,False,0.53,0.05,10,4,SL,3.0,5.0,0.0,0.0,100000
base,False,0.53,0.05,10,4,AP,3.0,6.0,1e-05,9.999949999874999e-06,100000
base,False,0.53,0.05,10,4,SL,3.0,6.0,0.0,0.0,100000
base,False,0.53,0.05,10,4,AP,4.0,5.0,0.0,0.0,100000
base,False,0.53,0.05,10,4,SL,4.0,5.0,0.0,0.0,100000
base,False,0.53,0.05,10,4,AP,4.0,6.0,0.0,0.0,100000
base,False,0.53,0.05,10,4,SL,4.0,6.0,0.0,0.0,100000
base,False,0.53,0.05,13,5,AP,2.0,4.0,0.00059,7.6788794755485e-05,100000
base,False,0.53,0.05,13,5,SL,2.0,4.0,0.00027,5.1954508947732345e-05,100000
base,False,0.53,0.05,13,5,AP,2.0,5.0,0.00059,7.6788794755485e-05,100000
base,False,0.53,0.05,13,5,SL,2.0,5.0,0.00027,5.1954508947732345e-05,100000
base,False,0.53,0.05,13,5,AP,2.0,6.0,0.00059,7.6788794755485e-05,100000
base,False,0.53,0.05,13,5,SL,2.0,6.0,0.00027,5.1954508947732345e-05,100000
base,False,0.53,0.05,13,5,AP,3.0,4.0,0.0,0.0,100000
base,False,0.53,0.05,13,5,SL,3.0,4.0,0.0,0.0,100000
base,False,0.53,0.05,13,5,AP,3.0,5.0,0.0,0.0,100000
base,False,0.53,0.05,13,5,SL,3.0,5.0,0.0,0.0,100000
base,False,0.53,0.05,13,5,AP,3.0,6.0,0.0,0.0,100000
base,False,0.53,0.05,13,5,SL,3.0,6.0,0.0,0.0,100000
base,False,0.53,0.05,13,5,AP,4.0,5.0,0.0,0.0,100000
base,False,0.53,0.05,13,5,SL,4.0,5.0,0.0,0.0,100000
base,False,0.53,0.05,13,5,AP,4.0,6.0,0.0,0.0,100000
base,False,0.53,0.05,13,5,SL,4.0,6.0,0.0,0.0,100000
base,False,0.53,0.1,1,6,AP,2.0,4.0,0.30271,0.001452847741162163,100000
base,False,0.53,0.1,1,6,SL,2.0,4.0,0.23363,0.0013380845380617774,100000
base,False,0.53,0.1,1,6,AP,2.0,5.0,0.32704,0.0014835256600409714,100000
base,False,0.53,0.1,1,6,SL,2.0,5.0,0.24127,0.001352992191773478,100000
base,False,0.53,0.1,1,6,AP,2.0,6.0,0.33427,0.0014917559019491091,100000
base,False,0.53,0.1,1,6,SL,2.0,6.0,0.24232,0.0013549945298782574,100000
base,False,0.53,0.1,1,6,AP,3.0,4.0,0.11918,0.0010245785845897815,100000
base,False,0.53,0.1,1,6,SL,3.0,4.0,0.07105,0.0008124155186848661,100000
base,False,0.53,0.1,1,6,AP,3.0,5.0,0.15914,0.0011567820036636116,100000
base,False,0.53,0.1,1,6,SL,3.0,5.0,0.08583,0.0008857946212300006,100000
base,False,0.53,0.1,1,6,AP,3.0,6.0,0.17174,0.001192666644121483,100000
base,False,0.53,0.1,1,6,SL,3.0,6.0,0.08812,0.0008964087549773262,100000
base,False,0.53,0.1,1,6,AP,4.0,5.0,0.05514,0.0007218003906898361,100000
base,False,0.53,0.1,1,6,SL,4.0,5.0,0.0204,0.00044703288469641697,100000
base,False,0.53,0.1,1,6,AP,4.0,6.0,0.07352,0.0008253169669890473,100000
base,False,0.53,0.1,1,6,SL,4.0,6.0,0.02405,0.00048447494775271917,100000
base,False,0.53,0.1,3,7,AP,2.0,4.0,0.16853,0.0011837552073803096,100000
base,False,0.53,0.1,3,7,SL,2.0,4.0,0.08814,0.0008965006436138236,100000
base,False,0.53,0.1,3,7,AP,2.0,5.0,0.17245,0.001194617083001913,100000
base,False,0.53,0.1,3,7,SL,2.0,5.0,0.08849,0.0008981064519309502,100000
base,False,0.53,0.1,3,7,AP,2.0,6.0,0.17322,0.0011967239932415496,100000
base,False,0.53,0.1,3,7,SL,2.0,6.0,0.08852,0.0008982438956096501,100000
base,False,0.53,0.1,3,7,AP,3.0,4.0,0.04141,0.0006300413629278637,100000
base,False,0.53,0.1,3,7,SL,3.0,4.0,0.01057,0.00032339256484959574,100000
base,False,0.53,0.1,3,7,AP,3.0,5.0,0.04859,0.0006799192003466294,100000
