u,view_errors,r_mean,beat_cv,N_beats,cell,axis,tau,value,mcse,n,quantity
base,False,0.53,0.05,1,0,AP-SL,2.0,0.88783,0.0009979373281925072,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.05,1,0,AP-SL,3.0,0.77118,0.0013283877732047974,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.05,1,0,AP-SL,4.0,0.62114,0.0015340309657891525,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.05,1,0,AP-SL,5.0,0.46665,0.0015776177531328683,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.05,1,0,AP-SL,6.0,0.32856,0.0014852889496660237,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.05,3,1,AP-SL,2.0,0.91275,0.0008923981034269405,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.05,3,1,AP-SL,3.0,0.7868,0.0012951670162569767,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.05,3,1,AP-SL,4.0,0.61591,0.0015380665522011718,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.05,3,1,AP-SL,5.0,0.44001,0.00156971717165864,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.05,3,1,AP-SL,6.0,0.29833,0.001446821381857484,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.05,5,2,AP-SL,2.0,0.92515,0.000832150692483038,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.05,5,2,AP-SL,3.0,0.79457,0.0012776091542408422,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.05,5,2,AP-SL,4.0,0.6175,0.0015368596227372231,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.05,5,2,AP-SL,5.0,0.43795,0.0015689161784493142,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.05,5,2,AP-SL,6.0,0.29257,0.0014386549103242237,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.05,7,3,AP-SL,2.0,0.93028,0.0008053516101678819,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.05,7,3,AP-SL,3.0,0.79789,0.0012698879789178256,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.05,7,3,AP-SL,4.0,0.61406,0.0015394489806420998,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.05,7,3,AP-SL,5.0,0.43543,0.0015678989607114356,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.05,7,3,AP-SL,6.0,0.28948,0.0014341594388351667,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.05,10,4,AP-SL,2.0,0.93881,0.0007579299697201581,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.05,10,4,AP-SL,3.0,0.80306,0.0012575954691394207,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.05,10,4,AP-SL,4.0,0.61455,0.001539085109732402,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.05,10,4,AP-SL,5.0,0.4311,0.001566054884095701,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.05,10,4,AP-SL,6.0,0.2852,0.0014277988653868584,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.05,13,5,AP-SL,2.0,0.94873,0.00069743377535075,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.05,13,5,AP-SL,3.0,0.81349,0.0012317630449887674,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.05,13,5,AP-SL,4.0,0.61803,0.0015364534457639775,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.05,13,5,AP-SL,5.0,0.43039,0.0015657408722390815,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.05,13,5,AP-SL,6.0,0.28449,0.0014267285652849319,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.1,1,6,AP-SL,2.0,0.86932,0.001065845850017722,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.1,1,6,AP-SL,3.0,0.75273,0.0013642856999177262,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.1,1,6,AP-SL,4.0,0.60814,0.0015437154543503152,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.1,1,6,AP-SL,5.0,0.45981,0.0015760227279452538,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.1,1,6,AP-SL,6.0,0.33261,0.0014899012984087236,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.1,3,7,AP-SL,2.0,0.9069,0.0009188709920331579,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.1,3,7,AP-SL,3.0,0.77756,0.0013151442749751831,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.1,3,7,AP-SL,4.0,0.61238,0.00154068405456797,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.1,3,7,AP-SL,5.0,0.44568,0.0015717803205282854,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.1,3,7,AP-SL,6.0,0.30554,0.0014566581905169106,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.1,5,8,AP-SL,2.0,0.9165,0.0008748014060345355,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.1,5,8,AP-SL,3.0,0.78708,0.0012945465368228366,100000,measured anchor |AP-SL| >= tau
base,False,0.53,0.1,5,8,AP-SL,4.0,0.61133,0.001541446175187444,100000,measured anchor |AP-SL| >= tau
