r_mean,tau,value,mcse,n,source
0.53,2.0,0.9658425,4.786465669653424e-05,14400000,E4 cells pooled (144 cells x 1e5 patients)
0.53,3.0,0.8352247222222222,9.77611835073934e-05,14400000,E4 cells pooled (144 cells x 1e5 patients)
0.53,4.0,0.6340046527777777,0.00012694124653476156,14400000,E4 cells pooled (144 cells x 1e5 patients)
0.64,2.0,0.8604066666666667,9.132779584118889e-05,14400000,E4 cells pooled (144 cells x 1e5 patients)
0.64,3.0,0.6243195138888888,0.0001276237576026236,14400000,E4 cells pooled (144 cells x 1e5 patients)
0.64,4.0,0.3968510416666667,0.00012892727611879914,14400000,E4 cells pooled (144 cells x 1e5 patients)
0.8,2.0,0.4531176388888889,0.00013118107825758535,14400000,E4 cells pooled (144 cells x 1e5 patients)
0.8,3.0,0.21923770833333334,0.00010902743525079721,14400000,E4 cells pooled (144 cells x 1e5 patients)
0.8,4.0,0.10058444444444445,7.926187870152287e-05,14400000,E4 cells pooled (144 cells x 1e5 patients)
0.9,2.0,0.14250138888888889,9.211810921523918e-05,14400000,E4 cells pooled (144 cells x 1e5 patients)
0.9,3.0,0.049913680555555555,5.7386545708898956e-05,14400000,E4 cells pooled (144 cells x 1e5 patients)
0.9,4.0,0.018168055555555555,3.519585805895288e-05,14400000,E4 cells pooled (144 cells x 1e5 patients)
0.53,2.0,0.965629,0.0001821802249394814,1000000,"supplementary draw_latent, seed (20260918, spawn_key=(99,0))"
0.53,3.0,0.834679,0.00037147000815543644,1000000,"supplementary draw_latent, seed (20260918, spawn_key=(99,0))"
0.53,4.0,0.632969,0.0004819950674426036,1000000,"supplementary draw_latent, seed (20260918, spawn_key=(99,0))"
0.53,5.0,0.435707,0.0004958491808513955,1000000,"supplementary draw_latent, seed (20260918, spawn_key=(99,0))"
0.53,6.0,0.280955,0.0004494655581632479,1000000,"supplementary draw_latent, seed (20260918, spawn_key=(99,0))"
0.53,,5.0875908512628385,0.002327511314438951,1000000,"mean |S_AP-S_SL| mm, supplementary draw"
0.53,,4.653898268741839,,1000000,"median |S_AP-S_SL| mm, supplementary draw"
0.64,2.0,0.860462,0.0003465070656653339,1000000,"supplementary draw_latent, seed (20260918, spawn_key=(99,1))"
0.64,3.0,0.624031,0.00048437207912822557,1000000,"supplementary draw_latent, seed (20260918, spawn_key=(99,1))"
0.64,4.0,0.396851,0.0004892446052834921,1000000,"supplementary draw_latent, seed (20260918, spawn_key=(99,1))"
0.64,5.0,0.23321,0.00042287479932008246,1000000,"supplementary draw_latent, seed (20260918, spawn_key=(99,1))"
0.64,6.0,0.13199,0.0003384798958579372,1000000,"supplementary draw_latent, seed (20260918, spawn_key=(99,1))"
0.64,,3.8995284739768636,0.0019902567937905404,1000000,"mean |S_AP-S_SL| mm, supplementary draw"
0.64,,3.516451522994816,,1000000,"median |S_AP-S_SL| mm, supplementary draw"
0.8,2.0,0.452592,0.0004977474073624091,1000000,"supplementary draw_latent, seed (20260918, spawn_key=(99,2))"
0.8,3.0,0.218965,0.0004135448328476611,1000000,"supplementary draw_latent, seed (20260918, spawn_key=(99,2))"
0.8,4.0,0.100287,0.00030038228581426036,1000000,"supplementary draw_latent, seed (20260918, spawn_key=(99,2))"
0.8,5.0,0.045447,0.00020828242890604096,1000000,"supplementary draw_latent, seed (20260918, spawn_key=(99,2))"
0.8,6.0,0.02082,0.00014278139794805206,1000000,"supplementary draw_latent, seed (20260918, spawn_key=(99,2))"
0.8,,2.1644118048136525,0.001425459912236645,1000000,"mean |S_AP-S_SL| mm, supplementary draw"
0.8,,1.8506250867172116,,1000000,"median |S_AP-S_SL| mm, supplementary draw"
0.9,2.0,0.142673,0.00034973906712147554,1000000,"supplementary draw_latent, seed (20260918, spawn_key=(99,3))"
0.9,3.0,0.049871,0.00021767839433209718,1000000,"supplementary draw_latent, seed (20260918, spawn_key=(99,3))"
0.9,4.0,0.018303,0.00013404476935337687,1000000,"supplementary draw_latent, seed (20260918, spawn_key=(99,3))"
0.9,5.0,0.007071,8.379141339660049e-05,1000000,"supplementary draw_latent, seed (20260918, spawn_key=(99,3))"
0.9,6.0,0.002847,5.328127805336505e-05,1000000,"supplementary draw_latent, seed (20260918, spawn_key=(99,3))"
0.9,,1.0847354894441437,0.000986017745468166,1000000,"mean |S_AP-S_SL| mm, supplementary draw"
0.9,,0.8093964577939272,,1000000,"median |S_AP-S_SL| mm, supplementary draw"
