u,view_errors,r_mean,beat_cv,N_beats,cell,axis,tau,false_alarm,false_alarm_mcse,n_nonevent_pairs,miss,hit_mcse,n_event_pairs,prev_event,prev_event_mcse,n_pairs,hit,n_fired_pairs,n_fired_event,ppv,ppv_mcse,ppv_mcse_conservative,false_alarm_lo95,false_alarm_hi95,hit_lo95,hit_hi95,ppv_lo95,ppv_hi95,role
base,False,0.53,0.05,1,0,AP,2.0,0.11023333333333334,0.0005717865148099582,300000,,,,0.0,0.0,300000,,33070,0,0.0,0.0,0.0,0.10911265234862035,0.11135401431804633,,,0.0,0.0,t_warn only
base,False,0.53,0.05,1,0,AP,3.0,0.034383333333333335,0.00033267160845806197,300000,,,,0.0,0.0,300000,,10315,0,0.0,0.0,0.0,0.03373130895693344,0.035035357709733234,,,0.0,0.0,t_warn only
base,False,0.53,0.05,1,0,AP,4.0,0.008386666666666667,0.00016649655140461508,300000,,,,0.0,0.0,300000,,2516,0,0.0,0.0,0.0,0.008060339419789472,0.008712993913543863,,,0.0,0.0,t_warn and t_adj
base,False,0.53,0.05,1,0,AP,5.0,0.0018066666666666667,7.75328451307836e-05,300000,,,,0.0,0.0,300000,,542,0,0.0,0.0,0.0,0.0016547050813927556,0.001958628251940578,,,0.0,0.0,t_adj only
base,False,0.53,0.05,1,0,AP,6.0,0.00038666666666666667,3.589415716406389e-05,300000,,,,0.0,0.0,300000,,116,0,0.0,0.0,0.0,0.00031631541081475934,0.000457017922518574,,,0.0,0.0,t_adj only
base,False,0.53,0.05,1,0,SL,2.0,0.08909666666666667,0.0005201232246803174,300000,,,,0.0,0.0,300000,,26729,0,0.0,0.0,0.0,0.08807724387072934,0.09011608946260401,,,0.0,0.0,t_warn only
base,False,0.53,0.05,1,0,SL,3.0,0.022023333333333332,0.000267944684106143,300000,,,,0.0,0.0,300000,,6607,0,0.0,0.0,0.0,0.02149817139849392,0.022548495268172746,,,0.0,0.0,t_warn only
base,False,0.53,0.05,1,0,SL,4.0,0.00372,0.00011114797344081449,300000,,,,0.0,0.0,300000,,1116,0,0.0,0.0,0.0,0.003502153973383048,0.003937846026616953,,,0.0,0.0,t_warn and t_adj
base,False,0.53,0.05,1,0,SL,5.0,0.0004533333333333333,3.886420041727443e-05,300000,,,,0.0,0.0,300000,,136,0,0.0,0.0,0.0,0.00037716089962669044,0.0005295057670399762,,,0.0,0.0,t_adj only
base,False,0.53,0.05,1,0,SL,6.0,6.333333333333333e-05,1.452920303185074e-05,300000,,,,0.0,0.0,300000,,19,0,0.0,0.0,0.0,3.485661844221503e-05,9.181004822445164e-05,,,0.0,0.0,t_adj only
base,False,0.53,0.05,3,1,AP,2.0,0.02756,0.00029888931284563074,300000,,,,0.0,0.0,300000,,8268,0,0.0,0.0,0.0,0.026974187706837828,0.028145812293162174,,,0.0,0.0,t_warn only
base,False,0.53,0.05,3,1,AP,3.0,0.0020733333333333333,8.304686673243051e-05,300000,,,,0.0,0.0,300000,,622,0,0.0,0.0,0.0,0.0019105644642249718,0.0022361022024416947,,,0.0,0.0,t_warn only
base,False,0.53,0.05,3,1,AP,4.0,0.00011333333333333333,1.943540488291826e-05,300000,,,,0.0,0.0,300000,,34,0,0.0,0.0,0.0,7.524063943738931e-05,0.00015142602722927734,,,0.0,0.0,t_warn and t_adj
base,False,0.53,0.05,3,1,AP,5.0,1.3333333333333333e-05,6.666622222074073e-06,300000,,,,0.0,0.0,300000,,4,0,0.0,0.0,0.0,2.669937764681437e-07,2.6399672890198523e-05,,,0.0,0.0,t_adj only
base,False,0.53,0.05,3,1,AP,6.0,3.3333333333333333e-06,3.333327777773148e-06,300000,,,,0.0,0.0,300000,,1,0,0.0,0.0,0.0,-3.1998691113020375e-06,9.866535777968703e-06,,,0.0,0.0,t_adj only
base,False,0.53,0.05,3,1,SL,2.0,0.020223333333333333,0.000256997731003098,300000,,,,0.0,0.0,300000,,6067,0,0.0,0.0,0.0,0.019719627032485577,0.02072703963418109,,,0.0,0.0,t_warn only
base,False,0.53,0.05,3,1,SL,3.0,0.00098,5.712674796742182e-05,300000,,,,0.0,0.0,300000,,294,0,0.0,0.0,0.0,0.00086803363054678,0.00109196636945322,,,0.0,0.0,t_warn only
base,False,0.53,0.05,3,1,SL,4.0,1.6666666666666667e-05,7.453497811741118e-06,300000,,,,0.0,0.0,300000,,5,0,0.0,0.0,0.0,2.0580792815752992e-06,3.127525405175804e-05,,,0.0,0.0,t_warn and t_adj
base,False,0.53,0.05,3,1,SL,5.0,0.0,0.0,300000,,,,0.0,0.0,300000,,0,0,,,,0.0,0.0,,,,,t_adj only
base,False,0.53,0.05,3,1,SL,6.0,0.0,0.0,300000,,,,0.0,0.0,300000,,0,0,,,,0.0,0.0,,,,,t_adj only
base,False,0.53,0.05,5,2,AP,2.0,0.008813333333333333,0.00017064249655238177,300000,,,,0.0,0.0,300000,,2644,0,0.0,0.0,0.0,0.00847888018322054,0.009147786483446125,,,0.0,0.0,t_warn only
base,False,0.53,0.05,5,2,AP,3.0,0.0002666666666666667,2.981026420298639e-05,300000,,,,0.0,0.0,300000,,80,0,0.0,0.0,0.0,0.00020823962199832465,0.0003250937113350087,,,0.0,0.0,t_warn only
base,False,0.53,0.05,5,2,AP,4.0,3.3333333333333333e-06,3.333327777773148e-06,300000,,,,0.0,0.0,300000,,1,0,0.0,0.0,0.0,-3.1998691113020375e-06,9.866535777968703e-06,,,0.0,0.0,t_warn and t_adj
base,False,0.53,0.05,5,2,AP,5.0,0.0,0.0,300000,,,,0.0,0.0,300000,,0,0,,,,0.0,0.0,,,,,t_adj only
base,False,0.53,0.05,5,2,AP,6.0,0.0,0.0,300000,,,,0.0,0.0,300000,,0,0,,,,0.0,0.0,,,,,t_adj only
base,False,0.53,0.05,5,2,SL,2.0,0.00654,0.0001471646289024642,300000,,,,0.0,0.0,300000,,1962,0,0.0,0.0,0.0,0.006251562625277811,0.006828437374722189,,,0.0,0.0,t_warn only
base,False,0.53,0.05,5,2,SL,3.0,0.00010333333333333333,1.8558255625242688e-05,300000,,,,0.0,0.0,300000,,31,0,0.0,0.0,0.0,6.695982040506016e-05,0.0001397068462616065,,,0.0,0.0,t_warn only
base,False,0.53,0.05,5,2,SL,4.0,3.3333333333333333e-06,3.333327777773148e-06,300000,,,,0.0,0.0,300000,,1,0,0.0,0.0,0.0,-3.1998691113020375e-06,9.866535777968703e-06,,,0.0,0.0,t_warn and t_adj
base,False,0.53,0.05,5,2,SL,5.0,0.0,0.0,300000,,,,0.0,0.0,300000,,0,0,,,,0.0,0.0,,,,,t_adj only
base,False,0.53,0.05,5,2,SL,6.0,0.0,0.0,300000,,,,0.0,0.0,300000,,0,0,,,,0.0,0.0,,,,,t_adj only
base,False,0.53,0.05,7,3,AP,2.0,0.00316,0.00010246974187534581,300000,,,,0.0,0.0,300000,,948,0,0.0,0.0,0.0,0.00295916299483503,0.00336083700516497,,,0.0,0.0,t_warn only
base,False,0.53,0.05,7,3,AP,3.0,4.6666666666666665e-05,1.2471900268054435e-05,300000,,,,0.0,0.0,300000,,14,0,0.0,0.0,0.0,2.2222191129689622e-05,7.111114220364371e-05,,,0.0,0.0,t_warn only
base,False,0.53,0.05,7,3,AP,4.0,3.3333333333333333e-06,3.333327777773148e-06,300000,,,,0.0,0.0,300000,,1,0,0.0,0.0,0.0,-3.1998691113020375e-06,9.866535777968703e-06,,,0.0,0.0,t_warn and t_adj
base,False,0.53,0.05,7,3,AP,5.0,0.0,0.0,300000,,,,0.0,0.0,300000,,0,0,,,,0.0,0.0,,,,,t_adj only
base,False,0.53,0.05,7,3,AP,6.0,0.0,0.0,300000,,,,0.0,0.0,300000,,0,0,,,,0.0,0.0,,,,,t_adj only
base,False,0.53,0.05,7,3,SL,2.0,0.0024333333333333334,8.995206542416952e-05,300000,,,,0.0,0.0,300000,,730,0,0.0,0.0,0.0,0.0022570305233763164,0.0026096361432903503,,,0.0,0.0,t_warn only
base,False,0.53,0.05,7,3,SL,3.0,6.666666666666667e-06,4.714029494400101e-06,300000,,,,0.0,0.0,300000,,2,0,0.0,0.0,0.0,-2.572661437295733e-06,1.5905994770629068e-05,,,0.0,0.0,t_warn only
base,False,0.53,0.05,7,3,SL,4.0,0.0,0.0,300000,,,,0.0,0.0,300000,,0,0,,,,0.0,0.0,,,,,t_warn and t_adj
base,False,0.53,0.05,7,3,SL,5.0,0.0,0.0,300000,,,,0.0,0.0,300000,,0,0,,,,0.0,0.0,,,,,t_adj only
base,False,0.53,0.05,7,3,SL,6.0,0.0,0.0,300000,,,,0.0,0.0,300000,,0,0,,,,0.0,0.0,,,,,t_adj only
base,False,0.53,0.05,10,4,AP,2.0,0.0007166666666666667,4.885874386281183e-05,300000,,,,0.0,0.0,300000,,215,0,0.0,0.0,0.0,0.0006209052876103346,0.0008124280457229988,,,0.0,0.0,t_warn only
base,False,0.53,0.05,10,4,AP,3.0,6.666666666666667e-06,4.714029494400101e-06,300000,,,,0.0,0.0,300000,,2,0,0.0,0.0,0.0,-2.572661437295733e-06,1.5905994770629068e-05,,,0.0,0.0,t_warn only
base,False,0.53,0.05,10,4,AP,4.0,0.0,0.0,300000,,,,0.0,0.0,300000,,0,0,,,,0.0,0.0,,,,,t_warn and t_adj
base,False,0.53,0.05,10,4,AP,5.0,0.0,0.0,300000,,,,0.0,0.0,300000,,0,0,,,,0.0,0.0,,,,,t_adj only
base,False,0.53,0.05,10,4,AP,6.0,0.0,0.0,300000,,,,0.0,0.0,300000,,0,0,,,,0.0,0.0,,,,,t_adj only
base,False,0.53,0.05,10,4,SL,2.0,0.0005333333333333334,4.215245698212181e-05,300000,,,,0.0,0.0,300000,,160,0,0.0,0.0,0.0,0.00045071603513682594,0.0006159506315298408,,,0.0,0.0,t_warn only
base,False,0.53,0.05,10,4,SL,3.0,0.0,0.0,300000,,,,0.0,0.0,300000,,0,0,,,,0.0,0.0,,,,,t_warn only
base,False,0.53,0.05,10,4,SL,4.0,0.0,0.0,300000,,,,0.0,0.0,300000,,0,0,,,,0.0,0.0,,,,,t_warn and t_adj
base,False,0.53,0.05,10,4,SL,5.0,0.0,0.0,300000,,,,0.0,0.0,300000,,0,0,,,,0.0,0.0,,,,,t_adj only
base,False,0.53,0.05,10,4,SL,6.0,0.0,0.0,300000,,,,0.0,0.0,300000,,0,0,,,,0.0,0.0,,,,,t_adj only
base,False,0.53,0.05,13,5,AP,2.0,0.00021,2.645473492590693e-05,300000,,,,0.0,0.0,300000,,63,0,0.0,0.0,0.0,0.00015814967191567976,0.00026185032808432023,,,0.0,0.0,t_warn only
base,False,0.53,0.05,13,5,AP,3.0,0.0,0.0,300000,,,,0.0,0.0,300000,,0,0,,,,0.0,0.0,,,,,t_warn only
base,False,0.53,0.05,13,5,AP,4.0,0.0,0.0,300000,,,,0.0,0.0,300000,,0,0,,,,0.0,0.0,,,,,t_warn and t_adj
base,False,0.53,0.05,13,5,AP,5.0,0.0,0.0,300000,,,,0.0,0.0,300000,,0,0,,,,0.0,0.0,,,,,t_adj only
