u,view_errors,r_mean,beat_cv,N_beats,axis,tau,prev_event,hit,false_alarm,ppv,ppv_mcse,ppv_mcse_conservative,ppv_lo95,ppv_hi95,n_fired_pairs
base,True,0.64,0.05,3,AP,2.0,0.06841333333333334,0.29073280062366014,0.018710014455624098,0.5329581993569131,0.004715122769819693,0.0081668322012526,0.5237167284724863,0.54219967024134,11196
base,True,0.64,0.05,3,AP,3.0,0.06841333333333334,0.1651724809978562,0.003087921682004895,0.7970844110039972,0.0061668327891268165,0.010681267712549333,0.784997640743289,0.8091711812647053,4253
base,True,0.64,0.05,3,AP,4.0,0.06841333333333334,0.0858507113623076,0.0004150624740585954,0.9382321618743344,0.005555057578092687,0.009621641964227049,0.9273444490033456,0.9491198747453233,1878
base,True,0.64,0.05,3,AP,5.0,0.06841333333333334,0.04316897290976418,2.8624998210937613e-05,0.9910514541387024,0.0031496012652479123,0.005455269414992604,0.984878349044462,0.9972245592329428,894
base,True,0.64,0.05,3,AP,6.0,0.06841333333333334,0.02285129604365621,3.5781247763672017e-06,0.997872340425532,0.002125394901580974,0.0036812919556861003,0.9937066429326498,1.0020380379184142,470
base,True,0.64,0.05,3,SL,2.0,0.023953333333333333,0.3138046200946284,0.016269713879800828,0.32127083630146747,0.0055737346060647334,0.009653991525609019,0.3103465171280264,0.3321951554749085,7019
base,True,0.64,0.05,3,SL,3.0,0.023953333333333333,0.16267742833286947,0.0019363828232256655,0.6733870967741935,0.011255743916976285,0.01949552034118725,0.651326243903701,0.695447949644686,1736
base,True,0.64,0.05,3,SL,4.0,0.023953333333333333,0.0690231004731422,0.00021515364702507395,0.8872987477638641,0.013374988002973423,0.02316615877177416,0.8610842527776043,0.9135132427501239,559
base,True,0.64,0.05,3,SL,5.0,0.023953333333333333,0.027136097968271655,2.390596078056377e-05,0.9653465346534653,0.012868836155229985,0.02228947805513766,0.9401240790673161,0.9905689902396145,202
base,True,0.64,0.05,3,SL,6.0,0.023953333333333333,0.011689396047870892,0.0,1.0,0.0,0.0,1.0,1.0,84
base,True,0.64,0.1,3,AP,2.0,0.06755,0.306192943498643,0.03417520153001948,0.39359340310815094,0.0038909789063744167,0.006739373157019275,0.3859672245268977,0.4012195816894042,15765
base,True,0.64,0.1,3,AP,3.0,0.06755,0.1913644214162349,0.009226589450730155,0.6004025390927388,0.006094666946367048,0.010556272806318389,0.5884572112858695,0.6123478668996081,6459
base,True,0.64,0.1,3,AP,4.0,0.06755,0.11068344436220079,0.0022771551647094573,0.7788194444444444,0.007733847805257927,0.01339541733671178,0.7636613811646599,0.7939775077242289,2880
base,True,0.64,0.1,3,AP,5.0,0.06755,0.060893165556378026,0.0005397965932042826,0.8909747292418773,0.008374741166073719,0.014505477199878304,0.8745605380470548,0.9073889204366997,1385
base,True,0.64,0.1,3,AP,6.0,0.06755,0.030742659758203783,0.00010724435626575151,0.9540581929555896,0.00819284764547512,0.014190428380633955,0.9380005065129736,0.9701158793982055,653
base,True,0.64,0.1,3,SL,2.0,0.024316666666666667,0.3299520219328307,0.024160844536307888,0.2539297394239899,0.004470595598907705,0.007743298717401958,0.24516753299157235,0.2626919458564074,9479
base,True,0.64,0.1,3,SL,3.0,0.024316666666666667,0.18738862234407128,0.004434498898208093,0.5129455909943715,0.009682238659968844,0.01677012929007364,0.49396875178142435,0.5319224302073187,2665
base,True,0.64,0.1,3,SL,4.0,0.024316666666666667,0.08759424263193971,0.0007037802565723169,0.7562130177514793,0.014770628520985386,0.02558347905807263,0.7272631175929747,0.7851629179099839,845
base,True,0.64,0.1,3,SL,5.0,0.024316666666666667,0.04386566141192594,7.857740728720043e-05,0.9329446064139941,0.013505097598963395,0.023391515202581054,0.9064751013035395,0.9594141115244488,343
base,True,0.64,0.1,3,SL,6.0,0.024316666666666667,0.021384509938313867,6.83281802497395e-06,0.9873417721518988,0.008893888214310459,0.01540466626402375,0.969910071431826,1.0047734728719715,158
base,True,0.64,0.15,3,AP,2.0,0.06920666666666667,0.3104710528850785,0.05657181329188721,0.2897990378995639,0.0030418823775237467,0.005268694828519542,0.28383705794738295,0.29576101785174486,22243
base,True,0.64,0.15,3,AP,3.0,0.06920666666666667,0.21558616703593103,0.02179144672286723,0.42382350156235205,0.004808590192047094,0.008328722525402952,0.41439883789518667,0.4332481652295174,10561
base,True,0.64,0.15,3,AP,4.0,0.06920666666666667,0.1408342163568057,0.007778310974867317,0.5737833594976453,0.006927466999622287,0.01199872481110253,0.5602057735671976,0.5873609454280929,5096
base,True,0.64,0.15,3,AP,5.0,0.06920666666666667,0.0883826220980638,0.002861358411104506,0.6966590736522399,0.00895710711885198,0.015514164618688509,0.6791034661551463,0.7142146811493335,2634
base,True,0.64,0.15,3,AP,6.0,0.06920666666666667,0.05327039784221177,0.001160300532162528,0.7734265734265734,0.011069959000315818,0.019173731426251374,0.7517298523044784,0.7951232945486684,1430
base,True,0.64,0.15,3,SL,2.0,0.023916666666666666,0.3395121951219512,0.03846324596602066,0.17782319877363312,0.00326687400771544,0.005658391763289303,0.17142024332597514,0.1842261542212911,13699
base,True,0.64,0.15,3,SL,3.0,0.023916666666666666,0.21254355400696867,0.010405532314522325,0.33355205599300086,0.006972873980793115,0.012077372009508727,0.31988547401410966,0.34721863797189206,4572
base,True,0.64,0.15,3,SL,4.0,0.023916666666666666,0.12111498257839726,0.002742252198412021,0.5197368421052632,0.01221836940329706,0.021162836592155534,0.49578927793609945,0.5436844062744269,1672
base,True,0.64,0.15,3,SL,5.0,0.023916666666666666,0.06675958188153308,0.0007547169811320754,0.6842857142857143,0.017567777951620244,0.030428283988294558,0.6498535019405448,0.7187179266308837,700
base,True,0.64,0.15,3,SL,6.0,0.023916666666666666,0.03261324041811842,0.00021173055579270896,0.7905405405405406,0.023651909406837,0.04096630878865795,0.7441836495718787,0.8368974315092025,296
base,True,0.64,0.2,3,AP,2.0,0.06782,0.3270421704511943,0.08104300313959392,0.22695954703595062,0.002446291285766908,0.00423710079706128,0.22216490418233376,0.23175418988956747,29318
base,True,0.64,0.2,3,AP,3.0,0.06782,0.2419148727022511,0.03885158088209001,0.31177551149680116,0.0036866869068143335,0.006385529034201372,0.3045497378801737,0.3190012851134286,15787
base,True,0.64,0.2,3,AP,4.0,0.06782,0.16902585274746884,0.018083059781015112,0.4047787193973635,0.005325259908517772,0.009223620725062371,0.3943414016860254,0.4152160371087016,8496
base,True,0.64,0.2,3,AP,5.0,0.06782,0.11127494347783351,0.008413968689881068,0.49036170673597573,0.007357145804653942,0.012742950332352837,0.475941965816103,0.5047814476558485,4617
base,True,0.64,0.2,3,AP,6.0,0.06782,0.07593630197581835,0.0038940977064515435,0.5865603644646925,0.009595210921527611,0.01661939282542561,0.5677540964860915,0.6053666324432935,2634
base,True,0.64,0.2,3,SL,2.0,0.02429,0.34870317002881845,0.0545107323555838,0.13737362815591717,0.0025311180535540078,0.0043840250687103835,0.13241272789120123,0.1423345284206331,18497
base,True,0.64,0.2,3,SL,3.0,0.02429,0.23521339371483463,0.01913820021659441,0.23428102788408967,0.004951837858440031,0.008576834761661194,0.22457560394771012,0.2439864518204692,7316
base,True,0.64,0.2,3,SL,4.0,0.02429,0.14217098943323725,0.006579823923091903,0.349763673193788,0.008762548561634088,0.015177179312539826,0.3325893934647334,0.3669379529228426,2962
base,True,0.64,0.2,3,SL,5.0,0.02429,0.08659256209688482,0.002388004632524008,0.47443609022556393,0.013692281084282885,0.023715726509492233,0.4475997122224885,0.5012724682286394,1330
base,True,0.64,0.2,3,SL,6.0,0.02429,0.049951969260326634,0.0008438299631379542,0.5957446808510638,0.019853512474925592,0.03438729231527365,0.5568325111266588,0.6346568505754688,611
base,True,0.64,0.25,3,AP,2.0,0.06995333333333334,0.3460402172877156,0.10546424193768054,0.19793938072394243,0.002080212403260263,0.0036030335729817335,0.19386223930119884,0.20201652214668603,36688
base,True,0.64,0.25,3,AP,3.0,0.06995333333333334,0.2636043076336605,0.05758492405399012,0.2561229686559563,0.0029700107131809894,0.00514420945425335,0.25030185457850723,0.26194408273340536,21599
base,True,0.64,0.25,3,AP,4.0,0.06995333333333334,0.19603545220623275,0.03119915129706753,0.3209298697246275,0.004123208629064946,0.007141606835746902,0.3128485292471709,0.3290112102020841,12819
base,True,0.64,0.25,3,AP,5.0,0.06995333333333334,0.1414276184122748,0.017002731045753977,0.3848547717842324,0.005540561209758377,0.009596533517746792,0.3739954712733095,0.39571407229515526,7712
base,True,0.64,0.25,3,AP,6.0,0.06995333333333334,0.09911369484418187,0.009221759481603073,0.44702342574683,0.007288731997899323,0.012624454143114638,0.4327377734252993,0.46130907806836075,4653
base,True,0.64,0.25,3,SL,2.0,0.024066666666666667,0.36260387811634354,0.07275428649497917,0.10945273631840796,0.002018693055799109,0.0034964789375305314,0.10549617060199172,0.1134093020348242,23919
base,True,0.64,0.25,3,SL,3.0,0.024066666666666667,0.25761772853185594,0.030152332809618144,0.17402694610778444,0.003667270683251872,0.006351899148500073,0.16683922759035535,0.18121466462521352,10688
base,True,0.64,0.25,3,SL,4.0,0.024066666666666667,0.17396121883656512,0.0127809276589931,0.25130052020808324,0.006135533526834448,0.010627055800019526,0.23927509537469469,0.2633259450414718,4998
base,True,0.64,0.25,3,SL,5.0,0.024066666666666667,0.11620498614958452,0.005413621148985586,0.34612211221122113,0.009662659825585132,0.016736217754168073,0.327183646808828,0.36506057761361427,2424
base,True,0.64,0.25,3,SL,6.0,0.024066666666666667,0.06994459833795019,0.0024421067012774097,0.4139344262295082,0.014101293889346979,0.024424157468809507,0.38629639785296815,0.44157245460604827,1220
base,True,0.64,0.3,3,AP,2.0,0.06993666666666666,0.3534149945188504,0.12996247567369965,0.16976898596515327,0.0017963967196282682,0.0031114503889462237,0.1662481130649638,0.17328985886534276,43677
base,True,0.64,0.3,3,AP,3.0,0.06993666666666666,0.2813497926695582,0.07873298950967497,0.21179720856804563,0.002447387990577095,0.004239000345513428,0.2070004162124822,0.21659400092360906,27871
base,True,0.64,0.3,3,AP,4.0,0.06993666666666666,0.21867403841570943,0.04750930940186869,0.25711723828737953,0.0032717463792684377,0.005666830958372448,0.2507047331668831,0.263529743407876,17844
base,True,0.64,0.3,3,AP,5.0,0.06993666666666666,0.16648396167961488,0.028478347352689243,0.3053588600402133,0.004306173095387278,0.007458510587396906,0.2969189157954857,0.3137988042849409,11439
base,True,0.64,0.3,3,AP,6.0,0.06993666666666666,0.12501787331395076,0.01714936975618148,0.3540766738660907,0.005556337989971772,0.009623859702656239,0.3431864514339137,0.36496689629826773,7408
base,True,0.64,0.3,3,SL,2.0,0.024473333333333333,0.3756469626804685,0.09132161089052751,0.09354226020892688,0.001695838572219803,0.0029372785685197614,0.09021847765756466,0.0968660427602891,29484
base,True,0.64,0.3,3,SL,3.0,0.024473333333333333,0.2818033233451376,0.04310492110244722,0.1409016616725688,0.002871159431999662,0.0049729940128540135,0.135274292547589,0.1465290307975486,14684
base,True,0.64,0.3,3,SL,4.0,0.024473333333333333,0.2034867883410515,0.020491495192340548,0.19943932719263116,0.004616710345275321,0.007996376881845709,0.19039074111746396,0.20848791326779836,7491
base,True,0.64,0.3,3,SL,5.0,0.024473333333333333,0.13701988558975753,0.009847672026734276,0.2587448559670782,0.007023548637431053,0.012165143089461743,0.24497895348546428,0.2725107584486921,3888
base,True,0.64,0.3,3,SL,6.0,0.024473333333333333,0.09261781530918001,0.0048657477328485806,0.3231939163498099,0.010196258744655646,0.017660438192862036,0.3032096162755996,0.34317821642402013,2104
