cell,p_beat_cv,p_view_over,inherited_intercept_mm,inherited_slope,implied_offset_at_10mm,implied_offset_at_5mm,implied_offset_at_20mm
0,0.05,False,0.44072809271019026,0.9491746125670943,-0.0675257816188663,0.18660115554566198,-0.5757796559479229
1,0.05,True,0.4482538501809945,0.9656728762099721,0.10498261228071559,0.27661823123085505,-0.23828862561956332
2,0.1,False,0.45859222277573236,0.961580123258315,0.07439345535888225,0.2664928390673073,-0.30980531205796785
3,0.1,True,0.5021471312965444,0.9744715537725736,0.24686266902227993,0.3745049001594122,-0.008421793251984555
4,0.15,False,0.4287055757411432,0.9843936921870112,0.2726424976112555,0.35067403667619934,0.11657941948136774
5,0.15,True,0.4887169201831467,0.9931026640872835,0.4197435610559821,0.4542302406195644,0.35077020192881747
6,0.2,False,0.3535822676300344,1.0101000920390837,0.4545831880208713,0.40408272782545285,0.5555841084117081
7,0.2,True,0.5663191459193079,1.0047610562527927,0.6139297084472345,0.5901244271832712,0.6615402709751611
8,0.25,False,0.48889082614521173,1.0231393532693338,0.7202843588385498,0.6045875924918808,0.9516778915318879
9,0.25,True,0.5785276053892934,1.02172767293576,0.7958043347468939,0.6871659700680937,1.0130810641044945
10,0.3,False,0.2525276856371873,1.0712472485439672,0.9650001710768598,0.6087639283570235,1.677472656516532
11,0.3,True,0.547853385964543,1.0500012373507388,1.047865759471931,0.797859572718237,1.547878132979319
