cell,p_beat_cv,p_view_over,ref,metric,value,mcse,n
0,0.05,False,adj_tol1,p_adjudicated,0.448375,0.0028214619457394116,2000
0,0.05,False,adj_tol1,ref_ba_bias_vs_T1,-0.11628894136457442,0.008919360594863118,2000
0,0.05,False,adj_tol1,ref_mae_vs_T1,1.128578765885687,0.002759067478909272,2000
0,0.05,False,adj_tol2,p_adjudicated,0.12983499999999998,0.0021999787136857338,2000
0,0.05,False,adj_tol2,ref_ba_bias_vs_T1,-0.11613098200856158,0.008839146529829157,2000
0,0.05,False,adj_tol2,ref_mae_vs_T1,1.0881643499545188,0.0025097826894956293,2000
0,0.05,False,adj_tol3,p_adjudicated,0.0230225,0.0008628865994536931,2000
0,0.05,False,adj_tol3,ref_ba_bias_vs_T1,-0.11434741519877276,0.008663836712387145,2000
0,0.05,False,adj_tol3,ref_mae_vs_T1,1.0754459403559822,0.00233379834575966,2000
0,0.05,False,mean2,ref_ba_bias_vs_T1,-0.11341593724318305,0.008648617349679286,2000
0,0.05,False,mean2,ref_mae_vs_T1,1.072720672109662,0.0022770088771049296,2000
0,0.05,False,single,ref_ba_bias_vs_T1,-0.11390039890240865,0.008732135925366142,2000
0,0.05,False,single,ref_mae_vs_T1,1.202299285890181,0.002899729814838639,2000
1,0.05,True,adj_tol1,p_adjudicated,0.4564375,0.002824355951388754,2000
1,0.05,True,adj_tol1,ref_ba_bias_vs_T1,0.0830071217848741,0.008931410665867464,2000
1,0.05,True,adj_tol1,ref_mae_vs_T1,1.2077000298157763,0.0028288655243000325,2000
1,0.05,True,adj_tol2,p_adjudicated,0.14135000000000003,0.002206980206258182,2000
1,0.05,True,adj_tol2,ref_ba_bias_vs_T1,0.0838337423786514,0.00878928244554667,2000
1,0.05,True,adj_tol2,ref_mae_vs_T1,1.1669787632241628,0.002540917258281442,2000
1,0.05,True,adj_tol3,p_adjudicated,0.031625,0.0008660930932198117,2000
1,0.05,True,adj_tol3,ref_ba_bias_vs_T1,0.08298607013901137,0.008562049852007654,2000
1,0.05,True,adj_tol3,ref_mae_vs_T1,1.1501732421305428,0.0023305394640222767,2000
1,0.05,True,mean2,ref_ba_bias_vs_T1,0.0849252344432954,0.008503726787308447,2000
1,0.05,True,mean2,ref_mae_vs_T1,1.1444610053404392,0.0022362136222724783,2000
1,0.05,True,single,ref_ba_bias_vs_T1,0.08416331620452039,0.008626220313189815,2000
1,0.05,True,single,ref_mae_vs_T1,1.2768321247854424,0.0028959725212137043,2000
2,0.1,False,adj_tol1,p_adjudicated,0.47523000000000004,0.0024538356107535607,2000
2,0.1,False,adj_tol1,ref_ba_bias_vs_T1,0.03480866469349615,0.008732514386705534,2000
2,0.1,False,adj_tol1,ref_mae_vs_T1,1.2093188461609292,0.002606373363493249,2000
2,0.1,False,adj_tol2,p_adjudicated,0.15633249999999999,0.0020462189467073,2000
2,0.1,False,adj_tol2,ref_ba_bias_vs_T1,0.0347794906884178,0.008674320513441471,2000
2,0.1,False,adj_tol2,ref_mae_vs_T1,1.1658131293903642,0.0023728280851143184,2000
2,0.1,False,adj_tol3,p_adjudicated,0.036215000000000004,0.0008502269287756107,2000
2,0.1,False,adj_tol3,ref_ba_bias_vs_T1,0.034676293768435375,0.008538633269204354,2000
2,0.1,False,adj_tol3,ref_mae_vs_T1,1.1478214227803392,0.0021924419027161343,2000
2,0.1,False,mean2,ref_ba_bias_vs_T1,0.03360615197389529,0.00852316828374842,2000
2,0.1,False,mean2,ref_mae_vs_T1,1.141257508808397,0.002114573721938265,2000
2,0.1,False,single,ref_ba_bias_vs_T1,0.03420885221157834,0.008611709513828236,2000
2,0.1,False,single,ref_mae_vs_T1,1.279785656185713,0.0027273406424737604,2000
3,0.1,True,adj_tol1,p_adjudicated,0.4917825,0.0024237635841457216,2000
3,0.1,True,adj_tol1,ref_ba_bias_vs_T1,0.22812175688092445,0.008906646862047769,2000
3,0.1,True,adj_tol1,ref_mae_vs_T1,1.2963587408916641,0.0028371954060199297,2000
3,0.1,True,adj_tol2,p_adjudicated,0.1751825,0.0021148672366343223,2000
3,0.1,True,adj_tol2,ref_ba_bias_vs_T1,0.22769104002691365,0.008781270960145597,2000
3,0.1,True,adj_tol2,ref_mae_vs_T1,1.2504260053256282,0.0025968075112619764,2000
3,0.1,True,adj_tol3,p_adjudicated,0.048385000000000004,0.0009425511067281163,2000
3,0.1,True,adj_tol3,ref_ba_bias_vs_T1,0.2245952449498062,0.00859441375808645,2000
3,0.1,True,adj_tol3,ref_mae_vs_T1,1.230226312905048,0.0024140223644696364,2000
3,0.1,True,mean2,ref_ba_bias_vs_T1,0.22561232354807503,0.008568644426027582,2000
3,0.1,True,mean2,ref_mae_vs_T1,1.220728184607093,0.0023647091053939605,2000
3,0.1,True,single,ref_ba_bias_vs_T1,0.22630883786684483,0.008631382410485978,2000
3,0.1,True,single,ref_mae_vs_T1,1.3665258508121187,0.0029282666089452724,2000
4,0.15,False,adj_tol1,p_adjudicated,0.5130225,0.002115937048135137,2000
4,0.15,False,adj_tol1,ref_ba_bias_vs_T1,0.25619415913763216,0.008603544184759587,2000
4,0.15,False,adj_tol1,ref_mae_vs_T1,1.3556970057662352,0.002765764639357566,2000
4,0.15,False,adj_tol2,p_adjudicated,0.19835,0.001929608235878979,2000
4,0.15,False,adj_tol2,ref_ba_bias_vs_T1,0.25631892454617106,0.00855940158572912,2000
4,0.15,False,adj_tol2,ref_mae_vs_T1,1.30660946289632,0.0025755726045572132,2000
4,0.15,False,adj_tol3,p_adjudicated,0.06157500000000001,0.0009380429893266686,2000
4,0.15,False,adj_tol3,ref_ba_bias_vs_T1,0.25683534150493564,0.008398329961310045,2000
4,0.15,False,adj_tol3,ref_mae_vs_T1,1.2819353798484636,0.0024507521192626072,2000
4,0.15,False,mean2,ref_ba_bias_vs_T1,0.2550650694193268,0.008346441692266927,2000
4,0.15,False,mean2,ref_mae_vs_T1,1.2647183302708267,0.0023625649288976864,2000
4,0.15,False,single,ref_ba_bias_vs_T1,0.25434298778978803,0.008401888853796318,2000
4,0.15,False,single,ref_mae_vs_T1,1.4207058128015786,0.002909486874945978,2000
5,0.15,True,adj_tol1,p_adjudicated,0.524195,0.002012762801362166,2000
5,0.15,True,adj_tol1,ref_ba_bias_vs_T1,0.4016362891389348,0.008923563485000723,2000
5,0.15,True,adj_tol1,ref_mae_vs_T1,1.4346749114098905,0.003086230839424439,2000
5,0.15,True,adj_tol2,p_adjudicated,0.21256,0.0018656502956108244,2000
5,0.15,True,adj_tol2,ref_ba_bias_vs_T1,0.4015833292816177,0.008853605143760058,2000
5,0.15,True,adj_tol2,ref_mae_vs_T1,1.386454785322039,0.002922545922587544,2000
5,0.15,True,adj_tol3,p_adjudicated,0.07216,0.0009502137407323356,2000
5,0.15,True,adj_tol3,ref_ba_bias_vs_T1,0.4000671665006369,0.00874140622358156,2000
5,0.15,True,adj_tol3,ref_mae_vs_T1,1.361092672843969,0.0028231271846259546,2000
5,0.15,True,mean2,ref_ba_bias_vs_T1,0.40155872668008985,0.008693858595380024,2000
5,0.15,True,mean2,ref_mae_vs_T1,1.3419185684081054,0.0027862433454764485,2000
5,0.15,True,single,ref_ba_bias_vs_T1,0.401419570554506,0.008789804598999102,2000
5,0.15,True,single,ref_mae_vs_T1,1.503953678174727,0.0031402446692616608,2000
6,0.2,False,adj_tol1,p_adjudicated,0.5407125,0.0018195075503382415,2000
6,0.2,False,adj_tol1,ref_ba_bias_vs_T1,0.47258605388042657,0.00889705920196453,2000
6,0.2,False,adj_tol1,ref_mae_vs_T1,1.538366720150328,0.0031380803185007294,2000
6,0.2,False,adj_tol2,p_adjudicated,0.23216750000000003,0.0017385751475408886,2000
