p_beat_cv,p_view_over,ai,ref,m,apparent,true,diff,mcse_diff
0.05,False,independent,adj_tol1,icc,0.8604757562222053,0.9088541284968737,-0.04837837227466846,0.00031721437146049834
0.05,False,independent,adj_tol1,loa_width,9.605448699092745,7.832601925978931,1.7728467731138138,0.020377974462990445
0.05,False,independent,adj_tol1,mae,1.9714702320278608,1.5959180721994068,0.3755521598284536,0.0023188165765213446
0.05,False,independent,adj_tol2,icc,0.8631110336534321,0.9088541284968737,-0.04574309484344166,0.00029934907636659753
0.05,False,independent,adj_tol2,loa_width,9.5009485990965,7.832601925978931,1.668346673117569,0.0199063371141456
0.05,False,independent,adj_tol2,mae,1.9496025782021684,1.5959180721994068,0.3536845060027614,0.002205373044453248
0.05,False,independent,adj_tol3,icc,0.8638738096960271,0.9088541284968737,-0.044980318800846505,0.00029163994466509225
0.05,False,independent,adj_tol3,loa_width,9.472817778292544,7.832601925978931,1.640215852313613,0.019474476425688454
0.05,False,independent,adj_tol3,mae,1.9427783926080442,1.5959180721994068,0.3468603204086374,0.00213367894693415
0.05,False,independent,mean2,icc,0.8640228439020923,0.9088541284968737,-0.04483128459478142,0.0002883461146906931
0.05,False,independent,mean2,loa_width,9.466332155933534,7.832601925978931,1.6337302299546033,0.01940366779754628
0.05,False,independent,mean2,mae,1.9412458009435407,1.5959180721994068,0.3453277287441338,0.0021068468963749737
0.05,False,independent,single,icc,0.855507171441033,0.9088541284968737,-0.053346957055840735,0.0003485312853813587
0.05,False,independent,single,loa_width,9.810507041606172,7.832601925978931,1.9779051156272414,0.020585060891828353
0.05,False,independent,single,mae,2.012977011287853,1.5959180721994068,0.4170589390884461,0.0025116101644000223
0.05,False,inherited,adj_tol1,icc,0.8553144486314452,0.9031102920022798,-0.04779584337083459,0.0003164368454695358
0.05,False,inherited,adj_tol1,loa_width,9.568763038243635,7.8821076467258955,1.6866553915177411,0.02040636638383336
0.05,False,inherited,adj_tol1,mae,1.9618082346685388,1.6081180824757917,0.3536901521927472,0.002291628804491527
0.05,False,inherited,adj_tol2,icc,0.8580489403953638,0.9031102920022798,-0.04506135160691593,0.0002965579405739169
0.05,False,inherited,adj_tol2,loa_width,9.464108285132138,7.8821076467258955,1.5820006384062433,0.019920635473617068
0.05,False,inherited,adj_tol2,mae,1.9398027409606946,1.6081180824757917,0.3316846584849028,0.002169091880103237
0.05,False,inherited,adj_tol3,icc,0.8588449905983193,0.9031102920022798,-0.04426530140396047,0.0002884922427170377
0.05,False,inherited,adj_tol3,loa_width,9.435432548882439,7.8821076467258955,1.5533249021565445,0.01948640331927068
0.05,False,inherited,adj_tol3,mae,1.9329302308309788,1.6081180824757917,0.32481214835518724,0.002095177005020097
0.05,False,inherited,mean2,icc,0.8590031522320151,0.9031102920022798,-0.04410713977026475,0.00028523103148390337
0.05,False,inherited,mean2,loa_width,9.428633676085468,7.8821076467258955,1.5465260293595757,0.01941051318286475
0.05,False,inherited,mean2,mae,1.9313801341749501,1.6081180824757917,0.3232620516991585,0.0020686007763887813
0.05,False,inherited,single,icc,0.8501710185775507,0.9031102920022798,-0.05293927342472901,0.00034798590234108774
0.05,False,inherited,single,loa_width,9.773376607393047,7.8821076467258955,1.891268960667153,0.02059020822540207
0.05,False,inherited,single,mae,2.0032350494815265,1.6081180824757917,0.3951169670057346,0.0024743892363654325
0.05,True,independent,adj_tol1,icc,0.8531152251546223,0.9082230434126158,-0.05510781825799364,0.0003429890109835994
0.05,True,independent,adj_tol1,loa_width,9.922793348694857,7.829115727745204,2.093677620949652,0.02101689854062926
0.05,True,independent,adj_tol1,mae,2.026681213492455,1.5951554972721202,0.4315257162203344,0.0024562897693949154
0.05,True,independent,adj_tol2,icc,0.8558430408819713,0.9082230434126158,-0.05238000253064462,0.0003191882508178549
0.05,True,independent,adj_tol2,loa_width,9.812780656200502,7.829115727745204,1.983664928455299,0.020388780217580886
0.05,True,independent,adj_tol2,mae,2.0036201321012017,1.5951554972721202,0.40846463482908124,0.0023144043972303137
0.05,True,independent,adj_tol3,icc,0.8570030194024928,0.9082230434126158,-0.051220024010123114,0.00031006713406211576
0.05,True,independent,adj_tol3,loa_width,9.769853944671675,7.829115727745204,1.9407382169264717,0.019819583555909154
