cell,p_beat_cv,p_sigma_rb_mm,p_ai_draft_sigma_mm,sentinel_n,anchor_alpha,metric,value,mcse,n,test,lo95_mc,hi95_mc,nominal_outside_mc95
0,0.05,0.0,1.0,10,0.0,power_reject_welch_mean,0.0425,0.0045107510461119445,2000,welch_mean,0.03365909033665825,0.051340909663341754,False
0,0.05,0.0,1.0,10,0.0,power_reject_f_variance,0.073,0.005816829033072916,2000,f_variance,0.06159922450102227,0.08440077549897772,True
0,0.05,0.0,1.0,10,0.0,power_reject_either_unadjusted,0.1155,0.007147018609182433,2000,either_unadjusted,0.10149210081867237,0.12950789918132766,True
0,0.05,0.0,1.0,25,0.0,power_reject_welch_mean,0.052,0.004964675215963275,2000,welch_mean,0.04226941530501975,0.061730584694980245,False
0,0.05,0.0,1.0,25,0.0,power_reject_f_variance,0.0895,0.006383171233799075,2000,f_variance,0.07698921417591822,0.10201078582408177,True
0,0.05,0.0,1.0,25,0.0,power_reject_either_unadjusted,0.141,0.007781998457979801,2000,either_unadjusted,0.12574756317430408,0.1562524368256959,True
0,0.05,0.0,1.0,50,0.0,power_reject_welch_mean,0.0515,0.004942051699446294,2000,welch_mean,0.04181375658294644,0.06118624341705355,False
0,0.05,0.0,1.0,50,0.0,power_reject_f_variance,0.102,0.0067674219611311365,2000,f_variance,0.08873609658337357,0.11526390341662641,True
0,0.05,0.0,1.0,50,0.0,power_reject_either_unadjusted,0.1515,0.008017098914195832,2000,either_unadjusted,0.13578677474373707,0.16721322525626292,True
0,0.05,0.0,1.0,100,0.0,power_reject_welch_mean,0.051,0.004919298730510275,2000,welch_mean,0.04135835158295416,0.060641648417045835,False
0,0.05,0.0,1.0,100,0.0,power_reject_f_variance,0.1165,0.007173832657652393,2000,f_variance,0.102439546248977,0.13056045375102301,True
0,0.05,0.0,1.0,100,0.0,power_reject_either_unadjusted,0.165,0.008299849396224006,2000,either_unadjusted,0.14873259397797922,0.1812674060220208,True
1,0.05,0.0,2.0,10,0.0,power_reject_welch_mean,0.0375,0.004248161366991607,2000,welch_mean,0.02917375665450566,0.04582624334549434,True
1,0.05,0.0,2.0,10,0.0,power_reject_f_variance,0.0625,0.005412658773652742,2000,f_variance,0.05189138365935648,0.07310861634064353,True
1,0.05,0.0,2.0,10,0.0,power_reject_either_unadjusted,0.1,0.00670820393249937,2000,either_unadjusted,0.08685216178764281,0.1131478382123572,True
1,0.05,0.0,2.0,25,0.0,power_reject_welch_mean,0.0405,0.004407933189148856,2000,welch_mean,0.031860609634863056,0.049139390365136947,True
1,0.05,0.0,2.0,25,0.0,power_reject_f_variance,0.064,0.005472842040475863,2000,f_variance,0.05327342662298077,0.07472657337701924,True
1,0.05,0.0,2.0,25,0.0,power_reject_either_unadjusted,0.104,0.0068258332824644935,2000,either_unadjusted,0.09062161249636776,0.11737838750363223,True
1,0.05,0.0,2.0,50,0.0,power_reject_welch_mean,0.0445,0.004610843198374892,2000,welch_mean,0.03546291332154035,0.05353708667845965,False
1,0.05,0.0,2.0,50,0.0,power_reject_f_variance,0.0605,0.005331029450303197,2000,f_variance,0.05005137419446594,0.07094862580553406,True
1,0.05,0.0,2.0,50,0.0,power_reject_either_unadjusted,0.1045,0.006840312492861711,2000,either_unadjusted,0.09109323376524078,0.11790676623475921,True
1,0.05,0.0,2.0,100,0.0,power_reject_welch_mean,0.043,0.004536022486716748,2000,welch_mean,0.03410955922284469,0.0518904407771553,False
1,0.05,0.0,2.0,100,0.0,power_reject_f_variance,0.072,0.005779965397820302,2000,f_variance,0.06067147589902652,0.08332852410097347,True
1,0.05,0.0,2.0,100,0.0,power_reject_either_unadjusted,0.113,0.0070792301841372555,2000,either_unadjusted,0.0991249636913776,0.1268750363086224,True
2,0.05,0.0,3.0,10,0.0,power_reject_welch_mean,0.0575,0.005205465877325487,2000,welch_mean,0.04729747427721363,0.06770252572278637,False
2,0.05,0.0,3.0,10,0.0,power_reject_f_variance,0.0545,0.005075911248239078,2000,f_variance,0.044551396686256343,0.06444860331374366,False
2,0.05,0.0,3.0,10,0.0,power_reject_either_unadjusted,0.112,0.007051808278732484,2000,either_unadjusted,0.09817870963878236,0.12582129036121764,True
2,0.05,0.0,3.0,25,0.0,power_reject_welch_mean,0.045,0.004635461142108733,2000,welch_mean,0.03591466303806799,0.054085336961932004,False
2,0.05,0.0,3.0,25,0.0,power_reject_f_variance,0.052,0.004964675215963275,2000,f_variance,0.04226941530501975,0.061730584694980245,False
2,0.05,0.0,3.0,25,0.0,power_reject_either_unadjusted,0.0955,0.006571900410079264,2000,either_unadjusted,0.08261931178465941,0.1083806882153406,True
2,0.05,0.0,3.0,50,0.0,power_reject_welch_mean,0.0545,0.005075911248239078,2000,welch_mean,0.044551396686256343,0.06444860331374366,False
2,0.05,0.0,3.0,50,0.0,power_reject_f_variance,0.053,0.005009540897128199,2000,f_variance,0.043181480185101026,0.06281851981489897,False
