u_level,variant,p_K,p_beat_cv,p_view_over,estimator,metric,value,mcse,n,lo,hi
base,median/triggered,3,0.15,True,A1,bias_mm,-0.19372512360664582,0.006434021861417179,100000,-0.20633580645502347,-0.18111444075826816
base,median/triggered,3,0.15,True,A1,rmse_mm,2.043808151025559,0.006950953139792385,100000,2.030184282871566,2.057432019179552
base,median/triggered,3,0.15,True,A2,bias_mm,-1.1732660664785404,0.005910545759605407,100000,-1.184850736167367,-1.1616813967897137
base,median/triggered,3,0.15,True,A2,rmse_mm,2.20680163264345,0.006536880171225924,100000,2.193989347507847,2.219613917779053
base,median/triggered,3,0.15,True,A3,bias_mm,0.5566515826124426,0.0064902205102513886,100000,0.54393075041235,0.5693724148125353
base,median/triggered,3,0.15,True,A3,rmse_mm,2.1265265313725683,0.008761783471031714,100000,2.109353435769346,2.1436996269757906
base,median/triggered,3,0.15,True,A5,bias_mm,-1.1214316991274051,0.006305043232116579,100000,-1.1337895838623537,-1.1090738143924566
base,median/triggered,3,0.15,True,A5,rmse_mm,2.2875590305221696,0.007245159473502364,100000,2.273358517954105,2.3017595430902342
base,median/triggered,3,0.15,True,A6,bias_mm,-0.23830341191681917,0.007750875383024165,100000,-0.25349512766754656,-0.2231116961660918
base,median/triggered,3,0.15,True,A6,rmse_mm,2.462587127469604,0.0082426187800917,100000,2.4464315946606243,2.4787426602785834
base,median/triggered,3,0.15,True,A7,bias_mm,0.272334110896649,0.005431775487585407,100000,0.2616878309409816,0.2829803908523164
base,median/triggered,3,0.15,True,A7,rmse_mm,1.7391247392082863,0.005290696692104389,100000,1.7287549736917616,1.749494504724811
base,median/triggered,3,0.15,True,A4,bias_mm,0.4273314622728422,0.006232350576461475,100000,0.41511605514297767,0.4395468694027067
base,median/triggered,3,0.15,True,A4,rmse_mm,2.016629045522876,0.00741493804726665,100000,2.0020957669502337,2.0311623240955186
base,mean/triggered,3,0.15,True,A1,bias_mm,-0.31280096859218715,0.006396659563389659,100000,-0.32533842133643087,-0.3002635158479434
base,mean/triggered,3,0.15,True,A1,rmse_mm,2.0468338686100247,0.006633264171764883,100000,2.0338326708333656,2.059835066386684
base,mean/triggered,3,0.15,True,A2,bias_mm,-1.2791367992526785,0.005896631575413518,100000,-1.290694197140489,-1.267579401364868
base,mean/triggered,3,0.15,True,A2,rmse_mm,2.261234745565976,0.0062890234948892315,100000,2.2489082595159933,2.273561231615959
base,mean/triggered,3,0.15,True,A3,bias_mm,0.42933233473402493,0.006438560795774239,100000,0.4167127555743074,0.44195191389374244
base,mean/triggered,3,0.15,True,A3,rmse_mm,2.0808150592186583,0.007900602647042806,100000,2.0653298780304543,2.0963002404068622
base,mean/triggered,3,0.15,True,A5,bias_mm,-1.2217590458084517,0.006262037275521863,100000,-1.2340326388684746,-1.209485452748429
base,mean/triggered,3,0.15,True,A5,rmse_mm,2.3267932948387284,0.007008877011151385,100000,2.3130558958968717,2.340530693780585
base,mean/triggered,3,0.15,True,A6,bias_mm,-0.35096310222696525,0.007687128673807609,100000,-0.3660298744276282,-0.3358963300263023
base,mean/triggered,3,0.15,True,A6,rmse_mm,2.456076287891938,0.008049001788124562,100000,2.440300244387214,2.4718523313966623
base,mean/triggered,3,0.15,True,A7,bias_mm,0.15065201974938447,0.005393379577345894,100000,0.14008099577778652,0.16122304372098242
base,mean/triggered,3,0.15,True,A7,rmse_mm,1.7121685866305578,0.004922385064261369,100000,1.7025207119046055,1.7218164613565101
base,mean/triggered,3,0.15,True,A4,bias_mm,0.2987692636137566,0.006180277183173538,100000,0.28665592033473647,0.31088260689277675
base,mean/triggered,3,0.15,True,A4,rmse_mm,1.9770704294839347,0.00696496448208987,100000,1.9634190990990386,1.990721759868831
base,median/all_higher,3,0.15,True,A1,bias_mm,-0.2133634752276646,0.006405713389756935,100000,-0.2259186734715882,-0.200808276983741
base,median/all_higher,3,0.15,True,A1,rmse_mm,2.0368601676522426,0.006522783343411764,100000,2.0240755122991554,2.04964482300533
base,median/all_higher,3,0.15,True,A2,bias_mm,-1.1900510945405318,0.005899339225392797,100000,-1.2016137994223017,-1.178488389658762
base,median/all_higher,3,0.15,True,A2,rmse_mm,2.2127826678279163,0.006370288610819647,100000,2.20029690215071,2.2252684335051227
base,median/all_higher,3,0.15,True,A3,bias_mm,0.5348479987187685,0.006453186795870716,100000,0.522199752598862,0.5474962448386751
base,median/all_higher,3,0.15,True,A3,rmse_mm,2.1095930224461936,0.008017028069127042,100000,2.0938796474307044,2.125306397461683
base,median/all_higher,3,0.15,True,A5,bias_mm,-1.1313931240524753,0.006263548878701542,100000,-1.1436696798547303,-1.1191165682502202
base,median/all_higher,3,0.15,True,A5,rmse_mm,2.2810558135865504,0.007002703828324003,100000,2.2673305140830355,2.2947811130900653
base,median/all_higher,3,0.15,True,A6,bias_mm,-0.2520682541046108,0.007709594165875892,100000,-0.2671790586697276,-0.23695744953949407
base,median/all_higher,3,0.15,True,A6,rmse_mm,2.4509718862393965,0.007756926383057926,100000,2.435768310528603,2.46617546195019
base,median/all_higher,3,0.15,True,A7,bias_mm,0.2515066043184146,0.005417029537661646,100000,0.24088922642459776,0.26212398221223143
base,median/all_higher,3,0.15,True,A7,rmse_mm,1.73137145898754,0.005151643409958467,100000,1.7212742379040213,1.7414686800710586
base,median/all_higher,3,0.15,True,A4,bias_mm,0.2805390713642398,0.006222138959319499,100000,0.26834367900397355,0.292734463724506
base,median/all_higher,3,0.15,True,A4,rmse_mm,1.9875021455225743,0.006840487432797889,100000,1.9740947901542905,2.000909500890858
base,median/adj_only,3,0.15,True,A1,bias_mm,-0.20809850669291802,0.006391675971245376,100000,-0.22062619159655894,-0.1955708217892771
base,median/adj_only,3,0.15,True,A1,rmse_mm,2.0318996793901154,0.006607136515056734,100000,2.018949691820604,2.0448496669596268
base,median/adj_only,3,0.15,True,A2,bias_mm,-1.1795125498174852,0.005862011321867376,100000,-1.1910020920083453,-1.1680230076266251
base,median/adj_only,3,0.15,True,A2,rmse_mm,2.1971648016865597,0.006263774555449052,100000,2.1848878035578796,2.20944179981524
base,median/adj_only,3,0.15,True,A3,bias_mm,0.5422589610210015,0.006436233946331804,100000,0.5296439424861912,0.5548739795558117
base,median/adj_only,3,0.15,True,A3,rmse_mm,2.1063034199496404,0.008212589673048021,100000,2.0902067441904664,2.1224000957088145
base,median/adj_only,3,0.15,True,A5,bias_mm,-1.12241835129517,0.0062434088026102645,100000,-1.134655432548286,-1.110181270042054
base,median/adj_only,3,0.15,True,A5,rmse_mm,2.271078889607718,0.007002587722114539,100000,2.2573538176723735,2.284803961543062
base,median/adj_only,3,0.15,True,A6,bias_mm,-0.249255194371478,0.0077005662498694965,100000,-0.26434830422122224,-0.2341620845217338
base,median/adj_only,3,0.15,True,A6,rmse_mm,2.4478441351653726,0.008383228685191788,100000,2.4314130069423965,2.4642752633883487
base,median/adj_only,3,0.15,True,A7,bias_mm,0.2614368816043833,0.00540475893221235,100000,0.25084355409724707,0.2720302091115195
base,median/adj_only,3,0.15,True,A7,rmse_mm,1.729006056431506,0.0052149529651742185,100000,1.7187847486197645,1.7392273642432474
base,median/adj_only,3,0.15,True,A4,bias_mm,0.4849304570842651,0.006246616209452259,100000,0.47268708931373865,0.4971738248547915
base,median/adj_only,3,0.15,True,A4,rmse_mm,2.0339960508351678,0.006995600772245143,100000,2.020284673321567,2.0477074283487684
low,median/triggered,3,0.15,True,A1,bias_mm,0.03307812286580499,0.006352522212031077,100000,0.02062717933022408,0.045529066401385904
low,median/triggered,3,0.15,True,A1,rmse_mm,2.00910618263662,0.006500142843603418,100000,1.9963659026631575,2.0218464626100827
low,median/triggered,3,0.15,True,A2,bias_mm,-0.24474499664666266,0.005310144458710173,100000,-0.2551528797857346,-0.23433711350759073
low,median/triggered,3,0.15,True,A2,rmse_mm,1.6969488303972038,0.005033498016504275,100000,1.6870831742848553,1.7068144865095523
low,median/triggered,3,0.15,True,A3,bias_mm,1.069059962227561,0.006472764406374434,100000,1.056373343991067,1.081746580464055
