p_beat_noise_centering,p_beat_cv,p_window,p_N_beats,value,mcse
median,0.05,,1,1.929463014159141,0.005364337751393811
median,0.05,,3,1.699489532798488,0.005253967222677955
median,0.05,,5,1.6501993464823905,0.005442699730373483
median,0.05,,7,1.6183317169283482,0.005251567288334267
median,0.05,,10,1.6049660769238068,0.00581414015640227
median,0.05,,13,1.5920807042142189,0.0052594655737246065
median,0.05,0.1,1,1.9475136061352085,0.005423027464685235
median,0.05,0.1,3,1.7212647187792984,0.005184249929223915
median,0.05,0.1,5,1.6642496545355716,0.005130683591906031
median,0.05,0.1,7,1.6438061896272174,0.0052349111260253595
median,0.05,0.1,10,1.6152441547503085,0.0052038558622719815
median,0.05,0.1,13,1.6119307759578583,0.005333999973849564
median,0.05,0.15,1,1.9398798868951321,0.005688159699859632
median,0.05,0.15,3,1.7066411511068498,0.005088280692009989
median,0.05,0.15,5,1.6509752504753274,0.004893553089194204
median,0.05,0.15,7,1.6294015789392988,0.005409797811181819
median,0.05,0.15,10,1.606777624018576,0.005434002664706165
median,0.05,0.15,13,1.5931242194809863,0.005042771975783137
median,0.05,0.2,1,1.9493020609260776,0.005557430498185373
median,0.05,0.2,3,1.7116685262155469,0.0050479331518954555
median,0.05,0.2,5,1.6455903508756091,0.005038560360936186
median,0.05,0.2,7,1.6359347199491354,0.005412742199300669
median,0.05,0.2,10,1.5997908322750893,0.005136355508161216
median,0.05,0.2,13,1.588036141602816,0.004917953719341022
median,0.05,0.25,1,1.941490360766901,0.005493609568313639
median,0.05,0.25,3,1.7082071054665546,0.005137637611653069
median,0.05,0.25,5,1.641173187236057,0.005092398961963482
median,0.05,0.25,7,1.621855786076666,0.0050663407443136
median,0.05,0.25,10,1.6029457497514117,0.00526479495395177
median,0.05,0.25,13,1.5854185139305947,0.0048241607401181925
median,0.1,,1,2.17568729846043,0.006486164410405072
median,0.1,,3,1.7864713831327501,0.005655076738116087
median,0.1,,5,1.6938212140327578,0.006295254758515443
median,0.1,,7,1.6590748006768272,0.0055602787026031095
median,0.1,,10,1.629175834296983,0.005055379231685075
median,0.1,,13,1.6179082747636462,0.005309915268920562
median,0.1,0.1,1,2.176563894328149,0.00672879657445758
median,0.1,0.1,3,1.8603138520897835,0.006348621155154526
median,0.1,0.1,5,1.7530935824639564,0.0057730155105024435
median,0.1,0.1,7,1.7115106492046923,0.0054206135950128215
median,0.1,0.1,10,1.68203251667287,0.005361781235363897
median,0.1,0.1,13,1.6567082067893601,0.005310691611503073
median,0.1,0.15,1,2.180253193274577,0.006565059861002323
median,0.1,0.15,3,1.8410302566070302,0.005677521395804479
median,0.1,0.15,5,1.7453671179408516,0.005963051114607199
median,0.1,0.15,7,1.6861815870309276,0.005329154437842228
