centering,beat_cv,N,rmse_nowindow,rmse_w15,diff,diff_lo,diff_hi
mean,0.05,1,1.9493257420596928,1.9509051586008932,0.001579416541200418,-0.013630508384646758,0.016789341467047594
mean,0.05,3,1.6970224390712483,1.7196775308189833,0.022655091747735057,0.008262400411386006,0.03704778308408411
mean,0.05,5,1.6444751591529094,1.6566910018454784,0.012215842692568923,-0.002403327884726563,0.02683501326986441
mean,0.05,7,1.6318694006541177,1.6270248503395677,-0.00484455031455,-0.019317433116375127,0.009628332487275126
mean,0.05,10,1.6087123309875961,1.6101825633692637,0.0014702323816675467,-0.012998251464952431,0.015938716228287526
mean,0.05,13,1.6082750643100383,1.6010332924739892,-0.007241771836049127,-0.021875266954692024,0.007391723282593771
mean,0.1,1,2.1752194494077544,2.16375535252059,-0.01146409688716421,-0.02882625806445367,0.005898064290125248
mean,0.1,3,1.797451515888386,1.8336796784603788,0.036228162571992906,0.020478438318205155,0.05197788682578065
mean,0.1,5,1.7020558725225385,1.7321258524348073,0.030069979912268785,0.015677999384216275,0.044461960440321295
mean,0.1,7,1.6732754620302457,1.7015208500873629,0.028245388057117182,0.012984544661976537,0.04350623145225783
mean,0.1,10,1.6368520677101976,1.6717715857213529,0.034919518011155226,0.019542251443261653,0.0502967845790488
mean,0.1,13,1.6219959825023094,1.6422730850619465,0.020277102559637106,0.0051210378136847656,0.035433167305589444
mean,0.15,1,2.498298193732449,2.5189053878051095,0.02060719407266065,-0.0005176120688075402,0.041732000214128845
mean,0.15,3,1.9360127822228372,2.034892337560305,0.09887955533746795,0.08158764781495371,0.11617146285998219
mean,0.15,5,1.7969193233142513,1.8957495007232736,0.09883017740902234,0.08230942542638792,0.11535092939165675
mean,0.15,7,1.7319034440076368,1.8183230877105474,0.08641964370291055,0.0710751283627459,0.1017641590430752
mean,0.15,10,1.6931221255808644,1.7662277415518741,0.07310561597100973,0.057969043660908326,0.08824218828111113
mean,0.15,13,1.6574575187099063,1.717495543845457,0.06003802513555079,0.04513260799365271,0.07494344227744887
mean,0.2,1,2.9303174103987555,2.9551052956626833,0.024787885263927834,-0.0020513018352527126,0.05162707236310838
mean,0.2,3,2.1123748698111364,2.288298522637969,0.17592365282683264,0.15707583703757877,0.19477146861608652
mean,0.2,5,1.9192950417473162,2.088564171576028,0.16926912982871167,0.15170109363381354,0.1868371660236098
mean,0.2,7,1.8200166852342046,1.9990499877277763,0.17903330249357174,0.16194051016165456,0.19612609482548893
mean,0.2,10,1.7423049877200458,1.898717695579149,0.1564127078591031,0.140444980716736,0.1723804350014702
mean,0.2,13,1.7064318922944433,1.8517598710076129,0.1453279787131696,0.1292316957686826,0.1614242616576566
mean,0.25,1,3.4111330680541094,3.3927906342429086,-0.01834243381120082,-0.053879614851637884,0.017194747229236244
mean,0.25,3,2.3576432407685335,2.5590392241672366,0.20139598339870313,0.1793035428569939,0.22348842394041235
mean,0.25,5,2.066767432736491,2.316781805363515,0.2500143726270241,0.23038783275787525,0.26964091249617295
mean,0.25,7,1.9383413512225258,2.173930564902055,0.235589213679529,0.21668430212042822,0.2544941252386298
mean,0.25,10,1.833541945934954,2.065686588442032,0.2321446425070779,0.21476650287774723,0.24952278213640855
mean,0.25,13,1.7804130693110627,1.9349166974647516,0.1545036281536889,0.13745244701421455,0.17155480929316325
mean,0.3,1,3.8612370365142072,3.9099343471046137,0.048697310590406495,0.005302303778602947,0.09209231740221005
