p_adjudication_value,p_beat_cv,p_view_over,ref,metric,value,mcse
adjudicator,0.05,False,single,ref_mae_vs_T1,1.2045115152403314,0.002927342465879328
adjudicator,0.05,False,single,ref_ba_bias_vs_T1,-0.09811810578413761,0.008678276568486123
adjudicator,0.05,False,mean2,ref_mae_vs_T1,1.074263804545367,0.002162348361614207
adjudicator,0.05,False,mean2,ref_ba_bias_vs_T1,-0.09816435159108804,0.008576327582942262
adjudicator,0.05,False,adj_tol1,ref_mae_vs_T1,1.1339346220497535,0.0027741248222903914
adjudicator,0.05,False,adj_tol1,ref_ba_bias_vs_T1,-0.10354873557639775,0.00903256073585391
adjudicator,0.05,False,adj_tol2,ref_mae_vs_T1,1.0916858738267323,0.0024490390312172524
adjudicator,0.05,False,adj_tol2,ref_ba_bias_vs_T1,-0.10148650126998583,0.008858801912876326
adjudicator,0.05,False,adj_tol3,ref_mae_vs_T1,1.0774834987467679,0.002229040318706166
adjudicator,0.05,False,adj_tol3,ref_ba_bias_vs_T1,-0.09874445695853933,0.008622896259972285
adjudicator,0.05,True,single,ref_mae_vs_T1,1.280145902568052,0.002886748342278588
adjudicator,0.05,True,single,ref_ba_bias_vs_T1,0.09887685827164577,0.008642502301720114
adjudicator,0.05,True,mean2,ref_mae_vs_T1,1.1484270377528891,0.0022149699107135907
adjudicator,0.05,True,mean2,ref_ba_bias_vs_T1,0.09767768343658861,0.008536683845428045
adjudicator,0.05,True,adj_tol1,ref_mae_vs_T1,1.2090028962391657,0.002724793368205327
adjudicator,0.05,True,adj_tol1,ref_ba_bias_vs_T1,0.0952790759158175,0.008946688016750288
adjudicator,0.05,True,adj_tol2,ref_mae_vs_T1,1.168637466099893,0.0024441738465060805
adjudicator,0.05,True,adj_tol2,ref_ba_bias_vs_T1,0.09412962410755463,0.008799593029513412
adjudicator,0.05,True,adj_tol3,ref_mae_vs_T1,1.1535816220284587,0.0022821604440241977
adjudicator,0.05,True,adj_tol3,ref_ba_bias_vs_T1,0.09452000668572039,0.008593442627307216
adjudicator,0.1,False,single,ref_mae_vs_T1,1.2817527159612587,0.0028405611140372745
adjudicator,0.1,False,single,ref_ba_bias_vs_T1,0.0330288442495756,0.008587603302746575
adjudicator,0.1,False,mean2,ref_mae_vs_T1,1.1406926286005867,0.002203635475708078
adjudicator,0.1,False,mean2,ref_ba_bias_vs_T1,0.034034080245186706,0.00851090020148776
adjudicator,0.1,False,adj_tol1,ref_mae_vs_T1,1.2106928838446716,0.0026862538590723324
adjudicator,0.1,False,adj_tol1,ref_ba_bias_vs_T1,0.036709593310073486,0.00877170132376813
adjudicator,0.1,False,adj_tol2,ref_mae_vs_T1,1.1657979297728052,0.002444550740361268
adjudicator,0.1,False,adj_tol2,ref_ba_bias_vs_T1,0.03946125817192337,0.008662670999399798
adjudicator,0.1,False,adj_tol3,ref_mae_vs_T1,1.1481612128209004,0.0022828057594673997
adjudicator,0.1,False,adj_tol3,ref_ba_bias_vs_T1,0.03801940300115567,0.008534175672675021
adjudicator,0.1,True,single,ref_mae_vs_T1,1.3637827260224176,0.003041584187756913
adjudicator,0.1,True,single,ref_ba_bias_vs_T1,0.2238817771438895,0.008708267155344236
adjudicator,0.1,True,mean2,ref_mae_vs_T1,1.2186422329855957,0.002470251222925564
adjudicator,0.1,True,mean2,ref_ba_bias_vs_T1,0.22198813804997503,0.008661536616467356
adjudicator,0.1,True,adj_tol1,ref_mae_vs_T1,1.2957888072710684,0.002970024267419716
adjudicator,0.1,True,adj_tol1,ref_ba_bias_vs_T1,0.22820380963325096,0.009002667154599145
adjudicator,0.1,True,adj_tol2,ref_mae_vs_T1,1.2507194923370526,0.0027320070213715767
adjudicator,0.1,True,adj_tol2,ref_ba_bias_vs_T1,0.2268264389063763,0.00892051967732166
adjudicator,0.1,True,adj_tol3,ref_mae_vs_T1,1.2294083977458117,0.0025409569063602425
adjudicator,0.1,True,adj_tol3,ref_ba_bias_vs_T1,0.22230696603259942,0.008728308880876948
adjudicator,0.15,False,single,ref_mae_vs_T1,1.4232090963303698,0.002971022358272232
adjudicator,0.15,False,single,ref_ba_bias_vs_T1,0.24930077598901887,0.008825787162381443
adjudicator,0.15,False,mean2,ref_mae_vs_T1,1.2661033252971932,0.0025099057926302247
